t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,169
1549486917,1935
1549486920,2685
1549486923,16442
1549486926,16449
1549486929,16585
1549486932,16585
1549486935,16585
1549486938,17018
1549486941,17178
1549486944,17178
1549486947,17181
1549486950,17181
1549486953,17193
1549486956,17432
1549486959,17692
1549486962,17698
1549486965,17700
1549486968,17700
1549486971,17700
1549486974,17700
1549486977,17700
1549486980,17992
1549486983,18004
1549486986,18004
1549486989,18009
1549486992,18009
1549486995,18011
1549486998,18014
1549487001,18253
1549487004,18256
1549487007,18259
1549487010,18259
1549487013,18262
1549487016,18262
1549487019,18445
1549487022,18445
1549487025,18448
1549487028,18448
1549487031,18450
1549487034,18450
1549487037,18450
1549487040,18481
1549487043,18706
1549487046,18708
1549487049,18709
1549487052,18717
1549487055,18717
1549487058,18717
1549487061,19870
1549487064,19874
1549487067,19874
1549487070,20024
1549487073,20024
1549487076,20024
1549487079,20027
1549487082,20254
1549487085,20254
1549487088,20255
1549487091,20255
1549487094,20255
1549487097,20255
1549487100,20255
1549487103,20464
1549487106,20464
1549487109,20467
1549487112,20467
1549487115,20467
1549487118,20470
1549487121,20724
1549487124,20725
1549487127,20725
1549487130,20728
1549487133,20728
1549487136,20728
1549487139,20728
1549487142,21120
1549487145,21122
1549487148,21122
1549487151,21122
1549487154,21122
1549487157,21123
1549487160,21124
1549487163,21269
1549487166,21269
1549487169,21269
1549487172,21272
1549487175,21272
1549487178,21272
1549487181,21417
1549487184,21420
1549487187,21420
1549487190,21420
1549487193,21420
1549487196,21420
1549487199,21420
1549487202,21588
1549487205,21588
1549487208,21588
1549487211,21588
1549487214,21588
1549487217,21594
1549487220,21594
1549487223,21737
1549487226,21737
1549487229,21737
1549487232,21737
1549487235,21737
1549487238,21737
1549487241,21737
1549487244,22073
1549487247,22073
1549487250,22073
1549487253,22073
1549487256,22073
1549487259,22073
1549487262,22218
1549487265,22434
1549487268,22434
1549487271,22434
1549487274,22436
1549487277,22436
1549487280,22436
1549487283,22744
1549487286,22744
1549487289,22744
1549487292,22748
1549487295,22748
1549487298,22748
1549487301,22748
1549487304,23182
1549487307,23182
1549487310,23186
1549487313,23186
1549487316,23186
1549487319,23186
1549487322,23186
1549487325,23355
1549487328,23355
1549487331,23356
1549487334,23356
1549487337,23356
1549487340,23356
1549487343,23570
1549487346,23571
1549487349,23571
1549487352,23571
1549487355,23571
1549487358,23572
1549487361,23572
1549487364,23752
1549487367,23754
1549487370,23754
1549487373,23754
1549487376,23754
1549487379,23755
1549487382,23755
1549487385,23926
1549487388,23926
1549487391,23926
1549487394,23926
1549487397,24175
1549487400,24175
1549487403,24175
1549487406,24378
1549487409,24378
1549487412,24378
1549487415,24380
1549487418,24380
1549487421,24380
1549487424,24741
1549487427,24742
1549487430,24742
1549487433,24742
1549487436,24742
1549487439,24744
1549487442,24744
1549487445,25015
1549487448,25017
1549487451,25017
1549487454,25017
1549487457,25017
1549487460,25017
1549487463,25017
1549487466,25017
1549487469,25246
1549487472,25247
1549487475,25247
1549487478,25247
1549487481,25247
1549487484,25247
1549487487,25279
1549487490,25279
1549487493,25577
1549487496,25577
1549487499,25581
1549487502,25581
1549487505,25581
1549487508,25610
1549487511,25610
1549487514,26114
1549487517,26344
1549487520,26344
1549487523,26824
1549487526,26824
1549487529,26824
1549487532,26824
1549487535,27038
1549487538,27038
1549487541,27038
1549487544,27038
1549487547,27038
1549487550,27041
1549487553,27041
1549487556,27041
1549487559,27041
1549487562,27201
1549487565,27207
1549487568,27207
1549487571,27207
1549487574,27207
1549487577,27207
1549487580,27207
1549487583,27372
1549487586,27372
1549487589,27372
1549487592,27372
1549487595,27372
1549487598,27374
1549487601,27653
1549487604,27950
1549487607,27950
1549487610,27952
1549487613,27952
1549487616,27952
1549487619,27952
1549487622,27952
1549487625,27952
1549487628,28671
1549487631,28674
1549487634,28674
1549487637,28674
1549487640,28807
1549487643,28807
1549487646,28807
1549487649,28807
1549487652,28807
1549487655,28807
1549487658,28807
1549487661,28807
1549487664,29090
1549487667,29348
1549487670,29352
1549487673,29352
1549487676,29352
1549487679,29352
1549487682,29352
1549487685,29352
1549487688,30854
1549487691,30854
1549487694,30854
1549487697,30854
1549487700,30854
1549487703,30854
1549487706,30865
1549487709,31023
1549487712,31183
1549487715,31183
1549487718,31183
1549487721,31183
1549487724,31217
1549487727,31233
1549487730,31237
1549487733,31237
1549487736,31237
1549487739,31237
1549487742,31237
1549487745,31237
1549487748,31237
1549487751,31237
1549487754,31237
1549487757,31498
1549487760,31498
1549487763,31498
1549487766,31498
1549487769,31498
1549487772,31498
1549487775,31498
1549487778,32270
1549487781,32270
1549487784,32270
1549487787,32270
1549487790,32270
1549487793,32274
1549487796,32274
1549487799,32274
1549487802,32274
1549487805,32274
1549487808,32274
1549487811,32274
1549487814,32274
1549487817,32274
1549487820,32274
1549487823,32388
1549487826,32390
1549487829,32390
1549487832,32390
1549487835,32390
1549487838,32390
1549487841,32390
1549487844,32425
1549487847,32561
1549487850,32562
1549487853,32562
1549487856,32562
1549487859,32562
1549487862,32562
1549487865,32564
1549487868,32700
1549487871,32700
1549487874,32700
1549487877,32700
1549487880,32700
1549487883,32700
1549487886,32700
1549487889,32727
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,196
1549487978,2275
1549487983,17040
1549487984,17040
1549487987,17040
1549487990,17040
1549487993,17040
1549487996,18482
1549487999,18714
1549488002,19064
1549488005,19165
1549488008,19396
1549488011,19466
1549488014,19686
1549488017,20072
1549488020,20318
1549488023,20318
1549488026,20427
1549488029,20666
1549488032,20843
1549488035,21058
1549488038,21446
1549488041,21494
1549488044,21660
1549488047,21702
1549488050,21873
1549488053,22095
1549488056,22310
1549488059,22628
1549488062,22867
1549488065,22917
1549488068,23184
1549488071,23472
1549488074,23475
1549488077,23667
1549488080,24560
1549488083,24598
1549488086,24750
1549488089,24752
1549488092,24967
1549488095,24967
1549488098,25211
1549488101,25488
1549488104,25537
1549488107,25676
1549488110,25676
1549488113,25737
1549488116,25737
1549488119,25950
1549488122,26152
1549488125,26153
1549488128,26308
1549488131,26326
1549488134,26535
1549488137,26746
1549488140,27008
1549488143,27010
1549488146,27145
1549488149,27222
1549488152,27257
1549488155,27615
1549488158,27803
1549488161,28067
1549488164,28070
1549488167,28178
1549488170,28464
1549488173,28493
1549488176,28493
1549488179,28642
1549488182,28642
1549488185,28801
1549488188,28801
1549488191,29050
1549488194,29082
1549488197,29424
1549488200,29424
1549488203,29480
1549488206,29496
1549488209,29496
1549488212,29496
1549488215,29604
1549488218,29948
1549488221,29999
1549488224,30195
1549488227,30472
1549488230,30519
1549488233,30808
1549488236,31058
1549488239,31475
1549488242,31475
1549488245,31492
1549488248,31682
1549488251,31719
1549488254,31914
1549488257,32043
1549488260,32043
1549488263,32071
1549488266,32318
1549488269,32568
1549488272,32568
1549488275,32916
1549488278,33051
1549488281,33228
1549488284,33270
1549488287,33501
1549488290,33795
1549488293,33795
1549488296,33824
1549488299,34626
1549488302,34755
1549488305,34978
1549488308,34978
1549488311,35147
1549488314,35149
1549488317,35668
1549488320,35992
1549488323,36170
1549488326,36477
1549488329,36682
1549488332,36682
1549488335,36936
1549488338,37128
1549488341,37135
1549488344,37252
1549488347,37318
1549488350,37465
1549488353,37608
1549488356,37654
1549488359,37933
1549488362,38215
1549488365,38667
1549488368,38995
1549488371,38995
1549488374,39021
1549488377,39062
1549488380,39492
1549488383,39643
1549488386,39680
1549488389,39907
1549488392,40251
1549488395,40251
1549488398,40362
1549488401,40362
1549488404,40573
1549488407,40573
1549488410,40733
1549488413,40781
1549488416,41480
1549488419,42371
1549488422,42419
1549488425,42738
1549488428,42775
1549488431,42909
1549488434,42909
1549488437,42909
1549488440,43051
1549488443,43051
1549488446,43051
1549488449,43051
1549488452,43051
1549488455,43051
1549488458,43179
1549488461,43179
1549488464,43179
1549488467,43179
1549488470,47295
1549488473,47855
1549488476,47855
1549488479,47966
1549488482,47966
1549488485,47966
1549488488,47966
1549488491,47966
1549488494,47966
1549488497,47966
1549488500,48083
1549488503,48083
1549488506,48083
1549488509,48083
1549488512,48083
1549488515,48083
1549488518,48179
1549488521,48179
1549488524,48179
1549488527,48179
