t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,126
1549486917,5600
1549486920,6403
1549486923,20118
1549486926,20148
1549486929,20316
1549486932,20318
1549486935,20318
1549486938,20724
1549486941,20917
1549486944,20917
1549486947,20935
1549486950,20935
1549486953,20949
1549486956,21146
1549486959,21398
1549486962,21412
1549486965,21413
1549486968,21413
1549486971,21413
1549486974,21413
1549486977,21413
1549486980,21731
1549486983,21745
1549486986,21745
1549486989,21748
1549486992,21748
1549486995,21750
1549486998,21754
1549487001,22005
1549487004,22009
1549487007,22011
1549487010,22011
1549487013,22013
1549487016,22013
1549487019,22204
1549487022,22206
1549487025,22211
1549487028,22211
1549487031,22213
1549487034,22213
1549487037,22213
1549487040,22250
1549487043,22475
1549487046,22484
1549487049,22486
1549487052,22493
1549487055,22493
1549487058,22493
1549487061,23639
1549487064,23664
1549487067,23666
1549487070,23868
1549487073,23869
1549487076,23869
1549487079,23871
1549487082,24101
1549487085,24101
1549487088,24104
1549487091,24104
1549487094,24104
1549487097,24104
1549487100,24104
1549487103,24321
1549487106,24321
1549487109,24324
1549487112,24324
1549487115,24324
1549487118,24326
1549487121,24534
1549487124,24542
1549487127,24542
1549487130,24549
1549487133,24549
1549487136,24549
1549487139,24549
1549487142,24926
1549487145,24940
1549487148,24940
1549487151,24940
1549487154,24940
1549487157,24942
1549487160,24942
1549487163,25086
1549487166,25086
1549487169,25086
1549487172,25090
1549487175,25090
1549487178,25090
1549487181,25252
1549487184,25273
1549487187,25273
1549487190,25273
1549487193,25273
1549487196,25273
1549487199,25273
1549487202,25438
1549487205,25439
1549487208,25439
1549487211,25439
1549487214,25439
1549487217,25446
1549487220,25446
1549487223,25646
1549487226,25646
1549487229,25646
1549487232,25646
1549487235,25646
1549487238,25646
1549487241,25646
1549487244,26000
1549487247,26000
1549487250,26000
1549487253,26000
1549487256,26000
1549487259,26000
1549487262,26155
1549487265,26411
1549487268,26411
1549487271,26411
1549487274,26430
1549487277,26430
1549487280,26430
1549487283,26748
1549487286,26748
1549487289,26749
1549487292,26761
1549487295,26761
1549487298,26761
1549487301,26761
1549487304,27194
1549487307,27196
1549487310,27217
1549487313,27217
1549487316,27217
1549487319,27217
1549487322,27218
1549487325,27387
1549487328,27387
1549487331,27389
1549487334,27389
1549487337,27390
1549487340,27390
1549487343,27585
1549487346,27590
1549487349,27590
1549487352,27591
1549487355,27591
1549487358,27592
1549487361,27592
1549487364,27704
1549487367,27708
1549487370,27708
1549487373,27708
1549487376,27708
1549487379,27710
1549487382,27710
1549487385,27883
1549487388,27883
1549487391,27883
1549487394,27883
1549487397,28190
1549487400,28190
1549487403,28190
1549487406,28384
1549487409,28385
1549487412,28385
1549487415,28387
1549487418,28387
1549487421,28387
1549487424,28673
1549487427,28679
1549487430,28679
1549487433,28679
1549487436,28679
1549487439,28681
1549487442,28681
1549487445,28945
1549487448,28958
1549487451,28958
1549487454,28958
1549487457,28958
1549487460,28958
1549487463,28958
1549487466,28958
1549487469,29222
1549487472,29223
1549487475,29223
1549487478,29224
1549487481,29224
1549487484,29224
1549487487,29255
1549487490,29255
1549487493,29592
1549487496,29592
1549487499,29616
1549487502,29616
1549487505,29616
1549487508,29643
1549487511,29643
1549487514,30000
1549487517,30231
1549487520,30231
1549487523,30671
1549487526,30671
1549487529,30671
1549487532,30671
1549487535,30978
1549487538,30978
1549487541,30978
1549487544,30978
1549487547,30978
1549487550,30988
1549487553,30988
1549487556,30988
1549487559,30988
1549487562,31271
1549487565,31281
1549487568,31281
1549487571,31281
1549487574,31281
1549487577,31303
1549487580,31303
1549487583,31461
1549487586,31461
1549487589,31461
1549487592,31461
1549487595,31461
1549487598,31463
1549487601,31731
1549487604,32033
1549487607,32035
1549487610,32037
1549487613,32037
1549487616,32037
1549487619,32037
1549487622,32037
1549487625,32037
1549487628,32825
1549487631,32835
1549487634,32835
1549487637,32835
1549487640,32968
1549487643,32968
1549487646,32968
1549487649,32968
1549487652,32968
1549487655,32968
1549487658,32968
1549487661,32968
1549487664,33388
1549487667,33580
1549487670,33591
1549487673,33591
1549487676,33591
1549487679,33591
1549487682,33591
1549487685,33591
1549487688,35116
1549487691,35116
1549487694,35116
1549487697,35116
1549487700,35116
1549487703,35116
1549487706,35126
1549487709,35285
1549487712,35360
1549487715,35360
1549487718,35360
1549487721,35360
1549487724,35413
1549487727,35414
1549487730,35418
1549487733,35418
1549487736,35418
1549487739,35418
1549487742,35418
1549487745,35418
1549487748,35419
1549487751,35419
1549487754,35419
1549487757,35667
1549487760,35667
1549487763,35667
1549487766,35667
1549487769,35667
1549487772,35667
1549487775,35667
1549487778,36812
1549487781,36812
1549487784,36828
1549487787,36828
1549487790,36828
1549487793,36854
1549487796,36854
1549487799,36854
1549487802,36854
1549487805,36854
1549487808,36854
1549487811,36854
1549487814,36854
1549487817,36854
1549487820,36854
1549487823,36983
1549487826,37048
1549487829,37048
1549487832,37048
1549487835,37048
1549487838,37048
1549487841,37052
1549487844,37086
1549487847,37225
1549487850,37229
1549487853,37229
1549487856,37229
1549487859,37229
1549487862,37229
1549487865,37232
1549487868,37349
1549487871,37349
1549487874,37349
1549487877,37349
1549487880,37349
1549487883,37349
1549487886,37349
1549487889,37472
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,160
1549487978,6159
1549487983,18501
1549487984,18501
1549487987,18501
1549487990,18501
1549487993,18501
1549487996,19911
1549487999,20047
1549488002,20407
1549488005,20501
1549488008,20781
1549488011,20850
1549488014,21081
1549488017,21478
1549488020,21747
1549488023,21747
1549488026,21864
1549488029,22129
1549488032,22326
1549488035,22569
1549488038,23000
1549488041,23063
1549488044,23213
1549488047,23253
1549488050,23443
1549488053,23657
1549488056,23895
1549488059,24327
1549488062,24559
1549488065,24614
1549488068,24874
1549488071,25151
1549488074,25162
1549488077,25352
1549488080,26237
1549488083,26275
1549488086,26426
1549488089,26429
1549488092,26653
1549488095,26653
1549488098,26864
1549488101,27179
1549488104,27223
1549488107,27404
1549488110,27404
1549488113,27461
1549488116,27461
1549488119,27684
1549488122,27844
1549488125,27850
1549488128,27994
1549488131,28029
1549488134,28245
1549488137,28500
1549488140,28825
1549488143,28852
1549488146,29053
1549488149,29079
1549488152,29116
1549488155,29451
1549488158,29605
1549488161,29876
1549488164,29884
1549488167,30097
1549488170,30269
1549488173,30299
1549488176,30299
1549488179,30424
1549488182,30424
1549488185,30566
1549488188,30566
1549488191,30868
1549488194,30901
1549488197,31193
1549488200,31193
1549488203,31249
1549488206,31265
1549488209,31265
1549488212,31265
1549488215,31355
1549488218,31671
1549488221,31715
1549488224,31919
1549488227,32196
1549488230,32234
1549488233,32503
1549488236,32700
1549488239,33106
1549488242,33106
1549488245,33122
1549488248,33275
1549488251,33312
1549488254,33469
1549488257,33599
1549488260,33599
1549488263,33627
1549488266,33870
1549488269,34127
1549488272,34127
1549488275,34512
1549488278,34639
1549488281,34789
1549488284,34823
1549488287,35062
1549488290,35343
1549488293,35343
1549488296,35362
1549488299,36150
1549488302,36275
1549488305,36479
1549488308,36479
1549488311,36633
1549488314,36636
1549488317,37504
1549488320,37828
1549488323,38013
1549488326,38334
1549488329,38588
1549488332,38588
1549488335,38848
1549488338,39065
1549488341,39068
1549488344,39184
1549488347,39289
1549488350,39383
1549488353,39541
1549488356,39580
1549488359,39865
1549488362,40131
1549488365,40579
1549488368,40900
1549488371,40900
1549488374,40925
1549488377,41099
1549488380,41303
1549488383,41460
1549488386,41489
1549488389,41724
1549488392,42112
1549488395,42112
1549488398,42224
1549488401,42224
1549488404,42424
1549488407,42424
1549488410,42588
1549488413,42625
1549488416,43331
1549488419,44296
1549488422,44334
1549488425,44735
1549488428,44766
1549488431,44898
1549488434,44898
1549488437,44898
1549488440,45043
1549488443,45043
1549488446,45043
1549488449,45043
1549488452,45043
1549488455,45043
1549488458,45217
1549488461,45217
1549488464,45217
1549488467,45217
1549488470,49284
1549488473,49699
1549488476,49699
1549488479,49804
1549488482,49804
1549488485,49804
1549488488,49804
1549488491,49804
1549488494,49804
1549488497,49804
1549488500,49965
1549488503,49965
1549488506,49965
1549488509,49965
1549488512,49965
1549488515,49965
1549488518,50057
1549488521,50057
1549488524,50057
1549488527,50057
