t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,5
1549486917,18
1549486920,78
1549486923,90
1549486926,98
1549486929,106
1549486932,108
1549486935,108
1549486938,117
1549486941,126
1549486944,126
1549486947,136
1549486950,136
1549486953,140
1549486956,146
1549486959,156
1549486962,166
1549486965,169
1549486968,169
1549486971,169
1549486974,169
1549486977,172
1549486980,187
1549486983,190
1549486986,192
1549486989,198
1549486992,198
1549486995,201
1549486998,204
1549487001,223
1549487004,227
1549487007,230
1549487010,230
1549487013,233
1549487016,233
1549487019,247
1549487022,249
1549487025,253
1549487028,253
1549487031,256
1549487034,256
1549487037,256
1549487040,258
1549487043,269
1549487046,276
1549487049,280
1549487052,283
1549487055,283
1549487058,283
1549487061,296
1549487064,304
1549487067,306
1549487070,308
1549487073,310
1549487076,310
1549487079,313
1549487082,326
1549487085,326
1549487088,333
1549487091,333
1549487094,333
1549487097,333
1549487100,333
1549487103,353
1549487106,353
1549487109,356
1549487112,356
1549487115,356
1549487118,359
1549487121,372
1549487124,376
1549487127,376
1549487130,385
1549487133,385
1549487136,385
1549487139,385
1549487142,395
1549487145,403
1549487148,403
1549487151,405
1549487154,405
1549487157,407
1549487160,409
1549487163,425
1549487166,425
1549487169,425
1549487172,429
1549487175,429
1549487178,429
1549487181,439
1549487184,449
1549487187,449
1549487190,449
1549487193,449
1549487196,449
1549487199,449
1549487202,463
1549487205,465
1549487208,465
1549487211,465
1549487214,465
1549487217,472
1549487220,472
1549487223,488
1549487226,488
1549487229,492
1549487232,492
1549487235,492
1549487238,492
1549487241,492
1549487244,512
1549487247,512
1549487250,512
1549487253,512
1549487256,512
1549487259,512
1549487262,521
1549487265,528
1549487268,528
1549487271,528
1549487274,536
1549487277,536
1549487280,536
1549487283,548
1549487286,548
1549487289,550
1549487292,556
1549487295,556
1549487298,558
1549487301,558
1549487304,570
1549487307,570
1549487310,576
1549487313,576
1549487316,576
1549487319,576
1549487322,580
1549487325,595
1549487328,595
1549487331,598
1549487334,598
1549487337,600
1549487340,600
1549487343,609
1549487346,614
1549487349,614
1549487352,616
1549487355,616
1549487358,620
1549487361,620
1549487364,629
1549487367,634
1549487370,634
1549487373,636
1549487376,636
1549487379,640
1549487382,640
1549487385,654
1549487388,656
1549487391,656
1549487394,656
1549487397,662
1549487400,664
1549487403,664
1549487406,677
1549487409,679
1549487412,682
1549487415,682
1549487418,684
1549487421,684
1549487424,697
1549487427,704
1549487430,704
1549487433,704
1549487436,704
1549487439,708
1549487442,708
1549487445,717
1549487448,728
1549487451,728
1549487454,728
1549487457,728
1549487460,728
1549487463,728
1549487466,728
1549487469,740
1549487472,746
1549487475,746
1549487478,748
1549487481,748
1549487484,748
1549487487,751
1549487490,751
1549487493,761
1549487496,761
1549487499,767
1549487502,767
1549487505,767
1549487508,774
1549487511,774
1549487514,776
1549487517,783
1549487520,783
1549487523,798
1549487526,798
1549487529,798
1549487532,798
1549487535,818
1549487538,818
1549487541,820
1549487544,820
1549487547,823
1549487550,829
1549487553,829
1549487556,830
1549487559,830
1549487562,844
1549487565,852
1549487568,852
1549487571,852
1549487574,852
1549487577,854
1549487580,854
1549487583,868
1549487586,870
1549487589,870
1549487592,870
1549487595,870
1549487598,872
1549487601,877
1549487604,889
1549487607,891
1549487610,896
1549487613,896
1549487616,896
1549487619,896
1549487622,896
1549487625,896
1549487628,918
1549487631,925
1549487634,925
1549487637,925
1549487640,938
1549487643,938
1549487646,938
1549487649,938
1549487652,938
1549487655,938
1549487658,938
1549487661,938
1549487664,951
1549487667,961
1549487670,969
1549487673,969
1549487676,969
1549487679,969
1549487682,969
1549487685,969
1549487688,987
1549487691,987
1549487694,987
1549487697,991
1549487700,991
1549487703,991
1549487706,994
1549487709,1010
1549487712,1010
1549487715,1010
1549487718,1010
1549487721,1010
1549487724,1021
1549487727,1025
1549487730,1036
1549487733,1036
1549487736,1036
1549487739,1036
1549487742,1036
1549487745,1036
1549487748,1038
1549487751,1038
1549487754,1042
1549487757,1061
1549487760,1061
1549487763,1061
1549487766,1061
1549487769,1061
1549487772,1061
1549487775,1061
1549487778,1085
1549487781,1085
1549487784,1089
1549487787,1089
1549487790,1089
1549487793,1101
1549487796,1101
1549487799,1101
1549487802,1101
1549487805,1101
1549487808,1101
1549487811,1101
1549487814,1101
1549487817,1101
1549487820,1102
1549487823,1119
1549487826,1125
1549487829,1125
1549487832,1125
1549487835,1125
1549487838,1125
1549487841,1129
1549487844,1131
1549487847,1141
1549487850,1146
1549487853,1148
1549487856,1148
1549487859,1148
1549487862,1148
1549487865,1152
1549487868,1166
1549487871,1166
1549487874,1166
1549487877,1166
1549487880,1166
1549487883,1166
1549487886,1166
1549487889,1176
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,5
1549487978,63
1549487983,104
1549487984,104
1549487987,104
1549487990,104
1549487993,104
1549487996,138
1549487999,150
1549488002,176
1549488005,182
1549488008,202
1549488011,205
1549488014,228
1549488017,251
1549488020,274
1549488023,274
1549488026,288
1549488029,303
1549488032,326
1549488035,350
1549488038,388
1549488041,401
1549488044,424
1549488047,427
1549488050,450
1549488053,476
1549488056,498
1549488059,525
1549488062,548
1549488065,551
1549488068,574
1549488071,598
1549488074,600
1549488077,618
1549488080,642
1549488083,649
1549488086,664
1549488089,672
1549488092,698
1549488095,698
1549488098,720
1549488101,739
1549488104,750
1549488107,770
1549488110,770
1549488113,773
1549488116,783
1549488119,795
1549488122,812
1549488125,816
1549488128,830
1549488131,842
1549488134,858
1549488137,884
1549488140,904
1549488143,914
1549488146,928
1549488149,940
1549488152,945
1549488155,963
1549488158,986
1549488161,1002
1549488164,1012
1549488167,1028
1549488170,1038
1549488173,1041
1549488176,1041
1549488179,1061
1549488182,1061
1549488185,1084
1549488188,1084
1549488191,1110
1549488194,1113
1549488197,1156
1549488200,1156
1549488203,1160
1549488206,1164
1549488209,1164
1549488212,1164
1549488215,1170
1549488218,1210
1549488221,1216
1549488224,1236
1549488227,1262
1549488230,1268
1549488233,1294
1549488236,1317
1549488239,1360
1549488242,1360
1549488245,1363
1549488248,1386
1549488251,1389
1549488254,1412
1549488257,1432
1549488260,1432
1549488263,1435
1549488266,1458
1549488269,1484
1549488272,1484
1549488275,1510
1549488278,1533
1549488281,1556
1549488284,1562
1549488287,1582
1549488290,1608
1549488293,1608
1549488296,1614
1549488299,1657
1549488302,1680
1549488305,1706
1549488308,1706
1549488311,1724
1549488314,1732
1549488317,1776
1549488320,1781
1549488323,1804
1549488326,1830
1549488329,1854
1549488332,1856
1549488335,1882
1549488338,1905
1549488341,1908
1549488344,1928
1549488347,1942
1549488350,1957
1549488353,1980
1549488356,1986
1549488359,2029
1549488362,2052
1549488365,2078
1549488368,2104
1549488371,2104
1549488374,2107
1549488377,2118
1549488380,2155
1549488383,2176
1549488386,2182
1549488389,2205
1549488392,2228
1549488395,2228
1549488398,2251
1549488401,2251
1549488404,2274
1549488407,2274
1549488410,2300
1549488413,2306
1549488416,2329
1549488419,2372
1549488422,2378
1549488425,2398
1549488428,2404
1549488431,2424
1549488434,2424
1549488437,2424
1549488440,2444
1549488443,2444
1549488446,2444
1549488449,2444
1549488452,2444
1549488455,2444
1549488458,2464
1549488461,2464
1549488464,2464
1549488467,2464
1549488470,2470
1549488473,2493
1549488476,2493
1549488479,2513
1549488482,2513
1549488485,2513
1549488488,2513
1549488491,2513
1549488494,2513
1549488497,2513
1549488500,2533
1549488503,2533
1549488506,2533
1549488509,2533
1549488512,2533
1549488515,2533
1549488518,2553
1549488521,2553
1549488524,2553
1549488527,2553
1549488530,2553
1549488533,2553
1549488536,2553
1549488539,2573
1549488542,2573
1549488545,2573
1549488548,2573
1549488551,2573
1549488554,2573
1549488557,2573
1549488560,2593
1549488563,2593
1549488566,2593
1549488569,2593
1549488572,2593
1549488575,2593
1549488578,2613
1549488581,2613
1549488584,2613
1549488587,2613
1549488590,2613
1549488593,2613
1549488596,2613
1549488599,2633
1549488602,2633
1549488605,2633
1549488608,2633
1549488611,2633
1549488614,2633
1549488617,2633
1549488620,2653
1549488623,2653
1549488626,2653
1549488629,2653
1549488632,2653
1549488635,2653
1549488638,2672
1549488641,2673
1549488644,2673
1549488647,2673
1549488650,2673
