t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,17
1549486917,20
1549486920,82
1549486923,92
1549486926,100
1549486929,108
1549486932,110
1549486935,110
1549486938,119
1549486941,128
1549486944,128
1549486947,138
1549486950,138
1549486953,142
1549486956,148
1549486959,158
1549486962,168
1549486965,171
1549486968,171
1549486971,171
1549486974,171
1549486977,174
1549486980,189
1549486983,192
1549486986,194
1549486989,200
1549486992,202
1549486995,203
1549486998,206
1549487001,225
1549487004,229
1549487007,232
1549487010,232
1549487013,235
1549487016,235
1549487019,249
1549487022,251
1549487025,255
1549487028,255
1549487031,258
1549487034,258
1549487037,258
1549487040,260
1549487043,271
1549487046,278
1549487049,282
1549487052,285
1549487055,285
1549487058,287
1549487061,298
1549487064,306
1549487067,308
1549487070,310
1549487073,312
1549487076,312
1549487079,315
1549487082,328
1549487085,328
1549487088,335
1549487091,335
1549487094,335
1549487097,335
1549487100,335
1549487103,355
1549487106,355
1549487109,358
1549487112,358
1549487115,358
1549487118,361
1549487121,374
1549487124,378
1549487127,378
1549487130,387
1549487133,387
1549487136,387
1549487139,387
1549487142,397
1549487145,405
1549487148,405
1549487151,407
1549487154,407
1549487157,409
1549487160,411
1549487163,427
1549487166,427
1549487169,427
1549487172,431
1549487175,431
1549487178,431
1549487181,441
1549487184,451
1549487187,451
1549487190,451
1549487193,451
1549487196,451
1549487199,451
1549487202,465
1549487205,467
1549487208,467
1549487211,467
1549487214,467
1549487217,474
1549487220,474
1549487223,490
1549487226,490
1549487229,494
1549487232,494
1549487235,494
1549487238,494
1549487241,494
1549487244,514
1549487247,514
1549487250,514
1549487253,514
1549487256,514
1549487259,514
1549487262,523
1549487265,530
1549487268,530
1549487271,530
1549487274,538
1549487277,538
1549487280,538
1549487283,550
1549487286,550
1549487289,552
1549487292,558
1549487295,558
1549487298,560
1549487301,560
1549487304,572
1549487307,572
1549487310,578
1549487313,578
1549487316,578
1549487319,578
1549487322,582
1549487325,597
1549487328,597
1549487331,600
1549487334,600
1549487337,602
1549487340,602
1549487343,611
1549487346,616
1549487349,616
1549487352,618
1549487355,618
1549487358,622
1549487361,622
1549487364,631
1549487367,636
1549487370,636
1549487373,638
1549487376,638
1549487379,642
1549487382,642
1549487385,656
1549487388,658
1549487391,658
1549487394,658
1549487397,664
1549487400,666
1549487403,666
1549487406,679
1549487409,681
1549487412,684
1549487415,684
1549487418,686
1549487421,686
1549487424,699
1549487427,706
1549487430,706
1549487433,706
1549487436,706
1549487439,710
1549487442,710
1549487445,719
1549487448,730
1549487451,730
1549487454,730
1549487457,730
1549487460,730
1549487463,730
1549487466,730
1549487469,742
1549487472,748
1549487475,748
1549487478,750
1549487481,750
1549487484,750
1549487487,753
1549487490,753
1549487493,763
1549487496,763
1549487499,769
1549487502,769
1549487505,769
1549487508,776
1549487511,776
1549487514,778
1549487517,785
1549487520,785
1549487523,800
1549487526,800
1549487529,800
1549487532,800
1549487535,820
1549487538,820
1549487541,822
1549487544,822
1549487547,825
1549487550,831
1549487553,831
1549487556,832
1549487559,832
1549487562,846
1549487565,854
1549487568,854
1549487571,854
1549487574,854
1549487577,856
1549487580,856
1549487583,870
1549487586,872
1549487589,872
1549487592,872
1549487595,872
1549487598,874
1549487601,879
1549487604,891
1549487607,893
1549487610,898
1549487613,898
1549487616,898
1549487619,898
1549487622,898
1549487625,898
1549487628,920
1549487631,927
1549487634,927
1549487637,927
1549487640,940
1549487643,940
1549487646,940
1549487649,940
1549487652,940
1549487655,940
1549487658,940
1549487661,940
1549487664,953
1549487667,963
1549487670,971
1549487673,971
1549487676,971
1549487679,971
1549487682,971
1549487685,971
1549487688,989
1549487691,989
1549487694,989
1549487697,993
1549487700,993
1549487703,993
1549487706,996
1549487709,1012
1549487712,1012
1549487715,1012
1549487718,1012
1549487721,1012
1549487724,1023
1549487727,1027
1549487730,1038
1549487733,1038
1549487736,1038
1549487739,1038
1549487742,1038
1549487745,1038
1549487748,1040
1549487751,1040
1549487754,1044
1549487757,1063
1549487760,1063
1549487763,1063
1549487766,1063
1549487769,1063
1549487772,1063
1549487775,1063
1549487778,1087
1549487781,1087
1549487784,1091
1549487787,1091
1549487790,1091
1549487793,1103
1549487796,1103
1549487799,1103
1549487802,1103
1549487805,1103
1549487808,1103
1549487811,1103
1549487814,1103
1549487817,1103
1549487820,1104
1549487823,1121
1549487826,1127
1549487829,1127
1549487832,1127
1549487835,1127
1549487838,1127
1549487841,1131
1549487844,1133
1549487847,1143
1549487850,1150
1549487853,1150
1549487856,1150
1549487859,1150
1549487862,1150
1549487865,1154
1549487868,1168
1549487871,1168
1549487874,1168
1549487877,1168
1549487880,1168
1549487883,1168
1549487886,1168
1549487889,1179
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,8
1549487978,82
1549487983,106
1549487984,106
1549487987,106
1549487990,106
1549487993,106
1549487996,140
1549487999,152
1549488002,178
1549488005,184
1549488008,204
1549488011,207
1549488014,230
1549488017,255
1549488020,276
1549488023,276
1549488026,292
1549488029,305
1549488032,328
1549488035,352
1549488038,390
1549488041,403
1549488044,426
1549488047,429
1549488050,452
1549488053,478
1549488056,500
1549488059,527
1549488062,550
1549488065,553
1549488068,576
1549488071,600
1549488074,602
1549488077,620
1549488080,644
1549488083,651
1549488086,666
1549488089,674
1549488092,700
1549488095,700
1549488098,722
1549488101,741
1549488104,752
1549488107,772
1549488110,772
1549488113,775
1549488116,785
1549488119,797
1549488122,814
1549488125,818
1549488128,832
1549488131,844
1549488134,860
1549488137,886
1549488140,906
1549488143,916
1549488146,930
1549488149,942
1549488152,947
1549488155,965
1549488158,988
1549488161,1004
1549488164,1014
1549488167,1030
1549488170,1040
1549488173,1043
1549488176,1043
1549488179,1063
1549488182,1063
1549488185,1086
1549488188,1086
1549488191,1112
1549488194,1115
1549488197,1158
1549488200,1158
1549488203,1162
1549488206,1166
1549488209,1166
1549488212,1166
1549488215,1181
1549488218,1212
1549488221,1218
1549488224,1238
1549488227,1264
1549488230,1270
1549488233,1296
1549488236,1319
1549488239,1362
1549488242,1362
1549488245,1365
1549488248,1388
1549488251,1391
1549488254,1414
1549488257,1434
1549488260,1434
1549488263,1437
1549488266,1460
1549488269,1486
1549488272,1486
1549488275,1512
1549488278,1535
1549488281,1558
1549488284,1564
1549488287,1584
1549488290,1610
1549488293,1610
1549488296,1616
1549488299,1659
1549488302,1682
1549488305,1708
1549488308,1708
1549488311,1726
1549488314,1734
1549488317,1779
1549488320,1783
1549488323,1806
1549488326,1832
1549488329,1857
1549488332,1858
1549488335,1884
1549488338,1907
1549488341,1910
1549488344,1930
1549488347,1944
1549488350,1959
1549488353,1982
1549488356,1988
1549488359,2031
1549488362,2054
1549488365,2080
1549488368,2106
1549488371,2106
1549488374,2109
1549488377,2120
1549488380,2157
1549488383,2178
1549488386,2184
1549488389,2207
1549488392,2230
1549488395,2230
1549488398,2253
1549488401,2253
1549488404,2276
1549488407,2276
1549488410,2302
1549488413,2308
1549488416,2331
1549488419,2374
1549488422,2380
1549488425,2400
1549488428,2406
1549488431,2426
1549488434,2426
1549488437,2426
1549488440,2446
1549488443,2446
1549488446,2446
1549488449,2446
1549488452,2446
1549488455,2446
1549488458,2466
1549488461,2466
1549488464,2466
1549488467,2468
1549488470,2472
1549488473,2495
1549488476,2495
1549488479,2515
1549488482,2515
1549488485,2515
1549488488,2515
1549488491,2515
1549488494,2515
1549488497,2515
1549488500,2535
1549488503,2535
1549488506,2535
1549488509,2535
1549488512,2535
1549488515,2535
1549488518,2555
1549488521,2555
1549488524,2555
1549488527,2555
1549488530,2555
1549488533,2555
1549488536,2555
1549488539,2575
1549488542,2575
1549488545,2575
1549488548,2575
1549488551,2575
1549488554,2575
1549488557,2575
1549488560,2595
1549488563,2595
1549488566,2595
1549488569,2595
1549488572,2595
1549488575,2595
1549488578,2615
1549488581,2615
1549488584,2615
1549488587,2615
1549488590,2615
1549488593,2615
1549488596,2615
1549488599,2635
1549488602,2635
1549488605,2635
1549488608,2635
1549488611,2635
1549488614,2635
1549488617,2635
1549488620,2655
1549488623,2655
1549488626,2655
1549488629,2655
1549488632,2655
1549488635,2655
1549488638,2675
1549488641,2675
1549488644,2675
1549488647,2675
1549488650,2675
