t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,3
1549486917,3
1549486920,13
1549486923,13
1549486926,13
1549486929,13
1549486932,13
1549486935,13
1549486938,13
1549486941,13
1549486944,13
1549486947,13
1549486950,13
1549486953,13
1549486956,13
1549486959,13
1549486962,13
1549486965,13
1549486968,13
1549486971,13
1549486974,13
1549486977,13
1549486980,13
1549486983,13
1549486986,13
1549486989,13
1549486992,13
1549486995,13
1549486998,13
1549487001,13
1549487004,13
1549487007,13
1549487010,13
1549487013,13
1549487016,13
1549487019,13
1549487022,13
1549487025,13
1549487028,13
1549487031,13
1549487034,13
1549487037,13
1549487040,13
1549487043,13
1549487046,13
1549487049,13
1549487052,13
1549487055,13
1549487058,13
1549487061,13
1549487064,13
1549487067,13
1549487070,13
1549487073,13
1549487076,13
1549487079,13
1549487082,13
1549487085,13
1549487088,13
1549487091,13
1549487094,13
1549487097,13
1549487100,13
1549487103,13
1549487106,13
1549487109,13
1549487112,13
1549487115,13
1549487118,13
1549487121,13
1549487124,13
1549487127,13
1549487130,13
1549487133,13
1549487136,13
1549487139,13
1549487142,13
1549487145,13
1549487148,13
1549487151,13
1549487154,13
1549487157,13
1549487160,13
1549487163,13
1549487166,13
1549487169,13
1549487172,13
1549487175,13
1549487178,13
1549487181,13
1549487184,13
1549487187,13
1549487190,13
1549487193,13
1549487196,13
1549487199,13
1549487202,13
1549487205,13
1549487208,13
1549487211,13
1549487214,13
1549487217,13
1549487220,13
1549487223,13
1549487226,13
1549487229,13
1549487232,13
1549487235,13
1549487238,13
1549487241,13
1549487244,13
1549487247,13
1549487250,13
1549487253,13
1549487256,13
1549487259,13
1549487262,13
1549487265,13
1549487268,13
1549487271,13
1549487274,13
1549487277,13
1549487280,13
1549487283,13
1549487286,13
1549487289,13
1549487292,13
1549487295,13
1549487298,13
1549487301,13
1549487304,13
1549487307,13
1549487310,13
1549487313,13
1549487316,13
1549487319,13
1549487322,13
1549487325,13
1549487328,13
1549487331,13
1549487334,13
1549487337,13
1549487340,13
1549487343,13
1549487346,13
1549487349,13
1549487352,13
1549487355,13
1549487358,13
1549487361,13
1549487364,13
1549487367,13
1549487370,13
1549487373,13
1549487376,13
1549487379,13
1549487382,13
1549487385,13
1549487388,13
1549487391,13
1549487394,13
1549487397,13
1549487400,13
1549487403,13
1549487406,13
1549487409,13
1549487412,13
1549487415,13
1549487418,13
1549487421,13
1549487424,13
1549487427,13
1549487430,13
1549487433,13
1549487436,13
1549487439,13
1549487442,13
1549487445,13
1549487448,13
1549487451,13
1549487454,13
1549487457,13
1549487460,13
1549487463,13
1549487466,13
1549487469,13
1549487472,13
1549487475,13
1549487478,13
1549487481,13
1549487484,13
1549487487,13
1549487490,13
1549487493,13
1549487496,13
1549487499,13
1549487502,13
1549487505,13
1549487508,13
1549487511,13
1549487514,13
1549487517,13
1549487520,13
1549487523,13
1549487526,13
1549487529,13
1549487532,13
1549487535,13
1549487538,13
1549487541,13
1549487544,13
1549487547,13
1549487550,13
1549487553,13
1549487556,13
1549487559,13
1549487562,13
1549487565,13
1549487568,13
1549487571,13
1549487574,13
1549487577,13
1549487580,13
1549487583,13
1549487586,13
1549487589,13
1549487592,13
1549487595,13
1549487598,13
1549487601,13
1549487604,13
1549487607,13
1549487610,13
1549487613,13
1549487616,13
1549487619,13
1549487622,13
1549487625,13
1549487628,13
1549487631,13
1549487634,13
1549487637,13
1549487640,13
1549487643,13
1549487646,13
1549487649,13
1549487652,13
1549487655,13
1549487658,13
1549487661,13
1549487664,13
1549487667,13
1549487670,13
1549487673,13
1549487676,13
1549487679,13
1549487682,13
1549487685,13
1549487688,13
1549487691,13
1549487694,13
1549487697,13
1549487700,13
1549487703,13
1549487706,13
1549487709,13
1549487712,13
1549487715,13
1549487718,13
1549487721,13
1549487724,13
1549487727,13
1549487730,13
1549487733,13
1549487736,13
1549487739,13
1549487742,13
1549487745,13
1549487748,13
1549487751,13
1549487754,13
1549487757,13
1549487760,13
1549487763,13
1549487766,13
1549487769,13
1549487772,13
1549487775,13
1549487778,13
1549487781,13
1549487784,13
1549487787,13
1549487790,13
1549487793,13
1549487796,13
1549487799,13
1549487802,13
1549487805,13
1549487808,13
1549487811,13
1549487814,13
1549487817,13
1549487820,13
1549487823,13
1549487826,13
1549487829,13
1549487832,13
1549487835,13
1549487838,13
1549487841,13
1549487844,13
1549487847,13
1549487850,13
1549487853,13
1549487856,13
1549487859,13
1549487862,13
1549487865,13
1549487868,13
1549487871,13
1549487874,13
1549487877,13
1549487880,13
1549487883,13
1549487886,13
1549487889,14
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,2
1549487978,13
1549487983,13
1549487984,13
1549487987,13
1549487990,13
1549487993,13
1549487996,13
1549487999,13
1549488002,13
1549488005,13
1549488008,13
1549488011,13
1549488014,13
1549488017,13
1549488020,13
1549488023,13
1549488026,13
1549488029,13
1549488032,13
1549488035,13
1549488038,13
1549488041,13
1549488044,13
1549488047,13
1549488050,13
1549488053,13
1549488056,13
1549488059,13
1549488062,13
1549488065,13
1549488068,13
1549488071,13
1549488074,13
1549488077,13
1549488080,13
1549488083,13
1549488086,13
1549488089,13
1549488092,13
1549488095,13
1549488098,13
1549488101,13
1549488104,13
1549488107,13
1549488110,13
1549488113,13
1549488116,13
1549488119,13
1549488122,13
1549488125,13
1549488128,13
1549488131,13
1549488134,13
1549488137,13
1549488140,13
1549488143,13
1549488146,13
1549488149,13
1549488152,13
1549488155,13
1549488158,13
1549488161,13
1549488164,13
1549488167,13
1549488170,13
1549488173,13
1549488176,13
1549488179,13
1549488182,13
1549488185,13
1549488188,13
1549488191,13
1549488194,13
1549488197,13
1549488200,13
1549488203,13
1549488206,13
1549488209,13
1549488212,13
1549488215,13
1549488218,13
1549488221,13
1549488224,13
1549488227,13
1549488230,13
1549488233,13
1549488236,13
1549488239,13
1549488242,13
1549488245,13
1549488248,13
1549488251,13
1549488254,13
1549488257,13
1549488260,13
1549488263,13
1549488266,13
1549488269,13
1549488272,13
1549488275,13
1549488278,13
1549488281,13
1549488284,13
1549488287,13
1549488290,13
1549488293,13
1549488296,13
1549488299,13
1549488302,13
1549488305,13
1549488308,13
1549488311,13
1549488314,13
1549488317,13
1549488320,13
1549488323,13
1549488326,13
1549488329,13
1549488332,13
1549488335,13
1549488338,13
1549488341,13
1549488344,13
1549488347,13
1549488350,13
1549488353,13
1549488356,13
1549488359,13
1549488362,13
1549488365,13
1549488368,13
1549488371,13
1549488374,13
1549488377,13
1549488380,13
1549488383,13
1549488386,13
1549488389,13
1549488392,13
1549488395,13
1549488398,13
1549488401,13
1549488404,13
1549488407,13
1549488410,13
1549488413,13
1549488416,13
1549488419,13
1549488422,13
1549488425,13
1549488428,13
1549488431,13
1549488434,13
1549488437,13
1549488440,13
1549488443,13
1549488446,13
1549488449,13
1549488452,13
1549488455,13
1549488458,13
1549488461,13
1549488464,13
1549488467,13
1549488470,13
1549488473,13
1549488476,13
1549488479,13
1549488482,13
1549488485,13
1549488488,13
1549488491,13
1549488494,13
1549488497,13
1549488500,13
1549488503,13
1549488506,13
1549488509,13
1549488512,13
1549488515,13
1549488518,13
1549488521,13
1549488524,13
1549488527,13
1549488530,13
1549488533,13
1549488536,13
1549488539,13
1549488542,13
1549488545,13
1549488548,13
1549488551,13
1549488554,13
1549488557,13
1549488560,13
1549488563,13
1549488566,13
1549488569,13
1549488572,13
1549488575,13
1549488578,13
1549488581,13
1549488584,13
1549488587,13
1549488590,13
1549488593,13
1549488596,13
1549488599,13
1549488602,13
1549488605,13
1549488608,13
1549488611,13
1549488614,13
1549488617,13
1549488620,13
1549488623,13
1549488626,13
1549488629,13
1549488632,13
1549488635,13
1549488638,13
1549488641,13
1549488644,13
1549488647,13
1549488650,13
1549488653,13
1549488656,13
1549488659,13
1549488662,13
1549488665,13
1549488668,13
1549488671,13
1549488674,13
1549488677,13
1549488680,13
1549488683,13
1549488686,13
1549488689,13
1549488692,13
1549488695,13
1549488698,13
1549488701,13
1549488704,13
1549488707,13
1549488710,13
1549488713,13
1549488716,13
1549488719,13
1549488722,13
1549488725,13
1549488728,13
1549488731,13
1549488734,13
1549488737,13
1549488740,13
1549488743,13
1549488746,13
