t,value
1549486896,14
1549486899,14
1549486902,14
1549486905,14
1549486908,14
1549486911,14
1549486914,14
1549486917,14
1549486920,14
1549486923,14
1549486926,14
1549486929,14
1549486932,14
1549486935,14
1549486938,14
1549486941,14
1549486944,14
1549486947,14
1549486950,14
1549486953,14
1549486956,14
1549486959,14
1549486962,14
1549486965,14
1549486968,14
1549486971,14
1549486974,14
1549486977,14
1549486980,14
1549486983,14
1549486986,14
1549486989,14
1549486992,14
1549486995,14
1549486998,14
1549487001,14
1549487004,14
1549487007,14
1549487010,14
1549487013,14
1549487016,14
1549487019,14
1549487022,14
1549487025,14
1549487028,14
1549487031,14
1549487034,14
1549487037,14
1549487040,14
1549487043,14
1549487046,14
1549487049,14
1549487052,14
1549487055,14
1549487058,14
1549487061,14
1549487064,14
1549487067,14
1549487070,14
1549487073,14
1549487076,14
1549487079,14
1549487082,14
1549487085,14
1549487088,14
1549487091,14
1549487094,14
1549487097,14
1549487100,14
1549487103,14
1549487106,14
1549487109,14
1549487112,14
1549487115,14
1549487118,14
1549487121,14
1549487124,14
1549487127,14
1549487130,14
1549487133,14
1549487136,14
1549487139,14
1549487142,14
1549487145,14
1549487148,14
1549487151,14
1549487154,14
1549487157,14
1549487160,14
1549487163,14
1549487166,14
1549487169,14
1549487172,14
1549487175,14
1549487178,14
1549487181,14
1549487184,14
1549487187,14
1549487190,14
1549487193,14
1549487196,14
1549487199,14
1549487202,14
1549487205,14
1549487208,14
1549487211,14
1549487214,14
1549487217,14
1549487220,14
1549487223,14
1549487226,14
1549487229,14
1549487232,14
1549487235,14
1549487238,14
1549487241,14
1549487244,14
1549487247,14
1549487250,14
1549487253,14
1549487256,14
1549487259,14
1549487262,14
1549487265,14
1549487268,14
1549487271,14
1549487274,14
1549487277,14
1549487280,14
1549487283,14
1549487286,14
1549487289,14
1549487292,14
1549487295,14
1549487298,14
1549487301,14
1549487304,14
1549487307,14
1549487310,14
1549487313,14
1549487316,14
1549487319,14
1549487322,14
1549487325,14
1549487328,14
1549487331,14
1549487334,14
1549487337,14
1549487340,14
1549487343,14
1549487346,14
1549487349,14
1549487352,14
1549487355,14
1549487358,14
1549487361,14
1549487364,14
1549487367,14
1549487370,14
1549487373,14
1549487376,14
1549487379,14
1549487382,14
1549487385,14
1549487388,14
1549487391,14
1549487394,14
1549487397,14
1549487400,14
1549487403,14
1549487406,14
1549487409,14
1549487412,14
1549487415,14
1549487418,14
1549487421,14
1549487424,14
1549487427,14
1549487430,14
1549487433,14
1549487436,14
1549487439,14
1549487442,14
1549487445,14
1549487448,14
1549487451,14
1549487454,14
1549487457,14
1549487460,14
1549487463,14
1549487466,14
1549487469,14
1549487472,14
1549487475,14
1549487478,14
1549487481,14
1549487484,14
1549487487,14
1549487490,14
1549487493,14
1549487496,14
1549487499,14
1549487502,14
1549487505,14
1549487508,14
1549487511,14
1549487514,14
1549487517,14
1549487520,14
1549487523,14
1549487526,14
1549487529,14
1549487532,14
1549487535,14
1549487538,14
1549487541,14
1549487544,14
1549487547,14
1549487550,14
1549487553,14
1549487556,14
1549487559,14
1549487562,14
1549487565,14
1549487568,14
1549487571,14
1549487574,14
1549487577,14
1549487580,14
1549487583,14
1549487586,14
1549487589,14
1549487592,14
1549487595,14
1549487598,14
1549487601,14
1549487604,14
1549487607,14
1549487610,14
1549487613,14
1549487616,14
1549487619,14
1549487622,14
1549487625,14
1549487628,14
1549487631,14
1549487634,14
1549487637,14
1549487640,14
1549487643,14
1549487646,14
1549487649,14
1549487652,14
1549487655,14
1549487658,14
1549487661,14
1549487664,14
1549487667,14
1549487670,14
1549487673,14
1549487676,14
1549487679,14
1549487682,14
1549487685,14
1549487688,14
1549487691,14
1549487694,14
1549487697,14
1549487700,14
1549487703,14
1549487706,14
1549487709,14
1549487712,14
1549487715,14
1549487718,14
1549487721,14
1549487724,14
1549487727,14
1549487730,14
1549487733,14
1549487736,14
1549487739,14
1549487742,14
1549487745,14
1549487748,14
1549487751,14
1549487754,14
1549487757,14
1549487760,14
1549487763,14
1549487766,14
1549487769,14
1549487772,14
1549487775,14
1549487778,14
1549487781,14
1549487784,14
1549487787,14
1549487790,14
1549487793,14
1549487796,14
1549487799,14
1549487802,14
1549487805,14
1549487808,14
1549487811,14
1549487814,14
1549487817,14
1549487820,14
1549487823,14
1549487826,14
1549487829,14
1549487832,14
1549487835,14
1549487838,14
1549487841,14
1549487844,14
1549487847,14
1549487850,14
1549487853,14
1549487856,14
1549487859,14
1549487862,14
1549487865,14
1549487868,14
1549487871,14
1549487874,14
1549487877,14
1549487880,14
1549487883,14
1549487886,14
1549487889,14
t,value
1549487960,1
1549487963,1
1549487966,1
1549487969,1
1549487972,1
1549487975,1
1549487978,1
1549487983,1
1549487984,1
1549487987,1
1549487990,1
1549487993,1
1549487996,1
1549487999,1
1549488002,1
1549488005,1
1549488008,1
1549488011,1
1549488014,1
1549488017,1
1549488020,1
1549488023,1
1549488026,1
1549488029,1
1549488032,1
1549488035,1
1549488038,1
1549488041,1
1549488044,1
1549488047,1
1549488050,1
1549488053,1
1549488056,1
1549488059,1
1549488062,1
1549488065,1
1549488068,1
1549488071,1
1549488074,1
1549488077,1
1549488080,1
1549488083,1
1549488086,1
1549488089,1
1549488092,1
1549488095,1
1549488098,1
1549488101,1
1549488104,1
1549488107,1
1549488110,1
1549488113,1
1549488116,1
1549488119,1
1549488122,1
1549488125,1
1549488128,1
1549488131,1
1549488134,1
1549488137,1
1549488140,1
1549488143,1
1549488146,1
1549488149,1
1549488152,1
1549488155,1
1549488158,1
1549488161,1
1549488164,1
1549488167,1
1549488170,1
1549488173,1
1549488176,1
1549488179,1
1549488182,1
1549488185,1
1549488188,1
1549488191,1
1549488194,1
1549488197,1
1549488200,1
1549488203,1
1549488206,1
1549488209,1
1549488212,1
1549488215,1
1549488218,1
1549488221,1
1549488224,1
1549488227,1
1549488230,1
1549488233,1
1549488236,1
1549488239,1
1549488242,1
1549488245,1
1549488248,1
1549488251,1
1549488254,1
1549488257,1
1549488260,1
1549488263,1
1549488266,1
1549488269,1
1549488272,1
1549488275,1
1549488278,1
1549488281,1
1549488284,1
1549488287,1
1549488290,1
1549488293,1
1549488296,1
1549488299,1
1549488302,1
1549488305,1
1549488308,1
1549488311,1
1549488314,1
1549488317,1
1549488320,1
1549488323,1
1549488326,1
1549488329,1
1549488332,1
1549488335,1
1549488338,1
1549488341,1
1549488344,1
1549488347,1
1549488350,1
1549488353,1
1549488356,1
1549488359,1
1549488362,1
