t,value
1549486896,6
1549486899,6
1549486902,6
1549486905,32
1549486908,32
1549486911,32
1549486914,32
1549486917,32
1549486920,32
1549486923,32
1549486926,32
1549486929,32
1549486932,32
1549486935,32
1549486938,32
1549486941,32
1549486944,32
1549486947,32
1549486950,32
1549486953,38
1549486956,38
1549486959,38
1549486962,38
1549486965,38
1549486968,38
1549486971,38
1549486974,38
1549486977,38
1549486980,38
1549486983,38
1549486986,38
1549486989,38
1549486992,38
1549486995,38
1549486998,38
1549487001,38
1549487004,38
1549487007,38
1549487010,38
1549487013,44
1549487016,44
1549487019,44
1549487022,44
1549487025,44
1549487028,44
1549487031,44
1549487034,44
1549487037,44
1549487040,44
1549487043,44
1549487046,44
1549487049,44
1549487052,44
1549487055,44
1549487058,44
1549487061,44
1549487064,44
1549487067,44
1549487070,44
1549487073,50
1549487076,50
1549487079,50
1549487082,50
1549487085,50
1549487088,50
1549487091,50
1549487094,50
1549487097,50
1549487100,50
1549487103,50
1549487106,50
1549487109,50
1549487112,50
1549487115,50
1549487118,50
1549487121,50
1549487124,50
1549487127,50
1549487130,50
1549487133,56
1549487136,56
1549487139,56
1549487142,56
1549487145,56
1549487148,56
1549487151,56
1549487154,56
1549487157,56
1549487160,56
1549487163,56
1549487166,56
1549487169,56
1549487172,56
1549487175,56
1549487178,56
1549487181,56
1549487184,56
1549487187,56
1549487190,56
1549487193,62
1549487196,62
1549487199,62
1549487202,62
1549487205,62
1549487208,62
1549487211,62
1549487214,62
1549487217,62
1549487220,62
1549487223,62
1549487226,62
1549487229,62
1549487232,62
1549487235,62
1549487238,62
1549487241,62
1549487244,62
1549487247,62
1549487250,62
1549487253,68
1549487256,68
1549487259,68
1549487262,68
1549487265,68
1549487268,68
1549487271,68
1549487274,68
1549487277,68
1549487280,68
1549487283,68
1549487286,68
1549487289,68
1549487292,68
1549487295,68
1549487298,68
1549487301,68
1549487304,68
1549487307,68
1549487310,68
1549487313,74
1549487316,74
1549487319,74
1549487322,74
1549487325,74
1549487328,74
1549487331,74
1549487334,74
1549487337,74
1549487340,74
1549487343,74
1549487346,74
1549487349,74
1549487352,74
1549487355,74
1549487358,74
1549487361,74
1549487364,74
1549487367,74
1549487370,74
1549487373,80
1549487376,80
1549487379,80
1549487382,80
1549487385,80
1549487388,80
1549487391,80
1549487394,80
1549487397,80
1549487400,80
1549487403,80
1549487406,80
1549487409,80
1549487412,80
1549487415,80
1549487418,80
1549487421,80
1549487424,80
1549487427,80
1549487430,80
1549487433,86
1549487436,86
1549487439,86
1549487442,86
1549487445,86
1549487448,86
1549487451,86
1549487454,86
1549487457,86
1549487460,86
1549487463,86
1549487466,86
1549487469,86
1549487472,86
1549487475,86
1549487478,86
1549487481,86
1549487484,86
1549487487,86
1549487490,86
1549487493,92
1549487496,92
1549487499,92
1549487502,92
1549487505,92
1549487508,92
1549487511,92
1549487514,355
1549487517,355
1549487520,355
1549487523,355
1549487526,355
1549487529,355
1549487532,355
1549487535,355
1549487538,355
1549487541,355
1549487544,355
1549487547,355
1549487550,355
1549487553,368
1549487556,368
1549487559,368
1549487562,368
1549487565,368
1549487568,368
1549487571,368
1549487574,368
1549487577,368
1549487580,368
1549487583,368
1549487586,368
1549487589,368
1549487592,368
1549487595,368
1549487598,368
1549487601,368
1549487604,385
1549487607,385
1549487610,385
1549487613,401
1549487616,401
1549487619,401
1549487622,401
1549487625,401
1549487628,401
1549487631,401
1549487634,401
1549487637,401
1549487640,419
1549487643,419
1549487646,419
1549487649,419
1549487652,419
1549487655,419
1549487658,419
1549487661,419
1549487664,419
1549487667,419
1549487670,419
1549487673,435
1549487676,435
1549487679,435
1549487682,435
1549487685,435
1549487688,453
1549487691,453
1549487694,453
1549487697,453
1549487700,453
1549487703,453
1549487706,453
1549487709,453
1549487712,453
1549487715,453
1549487718,453
1549487721,453
1549487724,453
1549487727,453
1549487730,453
1549487733,469
1549487736,469
1549487739,469
1549487742,469
1549487745,469
1549487748,469
1549487751,469
1549487754,469
1549487757,487
1549487760,487
1549487763,487
1549487766,487
1549487769,487
1549487772,487
1549487775,487
1549487778,487
1549487781,487
1549487784,487
1549487787,487
1549487790,487
1549487793,503
1549487796,503
1549487799,503
1549487802,503
1549487805,503
1549487808,503
1549487811,503
1549487814,503
1549487817,503
1549487820,503
1549487823,503
1549487826,503
1549487829,503
1549487832,503
1549487835,503
1549487838,503
1549487841,503
1549487844,503
1549487847,503
1549487850,503
1549487853,519
1549487856,519
1549487859,519
1549487862,519
1549487865,519
1549487868,519
1549487871,519
1549487874,519
1549487877,519
1549487880,519
1549487883,519
1549487886,519
1549487889,519
t,value
1549487960,43
1549487963,43
1549487966,527
1549487969,527
1549487972,527
1549487975,527
1549487978,527
1549487983,527
1549487984,527
1549487987,527
1549487990,527
1549487993,527
1549487996,545
1549487999,545
1549488002,563
1549488005,581
1549488008,581
1549488011,581
1549488014,599
1549488017,644
1549488020,644
1549488023,644
1549488026,662
1549488029,662
1549488032,680
1549488035,684
1549488038,688
1549488041,688
1549488044,692
1549488047,692
1549488050,696
1549488053,711
1549488056,729
1549488059,729
1549488062,747
1549488065,747
1549488068,765
1549488071,783
1549488074,783
1549488077,810
1549488080,828
1549488083,828
1549488086,846
1549488089,846
1549488092,864
1549488095,864
1549488098,882
1549488101,882
1549488104,900
1549488107,900
1549488110,900
1549488113,900
1549488116,900
1549488119,918
1549488122,918
1549488125,918
1549488128,922
1549488131,922
1549488134,926
1549488137,953
1549488140,957
1549488143,957
1549488146,961
1549488149,961
1549488152,983
1549488155,983
1549488158,983
1549488161,1001
1549488164,1001
1549488167,1019
1549488170,1019
1549488173,1019
1549488176,1019
1549488179,1019
1549488182,1019
1549488185,1037
1549488188,1037
1549488191,1056
1549488194,1056
1549488197,1101
1549488200,1101
1549488203,1101
1549488206,1101
1549488209,1101
1549488212,1101
1549488215,1174
1549488218,1174
1549488221,1194
1549488224,1194
1549488227,1220
1549488230,1241
1549488233,1262
1549488236,1262
1549488239,1283
1549488242,1283
1549488245,1283
1549488248,1294
1549488251,1294
1549488254,1312
1549488257,1339
1549488260,1339
1549488263,1339
1549488266,1360
1549488269,1378
1549488272,1378
1549488275,1389
1549488278,1389
1549488281,1407
1549488284,1428
1549488287,1428
1549488290,1449
1549488293,1449
1549488296,1460
1549488299,1478
1549488302,1478
1549488305,1496
1549488308,1496
1549488311,1517
1549488314,1517
1549488317,1555
1549488320,1555
1549488323,1573
1549488326,1594
1549488329,1615
1549488332,1615
1549488335,1626
1549488338,1626
1549488341,1644
1549488344,1644
1549488347,1665
