t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,23
1549486908,23
1549486911,23
1549486914,23
1549486917,23
1549486920,23
1549486923,23
1549486926,23
1549486929,23
1549486932,23
1549486935,23
1549486938,23
1549486941,23
1549486944,23
1549486947,23
1549486950,23
1549486953,23
1549486956,23
1549486959,23
1549486962,23
1549486965,23
1549486968,23
1549486971,23
1549486974,23
1549486977,23
1549486980,23
1549486983,23
1549486986,23
1549486989,23
1549486992,23
1549486995,23
1549486998,23
1549487001,23
1549487004,23
1549487007,23
1549487010,23
1549487013,23
1549487016,23
1549487019,23
1549487022,23
1549487025,23
1549487028,23
1549487031,23
1549487034,23
1549487037,23
1549487040,23
1549487043,23
1549487046,23
1549487049,23
1549487052,23
1549487055,23
1549487058,23
1549487061,23
1549487064,23
1549487067,23
1549487070,23
1549487073,23
1549487076,23
1549487079,23
1549487082,23
1549487085,23
1549487088,23
1549487091,23
1549487094,23
1549487097,23
1549487100,23
1549487103,23
1549487106,23
1549487109,23
1549487112,23
1549487115,23
1549487118,23
1549487121,23
1549487124,23
1549487127,23
1549487130,23
1549487133,23
1549487136,23
1549487139,23
1549487142,23
1549487145,23
1549487148,23
1549487151,23
1549487154,23
1549487157,23
1549487160,23
1549487163,23
1549487166,23
1549487169,23
1549487172,23
1549487175,23
1549487178,23
1549487181,23
1549487184,23
1549487187,23
1549487190,23
1549487193,23
1549487196,23
1549487199,23
1549487202,23
1549487205,23
1549487208,23
1549487211,23
1549487214,23
1549487217,23
1549487220,23
1549487223,23
1549487226,23
1549487229,23
1549487232,23
1549487235,23
1549487238,23
1549487241,23
1549487244,23
1549487247,23
1549487250,23
1549487253,23
1549487256,23
1549487259,23
1549487262,23
1549487265,23
1549487268,23
1549487271,23
1549487274,23
1549487277,23
1549487280,23
1549487283,23
1549487286,23
1549487289,23
1549487292,23
1549487295,23
1549487298,23
1549487301,23
1549487304,23
1549487307,23
1549487310,23
1549487313,23
1549487316,23
1549487319,23
1549487322,23
1549487325,23
1549487328,23
1549487331,23
1549487334,23
1549487337,23
1549487340,23
1549487343,23
1549487346,23
1549487349,23
1549487352,23
1549487355,23
1549487358,23
1549487361,23
1549487364,23
1549487367,23
1549487370,23
1549487373,23
1549487376,23
1549487379,23
1549487382,23
1549487385,23
1549487388,23
1549487391,23
1549487394,23
1549487397,23
1549487400,23
1549487403,23
1549487406,23
1549487409,23
1549487412,23
1549487415,23
1549487418,23
1549487421,23
1549487424,23
1549487427,23
1549487430,23
1549487433,23
1549487436,23
1549487439,23
1549487442,23
1549487445,23
1549487448,23
1549487451,23
1549487454,23
1549487457,23
1549487460,23
1549487463,23
1549487466,23
1549487469,23
1549487472,23
1549487475,23
1549487478,23
1549487481,23
1549487484,23
1549487487,23
1549487490,23
1549487493,23
1549487496,23
1549487499,23
1549487502,23
1549487505,23
1549487508,23
1549487511,23
1549487514,30
1549487517,30
1549487520,30
1549487523,30
1549487526,30
1549487529,30
1549487532,30
1549487535,30
1549487538,30
1549487541,30
1549487544,30
1549487547,30
1549487550,30
1549487553,30
1549487556,30
1549487559,30
1549487562,30
1549487565,30
1549487568,30
1549487571,30
1549487574,30
1549487577,30
1549487580,30
1549487583,30
1549487586,30
1549487589,30
1549487592,30
1549487595,30
1549487598,30
1549487601,30
1549487604,33
1549487607,33
1549487610,33
1549487613,33
1549487616,33
1549487619,33
1549487622,33
1549487625,33
1549487628,33
1549487631,33
1549487634,33
1549487637,33
1549487640,33
1549487643,33
1549487646,33
1549487649,33
1549487652,33
1549487655,33
1549487658,33
1549487661,33
1549487664,33
1549487667,33
1549487670,33
1549487673,33
1549487676,33
1549487679,33
1549487682,33
1549487685,33
1549487688,33
1549487691,33
1549487694,33
1549487697,33
1549487700,33
1549487703,33
1549487706,33
1549487709,33
1549487712,33
1549487715,33
1549487718,33
1549487721,33
1549487724,33
1549487727,33
1549487730,33
1549487733,33
1549487736,33
1549487739,33
1549487742,33
1549487745,33
1549487748,33
1549487751,33
1549487754,33
1549487757,33
1549487760,33
1549487763,33
1549487766,33
1549487769,33
1549487772,33
1549487775,33
1549487778,33
1549487781,33
1549487784,33
1549487787,33
1549487790,33
1549487793,33
1549487796,33
1549487799,33
1549487802,33
1549487805,33
1549487808,33
1549487811,33
1549487814,33
1549487817,33
1549487820,33
1549487823,33
1549487826,33
1549487829,33
1549487832,33
1549487835,33
1549487838,33
1549487841,33
1549487844,33
1549487847,33
1549487850,33
1549487853,33
1549487856,33
1549487859,33
1549487862,33
1549487865,33
1549487868,33
1549487871,33
1549487874,33
1549487877,33
1549487880,33
1549487883,33
1549487886,33
1549487889,33
t,value
1549487960,0
1549487963,0
1549487966,39
1549487969,39
1549487972,39
1549487975,39
1549487978,39
1549487983,39
1549487984,39
1549487987,39
1549487990,39
1549487993,39
1549487996,39
1549487999,39
1549488002,39
1549488005,39
1549488008,39
1549488011,39
1549488014,39
1549488017,39
1549488020,39
1549488023,39
1549488026,39
1549488029,39
1549488032,39
1549488035,39
1549488038,39
1549488041,39
1549488044,39
1549488047,39
1549488050,39
1549488053,39
1549488056,39
1549488059,39
1549488062,39
1549488065,39
1549488068,39
1549488071,39
1549488074,39
1549488077,39
1549488080,39
1549488083,39
1549488086,39
1549488089,39
1549488092,39
1549488095,39
1549488098,39
1549488101,39
1549488104,39
1549488107,39
1549488110,39
1549488113,39
1549488116,39
1549488119,39
1549488122,39
1549488125,39
1549488128,39
1549488131,39
1549488134,39
1549488137,39
1549488140,39
1549488143,39
1549488146,39
1549488149,39
1549488152,39
1549488155,39
1549488158,39
1549488161,39
1549488164,39
1549488167,39
1549488170,39
1549488173,39
1549488176,39
1549488179,39
1549488182,39
1549488185,39
1549488188,39
1549488191,39
1549488194,39
1549488197,39
1549488200,39
1549488203,39
1549488206,39
1549488209,39
1549488212,39
1549488215,39
1549488218,39
1549488221,39
1549488224,39
1549488227,39
1549488230,39
1549488233,39
1549488236,39
1549488239,39
1549488242,39
1549488245,39
1549488248,39
1549488251,39
1549488254,39
1549488257,39
1549488260,39
1549488263,39
1549488266,39
1549488269,39
1549488272,39
1549488275,39
1549488278,39
1549488281,39
1549488284,39
1549488287,39
1549488290,39
1549488293,39
1549488296,39
1549488299,39
1549488302,39
1549488305,39
1549488308,39
1549488311,39
1549488314,39
1549488317,39
1549488320,39
1549488323,39
1549488326,39
1549488329,39
1549488332,39
1549488335,39
1549488338,39
1549488341,39
1549488344,39
1549488347,39
1549488350,39
1549488353,39
1549488356,39
1549488359,39
1549488362,39
1549488365,39
1549488368,39
1549488371,39
1549488374,39
1549488377,39
1549488380,39
1549488383,39
1549488386,39
1549488389,39
1549488392,39
1549488395,39
1549488398,39
1549488401,39
1549488404,40
1549488407,40
1549488410,40
1549488413,40
1549488416,40
1549488419,40
1549488422,40
1549488425,40
1549488428,40
1549488431,40
1549488434,40
1549488437,40
1549488440,40
1549488443,40
1549488446,40
1549488449,40
1549488452,40
1549488455,40
1549488458,40
1549488461,40
1549488464,40
1549488467,40
1549488470,40
1549488473,40
1549488476,40
1549488479,40
1549488482,40
1549488485,40
1549488488,40
1549488491,40
1549488494,40
1549488497,40
1549488500,40
1549488503,40
1549488506,40
1549488509,40
1549488512,40
1549488515,40
1549488518,40
1549488521,40
1549488524,40
1549488527,40
1549488530,40
1549488533,40
1549488536,40
1549488539,40
1549488542,40
1549488545,40
1549488548,40
1549488551,40
1549488554,40
1549488557,40
1549488560,40
1549488563,40
1549488566,40
1549488569,40
1549488572,40
1549488575,40
1549488578,40
1549488581,40
1549488584,40
1549488587,40
1549488590,40
1549488593,40
1549488596,40
1549488599,40
1549488602,40
1549488605,40
1549488608,40
1549488611,40
1549488614,40
1549488617,40
1549488620,40
1549488623,40
1549488626,40
1549488629,40
1549488632,40
1549488635,40
1549488638,40
1549488641,40
1549488644,40
1549488647,40
1549488650,40
1549488653,40
1549488656,40
1549488659,40
1549488662,40
1549488665,40
1549488668,40
1549488671,40
1549488674,40
1549488677,40
1549488680,40
1549488683,40
1549488686,40
1549488689,40
1549488692,40
1549488695,40
1549488698,40
1549488701,40
1549488704,40
1549488707,40
1549488710,40
1549488713,40
1549488716,40
1549488719,40
1549488722,40
1549488725,40
1549488728,40
1549488731,40
1549488734,40
1549488737,40
1549488740,40
1549488743,40
1549488746,40
