t,value
1549486896,20
1549486899,20
1549486902,20
1549486905,69
1549486908,69
1549486911,69
1549486914,69
1549486917,69
1549486920,69
1549486923,69
1549486926,69
1549486929,69
1549486932,69
1549486935,69
1549486938,69
1549486941,69
1549486944,69
1549486947,69
1549486950,69
1549486953,89
1549486956,89
1549486959,89
1549486962,89
1549486965,89
1549486968,89
1549486971,89
1549486974,89
1549486977,89
1549486980,89
1549486983,89
1549486986,89
1549486989,89
1549486992,89
1549486995,89
1549486998,89
1549487001,89
1549487004,89
1549487007,89
1549487010,89
1549487013,109
1549487016,109
1549487019,109
1549487022,109
1549487025,109
1549487028,109
1549487031,109
1549487034,109
1549487037,109
1549487040,109
1549487043,109
1549487046,109
1549487049,109
1549487052,109
1549487055,109
1549487058,109
1549487061,109
1549487064,109
1549487067,109
1549487070,109
1549487073,129
1549487076,129
1549487079,129
1549487082,129
1549487085,129
1549487088,129
1549487091,129
1549487094,129
1549487097,129
1549487100,129
1549487103,129
1549487106,129
1549487109,129
1549487112,129
1549487115,129
1549487118,129
1549487121,129
1549487124,129
1549487127,129
1549487130,129
1549487133,149
1549487136,149
1549487139,149
1549487142,149
1549487145,149
1549487148,149
1549487151,149
1549487154,149
1549487157,149
1549487160,149
1549487163,149
1549487166,149
1549487169,149
1549487172,149
1549487175,149
1549487178,149
1549487181,149
1549487184,149
1549487187,149
1549487190,149
1549487193,169
1549487196,169
1549487199,169
1549487202,169
1549487205,169
1549487208,169
1549487211,169
1549487214,169
1549487217,169
1549487220,169
1549487223,169
1549487226,169
1549487229,169
1549487232,169
1549487235,169
1549487238,169
1549487241,169
1549487244,169
1549487247,169
1549487250,169
1549487253,189
1549487256,189
1549487259,189
1549487262,189
1549487265,189
1549487268,189
1549487271,189
1549487274,189
1549487277,189
1549487280,189
1549487283,189
1549487286,189
1549487289,189
1549487292,189
1549487295,189
1549487298,189
1549487301,189
1549487304,189
1549487307,189
1549487310,189
1549487313,209
1549487316,209
1549487319,209
1549487322,209
1549487325,209
1549487328,209
1549487331,209
1549487334,209
1549487337,209
1549487340,209
1549487343,209
1549487346,209
1549487349,209
1549487352,209
1549487355,209
1549487358,209
1549487361,209
1549487364,209
1549487367,209
1549487370,209
1549487373,229
1549487376,229
1549487379,229
1549487382,229
1549487385,229
1549487388,229
1549487391,229
1549487394,229
1549487397,229
1549487400,229
1549487403,229
1549487406,229
1549487409,229
1549487412,229
1549487415,229
1549487418,229
1549487421,229
1549487424,229
1549487427,229
1549487430,229
1549487433,249
1549487436,249
1549487439,249
1549487442,249
1549487445,249
1549487448,249
1549487451,249
1549487454,249
1549487457,249
1549487460,249
1549487463,249
1549487466,249
1549487469,249
1549487472,249
1549487475,249
1549487478,249
1549487481,249
1549487484,249
1549487487,249
1549487490,249
1549487493,269
1549487496,269
1549487499,269
1549487502,269
1549487505,269
1549487508,269
1549487511,269
1549487514,539
1549487517,539
1549487520,539
1549487523,539
1549487526,539
1549487529,539
1549487532,539
1549487535,539
1549487538,539
1549487541,539
1549487544,539
1549487547,539
1549487550,539
1549487553,564
1549487556,564
1549487559,564
1549487562,564
1549487565,564
1549487568,564
1549487571,564
1549487574,564
1549487577,564
1549487580,564
1549487583,564
1549487586,564
1549487589,564
1549487592,564
1549487595,564
1549487598,564
1549487601,564
1549487604,584
1549487607,584
1549487610,584
1549487613,611
1549487616,611
1549487619,611
1549487622,611
1549487625,611
1549487628,611
1549487631,611
1549487634,611
1549487637,611
1549487640,629
1549487643,629
1549487646,629
1549487649,629
1549487652,629
1549487655,629
1549487658,629
1549487661,629
1549487664,629
1549487667,629
1549487670,629
1549487673,656
1549487676,656
1549487679,656
1549487682,656
1549487685,656
1549487688,674
1549487691,674
1549487694,674
1549487697,674
1549487700,674
1549487703,674
1549487706,674
1549487709,674
1549487712,674
1549487715,674
1549487718,674
1549487721,674
1549487724,674
1549487727,674
1549487730,674
1549487733,701
1549487736,701
1549487739,701
1549487742,701
1549487745,701
1549487748,701
1549487751,701
1549487754,701
1549487757,719
1549487760,719
1549487763,719
1549487766,719
1549487769,719
1549487772,719
1549487775,719
1549487778,719
1549487781,719
1549487784,719
1549487787,719
1549487790,719
1549487793,746
1549487796,746
1549487799,746
1549487802,746
1549487805,746
1549487808,746
1549487811,746
1549487814,746
1549487817,746
1549487820,746
1549487823,746
1549487826,746
1549487829,746
1549487832,746
1549487835,746
1549487838,746
1549487841,746
1549487844,746
1549487847,746
1549487850,746
1549487853,773
1549487856,773
1549487859,773
1549487862,773
1549487865,773
1549487868,773
1549487871,773
1549487874,773
1549487877,773
1549487880,773
1549487883,773
1549487886,773
1549487889,773
t,value
1549487960,43
1549487963,43
1549487966,566
1549487969,566
1549487972,566
1549487975,566
1549487978,566
1549487983,566
1549487984,566
1549487987,566
1549487990,566
1549487993,566
1549487996,584
1549487999,584
1549488002,602
1549488005,620
1549488008,620
1549488011,620
1549488014,638
1549488017,683
1549488020,683
1549488023,683
1549488026,701
1549488029,701
1549488032,719
1549488035,723
1549488038,727
1549488041,727
1549488044,731
1549488047,731
1549488050,735
1549488053,750
1549488056,768
1549488059,768
