t,value
1549486896,6
1549486899,6
1549486902,6
1549486905,52
1549486908,52
1549486911,52
1549486914,52
1549486917,52
1549486920,52
1549486923,52
1549486926,52
1549486929,52
1549486932,52
1549486935,52
1549486938,52
1549486941,52
1549486944,52
1549486947,52
1549486950,52
1549486953,58
1549486956,58
1549486959,58
1549486962,58
1549486965,58
1549486968,58
1549486971,58
1549486974,58
1549486977,58
1549486980,58
1549486983,58
1549486986,58
1549486989,58
1549486992,58
1549486995,58
1549486998,58
1549487001,58
1549487004,58
1549487007,58
1549487010,58
1549487013,64
1549487016,64
1549487019,64
1549487022,64
1549487025,64
1549487028,64
1549487031,64
1549487034,64
1549487037,64
1549487040,64
1549487043,64
1549487046,64
1549487049,64
1549487052,64
1549487055,64
1549487058,64
1549487061,64
1549487064,64
1549487067,64
1549487070,64
1549487073,70
1549487076,70
1549487079,70
1549487082,70
1549487085,70
1549487088,70
1549487091,70
1549487094,70
1549487097,70
1549487100,70
1549487103,70
1549487106,70
1549487109,70
1549487112,70
1549487115,70
1549487118,70
1549487121,70
1549487124,70
1549487127,70
1549487130,70
1549487133,76
1549487136,76
1549487139,76
1549487142,76
1549487145,76
1549487148,76
1549487151,76
1549487154,76
1549487157,76
1549487160,76
1549487163,76
1549487166,76
1549487169,76
1549487172,76
1549487175,76
1549487178,76
1549487181,76
1549487184,76
1549487187,76
1549487190,76
1549487193,82
1549487196,82
1549487199,82
1549487202,82
1549487205,82
1549487208,82
1549487211,82
1549487214,82
1549487217,82
1549487220,82
1549487223,82
1549487226,82
1549487229,82
1549487232,82
1549487235,82
1549487238,82
1549487241,82
1549487244,82
1549487247,82
1549487250,82
1549487253,88
1549487256,88
1549487259,88
1549487262,88
1549487265,88
1549487268,88
1549487271,88
1549487274,88
1549487277,88
1549487280,88
1549487283,88
1549487286,88
1549487289,88
1549487292,88
1549487295,88
1549487298,88
1549487301,88
1549487304,88
1549487307,88
1549487310,88
1549487313,94
1549487316,94
1549487319,94
1549487322,94
1549487325,94
1549487328,94
1549487331,94
1549487334,94
1549487337,94
1549487340,94
1549487343,94
1549487346,94
1549487349,94
1549487352,94
1549487355,94
1549487358,94
1549487361,94
1549487364,94
1549487367,94
1549487370,94
1549487373,100
1549487376,100
1549487379,100
1549487382,100
1549487385,100
1549487388,100
1549487391,100
1549487394,100
1549487397,100
1549487400,100
1549487403,100
1549487406,100
1549487409,100
1549487412,100
1549487415,100
1549487418,100
1549487421,100
1549487424,100
1549487427,100
1549487430,100
1549487433,106
1549487436,106
1549487439,106
1549487442,106
1549487445,106
1549487448,106
1549487451,106
1549487454,106
1549487457,106
1549487460,106
1549487463,106
1549487466,106
1549487469,106
1549487472,106
1549487475,106
1549487478,106
1549487481,106
1549487484,106
1549487487,106
1549487490,106
1549487493,112
1549487496,112
1549487499,112
1549487502,112
1549487505,112
1549487508,112
1549487511,112
1549487514,382
1549487517,382
1549487520,382
1549487523,382
1549487526,382
1549487529,382
1549487532,382
1549487535,382
1549487538,382
1549487541,382
1549487544,382
1549487547,382
1549487550,382
1549487553,395
1549487556,395
1549487559,395
1549487562,395
1549487565,395
1549487568,395
1549487571,395
1549487574,395
1549487577,395
1549487580,395
1549487583,395
1549487586,395
1549487589,395
1549487592,395
1549487595,395
1549487598,395
1549487601,395
1549487604,412
1549487607,412
1549487610,412
1549487613,428
1549487616,428
1549487619,428
1549487622,428
1549487625,428
1549487628,430
1549487631,430
1549487634,430
1549487637,430
1549487640,445
1549487643,445
1549487646,445
1549487649,445
1549487652,445
1549487655,445
1549487658,445
1549487661,447
1549487664,447
1549487667,447
1549487670,447
1549487673,463
1549487676,463
1549487679,463
1549487682,463
1549487685,463
1549487688,480
1549487691,480
1549487694,480
1549487697,480
1549487700,480
1549487703,480
1549487706,480
1549487709,480
1549487712,480
1549487715,480
1549487718,480
1549487721,480
1549487724,480
1549487727,480
1549487730,480
1549487733,496
1549487736,496
1549487739,496
1549487742,496
1549487745,496
1549487748,496
1549487751,496
1549487754,496
1549487757,511
1549487760,511
1549487763,511
1549487766,511
1549487769,511
1549487772,511
1549487775,511
1549487778,513
1549487781,513
1549487784,513
1549487787,513
1549487790,513
1549487793,529
1549487796,529
1549487799,529
1549487802,529
1549487805,529
1549487808,529
1549487811,529
1549487814,529
1549487817,529
1549487820,529
1549487823,529
1549487826,529
1549487829,529
1549487832,529
1549487835,529
1549487838,529
1549487841,529
1549487844,529
1549487847,529
1549487850,529
1549487853,545
1549487856,545
1549487859,545
1549487862,545
1549487865,545
1549487868,545
1549487871,545
1549487874,545
1549487877,545
1549487880,545
1549487883,545
1549487886,545
1549487889,545
t,value
1549487960,43
1549487963,43
1549487966,565
1549487969,565
1549487972,565
1549487975,565
1549487978,565
1549487983,565
1549487984,565
1549487987,565
1549487990,565
1549487993,565
1549487996,582
1549487999,582
1549488002,599
1549488005,616
1549488008,616
1549488011,616
1549488014,633
1549488017,675
1549488020,677
1549488023,677
1549488026,694
1549488029,694
1549488032,711
1549488035,715
1549488038,719
1549488041,719
1549488044,723
1549488047,723
1549488050,727
1549488053,741
1549488056,758
1549488059,758
1549488062,775
1549488065,775
1549488068,792
1549488071,809
1549488074,809
1549488077,836
1549488080,853
1549488083,853
1549488086,870
1549488089,870
1549488092,887
1549488095,887
1549488098,902
1549488101,904
1549488104,919
1549488107,921
1549488110,921
1549488113,921
1549488116,921
1549488119,936
1549488122,938
1549488125,938
1549488128,942
1549488131,942
1549488134,946
1549488137,973
1549488140,977
1549488143,977
1549488146,981
1549488149,981
1549488152,1002
1549488155,1002
1549488158,1002
1549488161,1019
1549488164,1019
1549488167,1036
1549488170,1036
1549488173,1036
1549488176,1036
1549488179,1036
1549488182,1036
1549488185,1053
1549488188,1053
1549488191,1071
1549488194,1071
1549488197,1115
1549488200,1115
1549488203,1115
1549488206,1115
1549488209,1115
1549488212,1115
1549488215,1187
1549488218,1187
1549488221,1204
1549488224,1206
1549488227,1231
1549488230,1251
1549488233,1269
1549488236,1271
1549488239,1291
1549488242,1291
1549488245,1291
1549488248,1301
1549488251,1301
1549488254,1318
1549488257,1345
1549488260,1345
1549488263,1345
1549488266,1365
1549488269,1382
1549488272,1382
1549488275,1392
1549488278,1407
1549488281,1409
1549488284,1427
1549488287,1429
1549488290,1449
1549488293,1449
1549488296,1459
1549488299,1474
1549488302,1476
1549488305,1493
1549488308,1493
1549488311,1513
1549488314,1513
1549488317,1550
1549488320,1550
1549488323,1567
1549488326,1587
1549488329,1607
1549488332,1607
1549488335,1617
1549488338,1617
1549488341,1634
1549488344,1634
1549488347,1654
