t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,1
1549486914,5
1549486917,9
1549486920,27
1549486923,27
1549486926,27
1549486929,27
1549486932,27
1549486935,27
1549486938,31
1549486941,31
1549486944,31
1549486947,31
1549486950,31
1549486953,31
1549486956,33
1549486959,37
1549486962,37
1549486965,38
1549486968,38
1549486971,38
1549486974,38
1549486977,39
1549486980,43
1549486983,43
1549486986,43
1549486989,45
1549486992,46
1549486995,46
1549486998,47
1549487001,51
1549487004,52
1549487007,53
1549487010,53
1549487013,54
1549487016,54
1549487019,58
1549487022,58
1549487025,58
1549487028,58
1549487031,59
1549487034,59
1549487037,59
1549487040,59
1549487043,63
1549487046,63
1549487049,63
1549487052,64
1549487055,64
1549487058,65
1549487061,69
1549487064,69
1549487067,69
1549487070,69
1549487073,69
1549487076,69
1549487079,70
1549487082,74
1549487085,74
1549487088,74
1549487091,74
1549487094,74
1549487097,74
1549487100,78
1549487103,78
1549487106,78
1549487109,79
1549487112,79
1549487115,79
1549487118,80
1549487121,85
1549487124,85
1549487127,85
1549487130,86
1549487133,86
1549487136,86
1549487139,86
1549487142,90
1549487145,90
1549487148,90
1549487151,90
1549487154,90
1549487157,90
1549487160,90
1549487163,94
1549487166,94
1549487169,94
1549487172,94
1549487175,94
1549487178,94
1549487181,98
1549487184,98
1549487187,98
1549487190,98
1549487193,98
1549487196,98
1549487199,98
1549487202,102
1549487205,102
1549487208,102
1549487211,102
1549487214,102
1549487217,103
1549487220,103
1549487223,107
1549487226,107
1549487229,107
1549487232,107
1549487235,107
1549487238,107
1549487241,107
1549487244,111
1549487247,111
1549487250,111
1549487253,111
1549487256,111
1549487259,111
1549487262,115
1549487265,115
1549487268,115
1549487271,115
1549487274,115
1549487277,115
1549487280,115
1549487283,119
1549487286,119
1549487289,119
1549487292,119
1549487295,119
1549487298,119
1549487301,119
1549487304,123
1549487307,123
1549487310,123
1549487313,123
1549487316,123
1549487319,123
1549487322,123
1549487325,127
1549487328,127
1549487331,127
1549487334,127
1549487337,127
1549487340,127
1549487343,131
1549487346,131
1549487349,131
1549487352,131
1549487355,131
1549487358,131
1549487361,131
1549487364,135
1549487367,135
1549487370,135
1549487373,135
1549487376,135
1549487379,135
1549487382,135
1549487385,139
1549487388,139
1549487391,139
1549487394,139
1549487397,139
1549487400,139
1549487403,139
1549487406,143
1549487409,143
1549487412,143
1549487415,143
1549487418,143
1549487421,143
1549487424,147
1549487427,147
1549487430,147
1549487433,147
1549487436,147
1549487439,147
1549487442,147
1549487445,151
1549487448,151
1549487451,151
1549487454,151
1549487457,151
1549487460,151
1549487463,151
1549487466,151
1549487469,155
1549487472,155
1549487475,155
1549487478,155
1549487481,155
1549487484,155
1549487487,156
1549487490,156
1549487493,160
1549487496,160
1549487499,160
1549487502,160
1549487505,160
1549487508,161
1549487511,161
1549487514,182
1549487517,185
1549487520,185
1549487523,189
1549487526,189
1549487529,189
1549487532,189
1549487535,193
1549487538,193
1549487541,193
1549487544,193
1549487547,193
1549487550,193
1549487553,193
1549487556,193
1549487559,193
1549487562,197
1549487565,197
1549487568,197
1549487571,197
1549487574,197
1549487577,197
1549487580,197
1549487583,201
1549487586,201
1549487589,201
1549487592,201
1549487595,201
1549487598,201
1549487601,206
1549487604,208
1549487607,208
1549487610,208
1549487613,208
1549487616,208
1549487619,208
1549487622,208
1549487625,208
1549487628,216
1549487631,216
1549487634,216
1549487637,216
1549487640,217
1549487643,217
1549487646,217
1549487649,217
1549487652,217
1549487655,217
1549487658,217
1549487661,221
1549487664,221
1549487667,225
1549487670,225
1549487673,225
1549487676,225
1549487679,225
1549487682,225
1549487685,225
1549487688,229
1549487691,229
1549487694,229
1549487697,229
1549487700,229
1549487703,229
1549487706,230
1549487709,236
1549487712,236
1549487715,236
1549487718,236
1549487721,236
1549487724,238
1549487727,238
1549487730,238
1549487733,238
1549487736,238
1549487739,238
1549487742,238
1549487745,238
1549487748,238
1549487751,238
1549487754,238
1549487757,243
1549487760,243
1549487763,243
1549487766,243
1549487769,243
1549487772,243
1549487775,243
1549487778,251
1549487781,251
1549487784,251
1549487787,251
1549487790,251
1549487793,251
1549487796,251
1549487799,251
1549487802,251
1549487805,251
1549487808,251
1549487811,251
1549487814,251
1549487817,251
1549487820,251
1549487823,255
1549487826,255
1549487829,255
1549487832,255
1549487835,255
1549487838,255
1549487841,255
1549487844,256
1549487847,260
1549487850,260
1549487853,260
1549487856,260
1549487859,260
1549487862,260
1549487865,264
1549487868,264
1549487871,264
1549487874,264
1549487877,264
1549487880,264
1549487883,264
1549487886,264
1549487889,268
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,1
1549487975,3
1549487978,27
1549487983,27
1549487984,27
1549487987,27
1549487990,27
1549487993,27
1549487996,37
1549487999,38
1549488002,43
1549488005,49
1549488008,49
1549488011,50
1549488014,55
1549488017,65
1549488020,65
1549488023,65
1549488026,71
1549488029,72
1549488032,77
1549488035,83
1549488038,93
1549488041,94
1549488044,99
1549488047,100
1549488050,105
1549488053,111
1549488056,117
1549488059,122
1549488062,127
1549488065,128
1549488068,133
1549488071,139
1549488074,139
1549488077,143
1549488080,149
1549488083,150
1549488086,155
1549488089,155
1549488092,161
1549488095,161
1549488098,167
1549488101,171
1549488104,173
1549488107,177
1549488110,177
1549488113,178
1549488116,182
1549488119,183
1549488122,187
1549488125,187
1549488128,193
1549488131,193
1549488134,199
1549488137,204
1549488140,209
1549488143,209
1549488146,215
1549488149,215
1549488152,218
1549488155,222
1549488158,226
1549488161,232
1549488164,232
1549488167,238
1549488170,238
1549488173,239
1549488176,239
1549488179,243
1549488182,243
1549488185,248
1549488188,248
1549488191,254
1549488194,256
1549488197,264
1549488200,264
1549488203,264
1549488206,264
1549488209,264
1549488212,264
1549488215,282
1549488218,286
1549488221,289
1549488224,293
1549488227,300
1549488230,306
1549488233,308
1549488236,313
1549488239,322
1549488242,322
1549488245,323
1549488248,328
1549488251,330
1549488254,334
1549488257,338
1549488260,338
1549488263,339
1549488266,344
1549488269,350
1549488272,350
1549488275,356
1549488278,362
1549488281,366
1549488284,368
1549488287,372
1549488290,378
1549488293,378
1549488296,388
1549488299,390
1549488302,394
1549488305,400
1549488308,400
1549488311,406
1549488314,406
1549488317,416
1549488320,417
1549488323,422
1549488326,428
1549488329,434
1549488332,435
1549488335,440
1549488338,445
1549488341,450
1549488344,450
1549488347,456
1549488350,458
1549488353,462
1549488356,473
1549488359,474
1549488362,479
1549488365,485
1549488368,491
1549488371,491
1549488374,492
1549488377,501
1549488380,503
1549488383,507
1549488386,509
1549488389,514
1549488392,519
1549488395,519
1549488398,524
1549488401,524
1549488404,534
1549488407,534
1549488410,540
1549488413,546
1549488416,548
1549488419,556
1549488422,563
1549488425,564
1549488428,569
1549488431,569
1549488434,569
1549488437,569
1549488440,573
1549488443,573
1549488446,573
1549488449,573
1549488452,573
1549488455,573
1549488458,577
1549488461,577
1549488464,577
1549488467,577
1549488470,579
1549488473,584
1549488476,584
1549488479,588
1549488482,588
1549488485,588
1549488488,588
1549488491,588
1549488494,588
1549488497,588
1549488500,592
1549488503,592
1549488506,592
1549488509,592
1549488512,592
1549488515,592
1549488518,596
1549488521,596
1549488524,596
1549488527,596
1549488530,596
1549488533,596
1549488536,596
1549488539,600
1549488542,600
1549488545,600
1549488548,600
1549488551,600
1549488554,600
1549488557,600
1549488560,604
1549488563,604
1549488566,604
1549488569,604
1549488572,604
1549488575,604
1549488578,608
1549488581,608
1549488584,608
1549488587,608
1549488590,608
1549488593,608
1549488596,608
1549488599,612
1549488602,612
1549488605,612
1549488608,612
1549488611,612
1549488614,612
1549488617,612
1549488620,616
1549488623,616
1549488626,616
1549488629,616
1549488632,616
1549488635,616
1549488638,620
1549488641,620
1549488644,620
1549488647,620
1549488650,620
1549488653,620
1549488656,620
1549488659,624
1549488662,624
1549488665,624
1549488668,624
1549488671,624
1549488674,624
1549488677,624
1549488680,628
1549488683,628
1549488686,628
1549488689,628
1549488692,628
1549488695,628
1549488698,632
1549488701,632
1549488704,632
1549488707,632
1549488710,632
1549488713,632
1549488716,632
1549488719,636
1549488722,636
1549488725,636
1549488728,636
1549488731,636
1549488734,636
1549488737,636
1549488740,640
1549488743,640
1549488746,640
