t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,1
1549486914,5
1549486917,9
1549486920,27
1549486923,27
1549486926,27
1549486929,27
1549486932,27
1549486935,27
1549486938,31
1549486941,31
1549486944,31
1549486947,31
1549486950,31
1549486953,31
1549486956,33
1549486959,37
1549486962,37
1549486965,38
1549486968,38
1549486971,38
1549486974,38
1549486977,39
1549486980,43
1549486983,43
1549486986,43
1549486989,45
1549486992,46
1549486995,46
1549486998,47
1549487001,51
1549487004,52
1549487007,53
1549487010,53
1549487013,54
1549487016,54
1549487019,58
1549487022,58
1549487025,58
1549487028,58
1549487031,59
1549487034,59
1549487037,59
1549487040,59
1549487043,63
1549487046,63
1549487049,63
1549487052,64
1549487055,64
1549487058,65
1549487061,69
1549487064,69
1549487067,69
1549487070,69
1549487073,69
1549487076,69
1549487079,70
1549487082,74
1549487085,74
1549487088,74
1549487091,74
1549487094,74
1549487097,74
1549487100,78
1549487103,78
1549487106,78
1549487109,79
1549487112,79
1549487115,79
1549487118,80
1549487121,85
1549487124,85
1549487127,85
1549487130,86
1549487133,86
1549487136,86
1549487139,86
1549487142,90
1549487145,90
1549487148,90
1549487151,90
1549487154,90
1549487157,90
1549487160,90
1549487163,94
1549487166,94
1549487169,94
1549487172,94
1549487175,94
1549487178,94
1549487181,98
1549487184,98
1549487187,98
1549487190,98
1549487193,98
1549487196,98
1549487199,98
1549487202,102
1549487205,102
1549487208,102
1549487211,102
1549487214,102
1549487217,103
1549487220,103
1549487223,107
1549487226,107
1549487229,107
1549487232,107
1549487235,107
1549487238,107
1549487241,107
1549487244,111
1549487247,111
1549487250,111
1549487253,111
1549487256,111
1549487259,111
1549487262,115
1549487265,115
1549487268,115
1549487271,115
1549487274,115
1549487277,115
1549487280,115
1549487283,119
1549487286,119
1549487289,119
1549487292,119
1549487295,119
1549487298,119
1549487301,119
1549487304,123
1549487307,123
1549487310,123
1549487313,123
1549487316,123
1549487319,123
1549487322,123
1549487325,127
1549487328,127
1549487331,127
1549487334,127
1549487337,127
1549487340,127
1549487343,131
1549487346,131
1549487349,131
1549487352,131
1549487355,131
1549487358,131
1549487361,131
1549487364,135
1549487367,135
1549487370,135
1549487373,135
1549487376,135
1549487379,135
1549487382,135
1549487385,139
1549487388,139
1549487391,139
1549487394,139
1549487397,139
1549487400,139
1549487403,139
1549487406,143
1549487409,143
1549487412,143
1549487415,143
1549487418,143
1549487421,143
1549487424,147
1549487427,147
1549487430,147
1549487433,147
1549487436,147
1549487439,147
1549487442,147
1549487445,151
1549487448,151
1549487451,151
1549487454,151
1549487457,151
1549487460,151
1549487463,151
1549487466,151
1549487469,155
1549487472,155
1549487475,155
1549487478,155
1549487481,155
1549487484,155
1549487487,156
1549487490,156
1549487493,160
1549487496,160
1549487499,160
1549487502,160
1549487505,160
1549487508,161
1549487511,161
1549487514,161
1549487517,164
1549487520,164
1549487523,168
1549487526,168
1549487529,168
1549487532,168
1549487535,172
1549487538,172
1549487541,172
1549487544,172
1549487547,172
1549487550,172
1549487553,172
1549487556,172
1549487559,172
1549487562,176
1549487565,176
1549487568,176
1549487571,176
1549487574,176
1549487577,176
1549487580,176
1549487583,180
1549487586,180
1549487589,180
1549487592,180
1549487595,180
1549487598,180
1549487601,185
1549487604,185
1549487607,185
1549487610,185
1549487613,185
1549487616,185
1549487619,185
1549487622,185
1549487625,185
1549487628,193
1549487631,193
1549487634,193
1549487637,193
1549487640,193
1549487643,193
1549487646,193
1549487649,193
1549487652,193
1549487655,193
1549487658,193
1549487661,197
1549487664,197
1549487667,201
1549487670,201
1549487673,201
1549487676,201
1549487679,201
1549487682,201
1549487685,201
1549487688,204
1549487691,204
1549487694,204
1549487697,204
1549487700,204
1549487703,204
1549487706,205
1549487709,211
1549487712,211
1549487715,211
1549487718,211
1549487721,211
1549487724,213
1549487727,213
1549487730,213
1549487733,213
1549487736,213
1549487739,213
1549487742,213
1549487745,213
1549487748,213
1549487751,213
1549487754,213
1549487757,217
1549487760,217
1549487763,217
1549487766,217
1549487769,217
1549487772,217
1549487775,217
1549487778,225
1549487781,225
1549487784,225
1549487787,225
1549487790,225
1549487793,225
1549487796,225
1549487799,225
1549487802,225
1549487805,225
1549487808,225
1549487811,225
1549487814,225
1549487817,225
1549487820,225
1549487823,229
1549487826,229
1549487829,229
1549487832,229
1549487835,229
1549487838,229
1549487841,229
1549487844,230
1549487847,234
1549487850,234
1549487853,234
1549487856,234
1549487859,234
1549487862,234
1549487865,238
1549487868,238
1549487871,238
1549487874,238
1549487877,238
1549487880,238
1549487883,238
1549487886,238
1549487889,242
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,1
1549487975,3
1549487978,27
1549487983,27
1549487984,27
1549487987,27
1549487990,27
1549487993,27
1549487996,36
1549487999,37
1549488002,41
1549488005,46
1549488008,46
1549488011,47
1549488014,51
1549488017,60
1549488020,60
1549488023,60
1549488026,65
1549488029,66
1549488032,70
1549488035,76
1549488038,86
1549488041,87
1549488044,92
1549488047,93
1549488050,98
1549488053,103
1549488056,108
1549488059,113
1549488062,117
1549488065,118
1549488068,122
1549488071,127
1549488074,127
1549488077,131
1549488080,136
1549488083,137
1549488086,141
1549488089,141
1549488092,146
1549488095,146
1549488098,151
1549488101,155
1549488104,156
1549488107,160
1549488110,160
1549488113,161
1549488116,165
1549488119,165
1549488122,169
1549488125,169
1549488128,175
1549488131,175
1549488134,181
1549488137,186
1549488140,191
1549488143,191
1549488146,197
1549488149,197
1549488152,198
1549488155,202
1549488158,206
1549488161,211
1549488164,211
1549488167,216
1549488170,216
1549488173,217
1549488176,217
1549488179,221
1549488182,221
1549488185,225
1549488188,225
1549488191,230
1549488194,231
1549488197,239
1549488200,239
1549488203,239
1549488206,239
1549488209,239
1549488212,239
1549488215,244
1549488218,248
1549488221,249
1549488224,254
1549488227,258
1549488230,263
1549488233,264
1549488236,269
1549488239,277
1549488242,277
1549488245,278
1549488248,282
1549488251,283
1549488254,287
1549488257,291
1549488260,291
1549488263,292
1549488266,296
1549488269,301
1549488272,301
1549488275,306
1549488278,311
1549488281,315
1549488284,316
1549488287,320
1549488290,325
1549488293,325
1549488296,334
1549488299,335
1549488302,339
1549488305,344
1549488308,344
1549488311,349
1549488314,349
1549488317,358
1549488320,359
1549488323,363
1549488326,368
1549488329,373
1549488332,374
1549488335,378
1549488338,383
1549488341,387
1549488344,387
1549488347,392
1549488350,393
1549488353,397
1549488356,406
1549488359,407
1549488362,411
1549488365,416
1549488368,421
1549488371,421
1549488374,422
1549488377,430
1549488380,431
1549488383,435
1549488386,436
1549488389,441
1549488392,445
1549488395,445
1549488398,450
1549488401,450
1549488404,454
1549488407,454
1549488410,459
1549488413,464
1549488416,465
1549488419,473
1549488422,478
1549488425,479
1549488428,483
1549488431,483
1549488434,483
1549488437,483
1549488440,487
1549488443,487
1549488446,487
1549488449,487
1549488452,487
1549488455,487
1549488458,491
1549488461,491
1549488464,491
1549488467,491
1549488470,493
1549488473,498
1549488476,498
1549488479,502
1549488482,502
1549488485,502
1549488488,502
1549488491,502
1549488494,502
1549488497,502
1549488500,506
1549488503,506
1549488506,506
1549488509,506
1549488512,506
1549488515,506
1549488518,510
1549488521,510
1549488524,510
1549488527,510
1549488530,510
1549488533,510
1549488536,510
1549488539,514
1549488542,514
1549488545,514
1549488548,514
1549488551,514
1549488554,514
1549488557,514
1549488560,518
1549488563,518
1549488566,518
1549488569,518
1549488572,518
1549488575,518
1549488578,522
1549488581,522
1549488584,522
1549488587,522
1549488590,522
1549488593,522
1549488596,522
1549488599,526
1549488602,526
1549488605,526
1549488608,526
1549488611,526
1549488614,526
1549488617,526
1549488620,530
1549488623,530
1549488626,530
1549488629,530
1549488632,530
1549488635,530
1549488638,534
1549488641,534
1549488644,534
1549488647,534
1549488650,534
1549488653,534
1549488656,534
1549488659,538
1549488662,538
1549488665,538
1549488668,538
1549488671,538
1549488674,538
1549488677,538
1549488680,542
1549488683,542
1549488686,542
1549488689,542
1549488692,542
1549488695,542
1549488698,546
1549488701,546
1549488704,546
1549488707,546
1549488710,546
1549488713,546
1549488716,546
1549488719,550
1549488722,550
1549488725,550
1549488728,550
1549488731,550
1549488734,550
1549488737,550
1549488740,554
1549488743,554
1549488746,554
