t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,0
1549486917,0
1549486920,0
1549486923,0
1549486926,0
1549486929,0
1549486932,0
1549486935,0
1549486938,0
1549486941,0
1549486944,0
1549486947,0
1549486950,0
1549486953,0
1549486956,0
1549486959,0
1549486962,0
1549486965,0
1549486968,0
1549486971,0
1549486974,0
1549486977,0
1549486980,0
1549486983,0
1549486986,0
1549486989,0
1549486992,0
1549486995,0
1549486998,0
1549487001,0
1549487004,0
1549487007,0
1549487010,0
1549487013,0
1549487016,0
1549487019,0
1549487022,0
1549487025,0
1549487028,0
1549487031,0
1549487034,0
1549487037,0
1549487040,0
1549487043,0
1549487046,0
1549487049,0
1549487052,0
1549487055,0
1549487058,0
1549487061,0
1549487064,0
1549487067,0
1549487070,0
1549487073,0
1549487076,0
1549487079,0
1549487082,0
1549487085,0
1549487088,0
1549487091,0
1549487094,0
1549487097,0
1549487100,0
1549487103,0
1549487106,0
1549487109,0
1549487112,0
1549487115,0
1549487118,0
1549487121,0
1549487124,0
1549487127,0
1549487130,0
1549487133,0
1549487136,0
1549487139,0
1549487142,0
1549487145,0
1549487148,0
1549487151,0
1549487154,0
1549487157,0
1549487160,0
1549487163,0
1549487166,0
1549487169,0
1549487172,0
1549487175,0
1549487178,0
1549487181,0
1549487184,0
1549487187,0
1549487190,0
1549487193,0
1549487196,0
1549487199,0
1549487202,0
1549487205,0
1549487208,0
1549487211,0
1549487214,0
1549487217,0
1549487220,0
1549487223,0
1549487226,0
1549487229,0
1549487232,0
1549487235,0
1549487238,0
1549487241,0
1549487244,0
1549487247,0
1549487250,0
1549487253,0
1549487256,0
1549487259,0
1549487262,0
1549487265,0
1549487268,0
1549487271,0
1549487274,0
1549487277,0
1549487280,0
1549487283,0
1549487286,0
1549487289,0
1549487292,0
1549487295,0
1549487298,0
1549487301,0
1549487304,0
1549487307,0
1549487310,0
1549487313,0
1549487316,0
1549487319,0
1549487322,0
1549487325,0
1549487328,0
1549487331,0
1549487334,0
1549487337,0
1549487340,0
1549487343,0
1549487346,0
1549487349,0
1549487352,0
1549487355,0
1549487358,0
1549487361,0
1549487364,0
1549487367,0
1549487370,0
1549487373,0
1549487376,0
1549487379,0
1549487382,0
1549487385,0
1549487388,0
1549487391,0
1549487394,0
1549487397,0
1549487400,0
1549487403,0
1549487406,0
1549487409,0
1549487412,0
1549487415,0
1549487418,0
1549487421,0
1549487424,0
1549487427,0
1549487430,0
1549487433,0
1549487436,0
1549487439,0
1549487442,0
1549487445,0
1549487448,0
1549487451,0
1549487454,0
1549487457,0
1549487460,0
1549487463,0
1549487466,0
1549487469,0
1549487472,0
1549487475,0
1549487478,0
1549487481,0
1549487484,0
1549487487,0
1549487490,0
1549487493,0
1549487496,0
1549487499,0
1549487502,0
1549487505,0
1549487508,0
1549487511,0
1549487514,21
1549487517,21
1549487520,21
1549487523,21
1549487526,21
1549487529,21
1549487532,21
1549487535,21
1549487538,21
1549487541,21
1549487544,21
1549487547,21
1549487550,21
1549487553,21
1549487556,21
1549487559,21
1549487562,21
1549487565,21
1549487568,21
1549487571,21
1549487574,21
1549487577,21
1549487580,21
1549487583,21
1549487586,21
1549487589,21
1549487592,21
1549487595,21
1549487598,21
1549487601,21
1549487604,23
1549487607,23
1549487610,23
1549487613,23
1549487616,23
1549487619,23
1549487622,23
1549487625,23
1549487628,23
1549487631,23
1549487634,23
1549487637,23
1549487640,24
1549487643,24
1549487646,24
1549487649,24
1549487652,24
1549487655,24
1549487658,24
1549487661,24
1549487664,24
1549487667,24
1549487670,24
1549487673,24
1549487676,24
1549487679,24
1549487682,24
1549487685,24
1549487688,25
1549487691,25
1549487694,25
1549487697,25
1549487700,25
1549487703,25
1549487706,25
1549487709,25
1549487712,25
1549487715,25
1549487718,25
1549487721,25
1549487724,25
1549487727,25
1549487730,25
1549487733,25
1549487736,25
1549487739,25
1549487742,25
1549487745,25
1549487748,25
1549487751,25
1549487754,25
1549487757,26
1549487760,26
1549487763,26
1549487766,26
1549487769,26
1549487772,26
1549487775,26
1549487778,26
1549487781,26
1549487784,26
1549487787,26
1549487790,26
1549487793,26
1549487796,26
1549487799,26
1549487802,26
1549487805,26
1549487808,26
1549487811,26
1549487814,26
1549487817,26
1549487820,26
1549487823,26
1549487826,26
1549487829,26
1549487832,26
1549487835,26
1549487838,26
1549487841,26
1549487844,26
1549487847,26
1549487850,26
1549487853,26
1549487856,26
1549487859,26
1549487862,26
1549487865,26
1549487868,26
1549487871,26
1549487874,26
1549487877,26
1549487880,26
1549487883,26
1549487886,26
1549487889,26
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,0
1549487978,0
1549487983,0
1549487984,0
1549487987,0
1549487990,0
1549487993,0
1549487996,1
1549487999,1
1549488002,2
1549488005,3
1549488008,3
1549488011,3
1549488014,4
1549488017,5
1549488020,5
1549488023,5
1549488026,6
1549488029,7
1549488032,7
1549488035,7
1549488038,7
1549488041,7
1549488044,7
1549488047,7
1549488050,7
1549488053,8
1549488056,9
1549488059,9
1549488062,10
1549488065,10
1549488068,11
1549488071,12
1549488074,12
1549488077,12
1549488080,13
1549488083,13
1549488086,14
1549488089,14
1549488092,15
1549488095,15
1549488098,16
1549488101,16
1549488104,17
1549488107,17
1549488110,17
1549488113,17
1549488116,17
1549488119,18
1549488122,18
1549488125,18
1549488128,18
1549488131,18
1549488134,18
1549488137,18
1549488140,18
1549488143,18
1549488146,18
1549488149,18
1549488152,20
1549488155,20
1549488158,20
1549488161,21
1549488164,21
1549488167,22
1549488170,22
1549488173,22
1549488176,22
1549488179,22
1549488182,22
1549488185,23
1549488188,23
1549488191,24
1549488194,25
1549488197,25
1549488200,25
1549488203,25
1549488206,25
1549488209,25
1549488212,25
1549488215,38
1549488218,38
1549488221,40
1549488224,40
1549488227,42
1549488230,43
1549488233,44
1549488236,44
1549488239,45
1549488242,45
1549488245,45
1549488248,46
1549488251,47
1549488254,47
1549488257,47
1549488260,47
1549488263,47
1549488266,48
1549488269,49
1549488272,49
1549488275,50
1549488278,51
1549488281,51
1549488284,52
1549488287,52
1549488290,53
1549488293,53
1549488296,54
1549488299,55
1549488302,55
1549488305,56
1549488308,56
1549488311,57
1549488314,57
1549488317,58
1549488320,58
1549488323,59
1549488326,60
1549488329,61
1549488332,61
1549488335,62
1549488338,62
1549488341,63
1549488344,63
1549488347,64
1549488350,65
1549488353,65
1549488356,67
1549488359,68
1549488362,68
1549488365,69
1549488368,70
1549488371,70
1549488374,70
1549488377,71
1549488380,72
1549488383,72
1549488386,73
1549488389,73
1549488392,74
1549488395,74
1549488398,74
1549488401,74
1549488404,80
1549488407,80
1549488410,81
1549488413,82
1549488416,83
1549488419,83
1549488422,85
1549488425,85
1549488428,86
1549488431,86
1549488434,86
1549488437,86
1549488440,86
1549488443,86
1549488446,86
1549488449,86
1549488452,86
1549488455,86
1549488458,86
1549488461,86
1549488464,86
1549488467,86
1549488470,86
1549488473,86
1549488476,86
1549488479,86
1549488482,86
1549488485,86
1549488488,86
1549488491,86
1549488494,86
1549488497,86
1549488500,86
1549488503,86
1549488506,86
1549488509,86
1549488512,86
1549488515,86
1549488518,86
1549488521,86
1549488524,86
1549488527,86
1549488530,86
1549488533,86
1549488536,86
1549488539,86
1549488542,86
1549488545,86
1549488548,86
1549488551,86
1549488554,86
1549488557,86
1549488560,86
1549488563,86
1549488566,86
1549488569,86
1549488572,86
1549488575,86
1549488578,86
1549488581,86
1549488584,86
1549488587,86
1549488590,86
1549488593,86
1549488596,86
1549488599,86
1549488602,86
1549488605,86
1549488608,86
1549488611,86
1549488614,86
1549488617,86
1549488620,86
1549488623,86
1549488626,86
1549488629,86
1549488632,86
1549488635,86
1549488638,86
1549488641,86
1549488644,86
1549488647,86
1549488650,86
1549488653,86
1549488656,86
1549488659,86
1549488662,86
1549488665,86
1549488668,86
1549488671,86
1549488674,86
1549488677,86
1549488680,86
1549488683,86
1549488686,86
1549488689,86
1549488692,86
1549488695,86
1549488698,86
1549488701,86
1549488704,86
1549488707,86
1549488710,86
1549488713,86
1549488716,86
1549488719,86
1549488722,86
1549488725,86
1549488728,86
1549488731,86
1549488734,86
1549488737,86
1549488740,86
1549488743,86
1549488746,86
