t,value
1549486896,1
1549486899,1
1549486902,1
1549486905,1
1549486908,1
1549486911,1
1549486914,1
1549486917,1
1549486920,1
1549486923,1
1549486926,1
1549486929,1
1549486932,1
1549486935,1
1549486938,1
1549486941,1
1549486944,1
1549486947,1
1549486950,1
1549486953,1
1549486956,1
1549486959,1
1549486962,1
1549486965,1
1549486968,1
1549486971,1
1549486974,1
1549486977,1
1549486980,1
1549486983,1
1549486986,1
1549486989,1
1549486992,1
1549486995,1
1549486998,1
1549487001,1
1549487004,1
1549487007,1
1549487010,1
1549487013,1
1549487016,1
1549487019,1
1549487022,1
1549487025,1
1549487028,1
1549487031,1
1549487034,1
1549487037,1
1549487040,1
1549487043,1
1549487046,1
1549487049,1
1549487052,1
1549487055,1
1549487058,1
1549487061,1
1549487064,1
1549487067,1
1549487070,1
1549487073,1
1549487076,1
1549487079,1
1549487082,1
1549487085,1
1549487088,1
1549487091,1
1549487094,1
1549487097,1
1549487100,1
1549487103,1
1549487106,1
1549487109,1
1549487112,1
1549487115,1
1549487118,1
1549487121,1
1549487124,1
1549487127,1
1549487130,1
1549487133,1
1549487136,1
1549487139,1
1549487142,1
1549487145,1
1549487148,1
1549487151,1
1549487154,1
1549487157,1
1549487160,1
1549487163,1
1549487166,1
1549487169,1
1549487172,1
1549487175,1
1549487178,1
1549487181,1
1549487184,1
1549487187,1
1549487190,1
1549487193,1
1549487196,1
1549487199,1
1549487202,1
1549487205,1
1549487208,1
1549487211,1
1549487214,1
1549487217,1
1549487220,1
1549487223,1
1549487226,1
1549487229,1
1549487232,1
1549487235,1
1549487238,1
1549487241,1
1549487244,1
1549487247,1
1549487250,1
1549487253,1
1549487256,1
1549487259,1
1549487262,1
1549487265,1
1549487268,1
1549487271,1
1549487274,1
1549487277,1
1549487280,1
1549487283,1
1549487286,1
1549487289,1
1549487292,1
1549487295,1
1549487298,1
1549487301,1
1549487304,1
1549487307,1
1549487310,1
1549487313,1
1549487316,1
1549487319,1
1549487322,1
1549487325,1
1549487328,1
1549487331,1
1549487334,1
1549487337,1
1549487340,1
1549487343,1
1549487346,1
1549487349,1
1549487352,1
1549487355,1
1549487358,1
1549487361,1
1549487364,1
1549487367,1
1549487370,1
1549487373,1
1549487376,1
1549487379,1
1549487382,1
1549487385,1
1549487388,1
1549487391,1
1549487394,1
1549487397,1
1549487400,1
1549487403,1
1549487406,1
1549487409,1
1549487412,1
1549487415,1
1549487418,1
1549487421,1
1549487424,1
1549487427,1
1549487430,1
1549487433,1
1549487436,1
1549487439,1
1549487442,1
1549487445,1
1549487448,1
1549487451,1
1549487454,1
1549487457,1
1549487460,1
1549487463,1
1549487466,1
1549487469,1
1549487472,1
1549487475,1
1549487478,1
1549487481,1
1549487484,1
1549487487,1
1549487490,1
1549487493,1
1549487496,1
1549487499,1
1549487502,1
1549487505,1
1549487508,1
1549487511,1
1549487514,22
1549487517,22
1549487520,22
1549487523,22
1549487526,22
1549487529,22
1549487532,22
1549487535,22
1549487538,22
1549487541,22
1549487544,22
1549487547,22
1549487550,22
1549487553,22
1549487556,22
1549487559,22
1549487562,22
1549487565,22
1549487568,22
1549487571,22
1549487574,22
1549487577,22
1549487580,22
1549487583,22
1549487586,22
1549487589,22
1549487592,22
1549487595,22
1549487598,22
1549487601,22
1549487604,24
1549487607,24
1549487610,24
1549487613,24
1549487616,24
1549487619,24
1549487622,24
1549487625,24
1549487628,24
1549487631,24
1549487634,24
1549487637,24
1549487640,25
1549487643,25
1549487646,25
1549487649,25
1549487652,25
1549487655,25
1549487658,25
1549487661,25
1549487664,25
1549487667,25
1549487670,25
1549487673,25
1549487676,25
1549487679,25
1549487682,25
1549487685,25
1549487688,26
1549487691,26
1549487694,26
1549487697,26
1549487700,26
1549487703,26
1549487706,26
1549487709,26
1549487712,26
1549487715,26
1549487718,26
1549487721,26
1549487724,26
1549487727,26
1549487730,26
1549487733,26
1549487736,26
1549487739,26
1549487742,26
1549487745,26
1549487748,26
1549487751,26
1549487754,26
1549487757,27
1549487760,27
1549487763,27
1549487766,27
1549487769,27
1549487772,27
1549487775,27
1549487778,27
1549487781,27
1549487784,27
1549487787,27
1549487790,27
1549487793,27
1549487796,27
1549487799,27
1549487802,27
1549487805,27
1549487808,27
1549487811,27
1549487814,27
1549487817,27
1549487820,27
1549487823,27
1549487826,27
1549487829,27
1549487832,27
1549487835,27
1549487838,27
1549487841,27
1549487844,27
1549487847,27
1549487850,27
1549487853,27
1549487856,27
1549487859,27
1549487862,27
1549487865,27
1549487868,27
1549487871,27
1549487874,27
1549487877,27
1549487880,27
1549487883,27
1549487886,27
1549487889,27
t,value
1549487960,27
1549487963,27
1549487966,27
1549487969,27
1549487972,27
1549487975,27
1549487978,27
1549487983,27
1549487984,27
1549487987,27
1549487990,27
1549487993,27
1549487996,28
1549487999,28
1549488002,29
1549488005,30
1549488008,30
1549488011,30
1549488014,31
1549488017,32
1549488020,32
1549488023,32
1549488026,33
1549488029,34
1549488032,34
1549488035,34
1549488038,34
1549488041,34
1549488044,34
1549488047,34
1549488050,34
1549488053,35
1549488056,36
1549488059,36
1549488062,37
1549488065,37
1549488068,38
1549488071,39
1549488074,39
1549488077,39
1549488080,40
1549488083,40
1549488086,41
1549488089,41
1549488092,42
1549488095,42
1549488098,43
1549488101,43
1549488104,44
1549488107,44
1549488110,44
1549488113,44
1549488116,44
1549488119,45
1549488122,45
1549488125,45
1549488128,45
1549488131,45
1549488134,45
1549488137,45
1549488140,45
1549488143,45
1549488146,45
1549488149,45
1549488152,47
1549488155,47
1549488158,47
1549488161,48
1549488164,48
1549488167,49
1549488170,49
1549488173,49
1549488176,49
1549488179,49
1549488182,49
1549488185,50
1549488188,50
1549488191,51
1549488194,52
1549488197,52
1549488200,52
1549488203,52
1549488206,52
1549488209,52
1549488212,52
1549488215,65
1549488218,65
1549488221,67
1549488224,67
1549488227,69
1549488230,70
1549488233,71
1549488236,71
1549488239,72
1549488242,72
1549488245,72
1549488248,73
1549488251,74
1549488254,74
1549488257,74
1549488260,74
1549488263,74
1549488266,75
1549488269,76
1549488272,76
1549488275,77
1549488278,78
1549488281,78
1549488284,79
1549488287,79
1549488290,80
1549488293,80
1549488296,81
1549488299,82
1549488302,82
1549488305,83
1549488308,83
1549488311,84
1549488314,84
1549488317,85
1549488320,85
1549488323,86
1549488326,87
1549488329,88
1549488332,88
1549488335,89
1549488338,89
1549488341,90
1549488344,90
1549488347,91
1549488350,92
1549488353,92
1549488356,94
1549488359,95
1549488362,95
1549488365,96
1549488368,97
1549488371,97
1549488374,97
1549488377,98
1549488380,99
1549488383,99
1549488386,100
1549488389,100
1549488392,101
1549488395,101
1549488398,101
1549488401,101
1549488404,107
1549488407,107
1549488410,108
1549488413,109
1549488416,110
1549488419,110
1549488422,112
1549488425,112
1549488428,113
1549488431,113
1549488434,113
1549488437,113
1549488440,113
1549488443,113
1549488446,113
1549488449,113
1549488452,113
1549488455,113
1549488458,113
1549488461,113
1549488464,113
1549488467,113
1549488470,113
1549488473,113
1549488476,113
1549488479,113
1549488482,113
1549488485,113
1549488488,113
1549488491,113
1549488494,113
1549488497,113
1549488500,113
1549488503,113
1549488506,113
1549488509,113
1549488512,113
1549488515,113
1549488518,113
1549488521,113
1549488524,113
1549488527,113
1549488530,113
1549488533,113
1549488536,113
1549488539,113
1549488542,113
1549488545,113
1549488548,113
1549488551,113
1549488554,113
1549488557,113
1549488560,113
1549488563,113
1549488566,113
1549488569,113
1549488572,113
1549488575,113
1549488578,113
1549488581,113
1549488584,113
1549488587,113
1549488590,113
1549488593,113
1549488596,113
1549488599,113
1549488602,113
1549488605,113
1549488608,113
1549488611,113
1549488614,113
1549488617,113
1549488620,113
1549488623,113
1549488626,113
1549488629,113
1549488632,113
1549488635,113
1549488638,113
1549488641,113
1549488644,113
1549488647,113
1549488650,113
1549488653,113
1549488656,113
1549488659,113
1549488662,113
1549488665,113
1549488668,113
1549488671,113
1549488674,113
1549488677,113
1549488680,113
1549488683,113
1549488686,113
1549488689,113
1549488692,113
1549488695,113
1549488698,113
1549488701,113
1549488704,113
1549488707,113
1549488710,113
1549488713,113
1549488716,113
1549488719,113
1549488722,113
1549488725,113
1549488728,113
1549488731,113
1549488734,113
1549488737,113
1549488740,113
1549488743,113
1549488746,113
1549488749,113
1549488752,113
1549488755,113
1549488758,113
1549488761,113
1549488764,113
1549488767,113
1549488770,113
1549488773,113
1549488776,113
1549488779,113
1549488782,113
1549488785,113
1549488788,113
1549488791,113
1549488794,113
1549488797,113
1549488800,113
1549488803,113
1549488806,113
1549488809,113
1549488812,113
1549488815,113
1549488818,113
1549488821,113
1549488824,113
1549488827,113
1549488830,113
1549488833,113
1549488836,113
1549488839,113
1549488842,113
1549488845,113
1549488848,113
1549488851,113
1549488854,113
1549488857,113
1549488860,113
1549488863,113
1549488866,113
1549488869,113
1549488872,113
1549488875,113
1549488878,113
1549488881,113
1549488884,113
1549488887,113
1549488890,113
1549488893,113
1549488896,113
1549488899,113
1549488902,113
1549488905,113
1549488908,113
1549488911,113
1549488914,113
1549488917,113
1549488920,113
1549488923,113
1549488926,113
1549488929,113
1549488932,113
1549488935,113
1549488938,113
1549488941,113
1549488944,113
1549488947,113
1549488950,113
1549488953,113
1549488956,113
1549488959,113
1549488962,113
1549488965,113
1549488968,113
1549488971,113
1549488974,113
1549488977,113
1549488980,113
1549488983,113
1549488986,113
1549488989,113
1549488992,113
1549488995,113
1549488998,113
1549489001,113
1549489004,113
1549489007,113
1549489010,113
1549489013,113
1549489016,113
1549489019,113
1549489022,113
1549489025,113
1549489028,113
1549489031,113
1549489034,113
1549489037,113
1549489040,113
1549489043,113
1549489046,113
1549489049,113
1549489052,113
1549489055,113
1549489058,113
1549489061,113
1549489064,113
1549489067,113
1549489070,113
1549489073,113
1549489076,113
1549489079,113
1549489082,113
1549489085,113
1549489088,113
1549489091,113
1549489094,113
1549489097,113
1549489100,113
1549489103,113
1549489106,113
1549489109,113
1549489112,113
1549489115,113
1549489118,113
1549489121,113
1549489124,113
1549489127,113
1549489130,113
1549489133,113
1549489136,113
1549489139,113
1549489142,113
1549489145,113
1549489148,113
1549489151,113
1549489154,113
1549489157,113
1549489160,113
1549489163,113
1549489166,113
1549489169,113
1549489172,113
1549489175,113
1549489178,113
1549489181,113
1549489184,113
1549489187,113
1549489190,113
1549489193,113
1549489196,113
1549489199,113
1549489202,113
1549489205,113
1549489208,113
1549489211,113
