t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,1
1549486908,1
1549486911,1
1549486914,2
1549486917,2
1549486920,8
1549486923,8
1549486926,8
1549486929,8
1549486932,8
1549486935,8
1549486938,8
1549486941,8
1549486944,8
1549486947,8
1549486950,8
1549486953,8
1549486956,8
1549486959,8
1549486962,8
1549486965,8
1549486968,8
1549486971,8
1549486974,8
1549486977,8
1549486980,8
1549486983,8
1549486986,8
1549486989,8
1549486992,8
1549486995,8
1549486998,8
1549487001,8
1549487004,8
1549487007,8
1549487010,8
1549487013,8
1549487016,8
1549487019,8
1549487022,8
1549487025,8
1549487028,8
1549487031,8
1549487034,8
1549487037,8
1549487040,8
1549487043,8
1549487046,8
1549487049,8
1549487052,8
1549487055,8
1549487058,8
1549487061,8
1549487064,8
1549487067,8
1549487070,8
1549487073,8
1549487076,8
1549487079,8
1549487082,8
1549487085,8
1549487088,8
1549487091,8
1549487094,8
1549487097,8
1549487100,8
1549487103,8
1549487106,8
1549487109,8
1549487112,8
1549487115,8
1549487118,8
1549487121,8
1549487124,8
1549487127,8
1549487130,8
1549487133,8
1549487136,8
1549487139,8
1549487142,8
1549487145,8
1549487148,8
1549487151,8
1549487154,8
1549487157,8
1549487160,8
1549487163,8
1549487166,8
1549487169,8
1549487172,8
1549487175,8
1549487178,8
1549487181,8
1549487184,8
1549487187,8
1549487190,8
1549487193,8
1549487196,8
1549487199,8
1549487202,8
1549487205,8
1549487208,8
1549487211,8
1549487214,8
1549487217,8
1549487220,8
1549487223,8
1549487226,8
1549487229,8
1549487232,8
1549487235,8
1549487238,8
1549487241,8
1549487244,8
1549487247,8
1549487250,8
1549487253,8
1549487256,8
1549487259,8
1549487262,8
1549487265,8
1549487268,8
1549487271,8
1549487274,8
1549487277,8
1549487280,8
1549487283,8
1549487286,8
1549487289,8
1549487292,8
1549487295,8
1549487298,8
1549487301,8
1549487304,8
1549487307,8
1549487310,8
1549487313,8
1549487316,8
1549487319,8
1549487322,8
1549487325,8
1549487328,8
1549487331,8
1549487334,8
1549487337,8
1549487340,8
1549487343,8
1549487346,8
1549487349,8
1549487352,8
1549487355,8
1549487358,8
1549487361,8
1549487364,8
1549487367,8
1549487370,8
1549487373,8
1549487376,8
1549487379,8
1549487382,8
1549487385,8
1549487388,8
1549487391,8
1549487394,8
1549487397,8
1549487400,8
1549487403,8
1549487406,8
1549487409,8
1549487412,8
1549487415,8
1549487418,8
1549487421,8
1549487424,8
1549487427,8
1549487430,8
1549487433,8
1549487436,8
1549487439,8
1549487442,8
1549487445,8
1549487448,8
1549487451,8
1549487454,8
1549487457,8
1549487460,8
1549487463,8
1549487466,8
1549487469,8
1549487472,8
1549487475,8
1549487478,8
1549487481,8
1549487484,8
1549487487,8
1549487490,8
1549487493,8
1549487496,8
1549487499,8
1549487502,8
1549487505,8
1549487508,8
1549487511,8
1549487514,8
1549487517,8
1549487520,8
1549487523,8
1549487526,8
1549487529,8
1549487532,8
1549487535,8
1549487538,8
1549487541,8
1549487544,8
1549487547,8
1549487550,8
1549487553,8
1549487556,8
1549487559,8
1549487562,8
1549487565,8
1549487568,8
1549487571,8
1549487574,8
1549487577,8
1549487580,8
1549487583,8
1549487586,8
1549487589,8
1549487592,8
1549487595,8
1549487598,8
1549487601,8
1549487604,8
1549487607,8
1549487610,8
1549487613,8
1549487616,8
1549487619,8
1549487622,8
1549487625,8
1549487628,8
1549487631,8
1549487634,8
1549487637,8
1549487640,8
1549487643,8
1549487646,8
1549487649,8
1549487652,8
1549487655,8
1549487658,8
1549487661,8
1549487664,8
1549487667,8
1549487670,8
1549487673,8
1549487676,8
1549487679,8
1549487682,8
1549487685,8
1549487688,8
1549487691,8
1549487694,8
1549487697,8
1549487700,8
1549487703,8
1549487706,8
1549487709,8
1549487712,8
1549487715,8
1549487718,8
1549487721,8
1549487724,8
1549487727,8
1549487730,8
1549487733,8
1549487736,8
1549487739,8
1549487742,8
1549487745,8
1549487748,8
1549487751,8
1549487754,8
1549487757,8
1549487760,8
1549487763,8
1549487766,8
1549487769,8
1549487772,8
1549487775,8
1549487778,8
1549487781,8
1549487784,8
1549487787,8
1549487790,8
1549487793,8
1549487796,8
1549487799,8
1549487802,8
1549487805,8
1549487808,8
1549487811,8
1549487814,8
1549487817,8
1549487820,8
1549487823,8
1549487826,8
1549487829,8
1549487832,8
1549487835,8
1549487838,8
1549487841,8
1549487844,8
1549487847,8
1549487850,8
1549487853,8
1549487856,8
1549487859,8
1549487862,8
1549487865,8
1549487868,8
1549487871,8
1549487874,8
1549487877,8
1549487880,8
1549487883,8
1549487886,8
1549487889,8
t,value
1549487960,0
1549487963,0
1549487966,1
1549487969,1
1549487972,1
1549487975,1
1549487978,8
1549487983,8
1549487984,8
1549487987,8
1549487990,8
1549487993,8
1549487996,8
1549487999,8
1549488002,8
1549488005,8
1549488008,8
1549488011,8
1549488014,8
1549488017,8
1549488020,8
1549488023,8
1549488026,8
1549488029,8
1549488032,8
1549488035,8
1549488038,8
1549488041,8
1549488044,8
1549488047,8
1549488050,8
1549488053,8
1549488056,8
1549488059,8
1549488062,8
1549488065,8
1549488068,8
1549488071,8
1549488074,8
1549488077,8
1549488080,8
1549488083,8
1549488086,8
1549488089,8
1549488092,8
1549488095,8
1549488098,8
1549488101,8
1549488104,8
1549488107,8
1549488110,8
1549488113,8
1549488116,8
1549488119,8
1549488122,8
1549488125,8
1549488128,8
1549488131,8
1549488134,8
1549488137,8
1549488140,8
1549488143,8
1549488146,8
1549488149,8
1549488152,8
1549488155,8
1549488158,8
1549488161,8
1549488164,8
1549488167,8
1549488170,8
1549488173,8
1549488176,8
1549488179,8
1549488182,8
1549488185,8
1549488188,8
1549488191,8
1549488194,8
1549488197,8
1549488200,8
1549488203,8
1549488206,8
1549488209,8
1549488212,8
1549488215,8
1549488218,8
1549488221,8
1549488224,8
1549488227,8
1549488230,8
1549488233,8
1549488236,8
1549488239,8
1549488242,8
1549488245,8
1549488248,8
1549488251,8
1549488254,8
1549488257,8
1549488260,8
1549488263,8
1549488266,8
1549488269,8
1549488272,8
1549488275,8
1549488278,8
1549488281,8
1549488284,8
1549488287,8
1549488290,8
1549488293,8
1549488296,8
1549488299,8
1549488302,8
1549488305,8
1549488308,8
1549488311,8
1549488314,8
1549488317,8
1549488320,8
1549488323,8
1549488326,8
1549488329,8
1549488332,8
1549488335,8
1549488338,8
1549488341,8
1549488344,8
1549488347,8
1549488350,8
1549488353,8
1549488356,8
1549488359,8
1549488362,8
1549488365,8
1549488368,8
1549488371,8
1549488374,8
1549488377,8
1549488380,8
1549488383,8
1549488386,8
1549488389,8
1549488392,8
1549488395,8
1549488398,8
1549488401,8
1549488404,8
1549488407,8
1549488410,8
1549488413,8
1549488416,8
1549488419,8
1549488422,8
1549488425,8
1549488428,8
1549488431,8
1549488434,8
1549488437,8
1549488440,8
1549488443,8
1549488446,8
1549488449,8
1549488452,8
1549488455,8
1549488458,8
1549488461,8
1549488464,8
1549488467,8
1549488470,8
1549488473,8
1549488476,8
1549488479,8
1549488482,8
1549488485,8
1549488488,8
1549488491,8
1549488494,8
1549488497,8
1549488500,8
1549488503,8
1549488506,8
1549488509,8
1549488512,8
1549488515,8
1549488518,8
1549488521,8
1549488524,8
1549488527,8
1549488530,8
1549488533,8
1549488536,8
1549488539,8
1549488542,8
1549488545,8
1549488548,8
1549488551,8
1549488554,8
1549488557,8
1549488560,8
1549488563,8
1549488566,8
1549488569,8
1549488572,8
1549488575,8
1549488578,8
1549488581,8
1549488584,8
1549488587,8
1549488590,8
1549488593,8
1549488596,8
1549488599,8
1549488602,8
1549488605,8
1549488608,8
1549488611,8
1549488614,8
1549488617,8
1549488620,8
1549488623,8
1549488626,8
1549488629,8
1549488632,8
1549488635,8
1549488638,8
1549488641,8
1549488644,8
1549488647,8
1549488650,8
1549488653,8
1549488656,8
1549488659,8
1549488662,8
1549488665,8
1549488668,8
1549488671,8
1549488674,8
1549488677,8
1549488680,8
1549488683,8
1549488686,8
1549488689,8
1549488692,8
1549488695,8
1549488698,8
1549488701,8
1549488704,8
1549488707,8
1549488710,8
1549488713,8
1549488716,8
1549488719,8
1549488722,8
1549488725,8
1549488728,8
1549488731,8
1549488734,8
1549488737,8
1549488740,8
1549488743,8
1549488746,8
