t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,0
1549486917,0
1549486920,0
1549486923,1
1549486926,4
1549486929,5
1549486932,5
1549486935,5
1549486938,5
1549486941,8
1549486944,8
1549486947,9
1549486950,9
1549486953,10
1549486956,10
1549486959,10
1549486962,12
1549486965,12
1549486968,12
1549486971,12
1549486974,12
1549486977,12
1549486980,13
1549486983,14
1549486986,14
1549486989,14
1549486992,14
1549486995,14
1549486998,14
1549487001,16
1549487004,16
1549487007,16
1549487010,16
1549487013,16
1549487016,16
1549487019,17
1549487022,17
1549487025,18
1549487028,18
1549487031,18
1549487034,18
1549487037,18
1549487040,19
1549487043,19
1549487046,20
1549487049,21
1549487052,21
1549487055,21
1549487058,21
1549487061,21
1549487064,23
1549487067,23
1549487070,24
1549487073,24
1549487076,24
1549487079,24
1549487082,25
1549487085,25
1549487088,26
1549487091,26
1549487094,26
1549487097,26
1549487100,26
1549487103,28
1549487106,28
1549487109,28
1549487112,28
1549487115,28
1549487118,28
1549487121,29
1549487124,29
1549487127,29
1549487130,30
1549487133,30
1549487136,30
1549487139,30
1549487142,31
1549487145,32
1549487148,32
1549487151,32
1549487154,32
1549487157,33
1549487160,33
1549487163,34
1549487166,34
1549487169,34
1549487172,35
1549487175,35
1549487178,35
1549487181,35
1549487184,37
1549487187,37
1549487190,37
1549487193,37
1549487196,37
1549487199,37
1549487202,38
1549487205,38
1549487208,38
1549487211,38
1549487214,38
1549487217,39
1549487220,39
1549487223,41
1549487226,41
1549487229,41
1549487232,41
1549487235,41
1549487238,41
1549487241,41
1549487244,43
1549487247,43
1549487250,43
1549487253,43
1549487256,43
1549487259,43
1549487262,43
1549487265,45
1549487268,45
1549487271,45
1549487274,46
1549487277,46
1549487280,46
1549487283,47
1549487286,47
1549487289,47
1549487292,49
1549487295,49
1549487298,49
1549487301,49
1549487304,49
1549487307,49
1549487310,51
1549487313,51
1549487316,51
1549487319,51
1549487322,51
1549487325,52
1549487328,52
1549487331,53
1549487334,53
1549487337,53
1549487340,53
1549487343,53
1549487346,54
1549487349,54
1549487352,54
1549487355,54
1549487358,55
1549487361,55
1549487364,56
1549487367,56
1549487370,56
1549487373,56
1549487376,56
1549487379,57
1549487382,57
1549487385,58
1549487388,58
1549487391,58
1549487394,58
1549487397,60
1549487400,60
1549487403,60
1549487406,61
1549487409,61
1549487412,62
1549487415,62
1549487418,62
1549487421,62
1549487424,63
1549487427,64
1549487430,64
1549487433,64
1549487436,64
1549487439,65
1549487442,65
1549487445,66
1549487448,67
1549487451,67
1549487454,67
1549487457,67
1549487460,67
1549487463,67
1549487466,67
1549487469,68
1549487472,69
1549487475,69
1549487478,69
1549487481,69
1549487484,69
1549487487,69
1549487490,69
1549487493,69
1549487496,70
1549487499,71
1549487502,71
1549487505,71
1549487508,71
1549487511,71
1549487514,71
1549487517,71
1549487520,71
1549487523,72
1549487526,72
1549487529,72
1549487532,72
1549487535,75
1549487538,75
1549487541,75
1549487544,75
1549487547,76
1549487550,76
1549487553,76
1549487556,76
1549487559,76
1549487562,77
1549487565,79
1549487568,79
1549487571,79
1549487574,79
1549487577,79
1549487580,79
1549487583,80
1549487586,80
1549487589,80
1549487592,80
1549487595,80
1549487598,81
1549487601,81
1549487604,81
1549487607,83
1549487610,83
1549487613,83
1549487616,83
1549487619,83
1549487622,83
1549487625,83
1549487628,83
1549487631,85
1549487634,85
1549487637,85
1549487640,87
1549487643,87
1549487646,87
1549487649,87
1549487652,87
1549487655,87
1549487658,87
1549487661,87
1549487664,87
1549487667,87
1549487670,89
1549487673,89
1549487676,89
1549487679,89
1549487682,89
1549487685,89
1549487688,91
1549487691,91
1549487694,91
1549487697,91
1549487700,91
1549487703,91
1549487706,91
1549487709,91
1549487712,91
1549487715,91
1549487718,91
1549487721,91
1549487724,93
1549487727,93
1549487730,96
1549487733,96
1549487736,96
1549487739,96
1549487742,96
1549487745,96
1549487748,96
1549487751,96
1549487754,96
1549487757,97
1549487760,97
1549487763,97
1549487766,97
1549487769,97
1549487772,97
1549487775,97
1549487778,99
1549487781,99
1549487784,99
1549487787,99
1549487790,103
1549487793,103
1549487796,103
1549487799,103
1549487802,103
1549487805,103
1549487808,103
1549487811,103
1549487814,103
1549487817,103
1549487820,103
1549487823,103
1549487826,105
1549487829,105
1549487832,105
1549487835,105
1549487838,105
1549487841,105
1549487844,105
1549487847,105
1549487850,106
1549487853,106
1549487856,106
1549487859,106
1549487862,106
1549487865,107
1549487868,108
1549487871,108
1549487874,108
1549487877,108
1549487880,108
1549487883,108
1549487886,108
1549487889,108
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,0
1549487978,4
1549487983,4
1549487984,4
1549487987,4
1549487990,4
1549487993,4
1549487996,8
1549487999,8
1549488002,10
1549488005,12
1549488008,12
1549488011,12
1549488014,14
1549488017,16
1549488020,18
1549488023,18
1549488026,20
1549488029,20
1549488032,22
1549488035,24
1549488038,28
1549488041,28
1549488044,30
1549488047,30
1549488050,32
1549488053,34
1549488056,36
1549488059,38
1549488062,40
1549488065,40
1549488068,42
1549488071,44
1549488074,44
1549488077,46
1549488080,48
1549488083,48
1549488086,50
1549488089,50
1549488092,52
1549488095,52
1549488098,54
1549488101,56
1549488104,56
1549488107,58
1549488110,58
1549488113,58
1549488116,60
1549488119,60
1549488122,61
1549488125,62
1549488128,62
1549488131,64
1549488134,66
1549488137,67
1549488140,68
1549488143,70
1549488146,70
1549488149,72
1549488152,72
1549488155,74
1549488158,76
1549488161,76
1549488164,78
1549488167,78
1549488170,80
1549488173,80
1549488176,80
1549488179,82
1549488182,82
1549488185,84
1549488188,84
1549488191,86
1549488194,86
1549488197,90
1549488200,90
1549488203,91
1549488206,92
1549488209,92
1549488212,92
1549488215,94
1549488218,96
1549488221,96
1549488224,98
1549488227,100
1549488230,102
1549488233,102
1549488236,104
1549488239,108
1549488242,108
1549488245,108
1549488248,110
1549488251,110
1549488254,112
1549488257,114
1549488260,114
1549488263,114
1549488266,116
1549488269,118
1549488272,118
1549488275,120
1549488278,122
1549488281,124
1549488284,124
1549488287,126
1549488290,128
1549488293,128
1549488296,132
1549488299,132
1549488302,134
1549488305,136
1549488308,136
1549488311,138
1549488314,138
1549488317,142
1549488320,142
1549488323,144
1549488326,146
1549488329,148
1549488332,148
1549488335,150
1549488338,152
1549488341,154
1549488344,154
1549488347,156
1549488350,156
1549488353,158
1549488356,162
1549488359,162
1549488362,164
1549488365,166
1549488368,168
1549488371,168
1549488374,168
1549488377,172
1549488380,172
1549488383,174
1549488386,176
1549488389,176
1549488392,178
1549488395,178
1549488398,180
1549488401,180
1549488404,182
1549488407,182
1549488410,184
1549488413,186
1549488416,186
1549488419,190
1549488422,192
1549488425,192
1549488428,194
1549488431,194
1549488434,194
1549488437,194
1549488440,196
1549488443,196
1549488446,196
1549488449,196
1549488452,196
1549488455,196
1549488458,198
1549488461,198
1549488464,198
1549488467,198
1549488470,198
1549488473,200
1549488476,200
1549488479,202
1549488482,202
1549488485,202
1549488488,202
1549488491,202
1549488494,202
1549488497,202
1549488500,204
1549488503,204
1549488506,204
1549488509,204
1549488512,204
1549488515,204
1549488518,206
1549488521,206
1549488524,206
1549488527,206
1549488530,206
1549488533,206
1549488536,206
1549488539,208
1549488542,208
1549488545,208
1549488548,208
1549488551,208
1549488554,208
1549488557,210
1549488560,210
1549488563,210
1549488566,210
1549488569,210
1549488572,210
1549488575,210
1549488578,212
1549488581,212
1549488584,212
1549488587,212
1549488590,212
1549488593,212
1549488596,212
1549488599,214
1549488602,214
1549488605,214
1549488608,214
1549488611,214
1549488614,214
1549488617,214
1549488620,216
1549488623,216
1549488626,216
1549488629,216
1549488632,216
1549488635,216
1549488638,218
1549488641,218
1549488644,218
1549488647,218
1549488650,218
1549488653,218
1549488656,218
1549488659,220
1549488662,220
1549488665,220
1549488668,220
1549488671,220
1549488674,220
1549488677,220
1549488680,222
1549488683,222
1549488686,222
1549488689,222
1549488692,222
1549488695,222
1549488698,224
1549488701,224
1549488704,224
1549488707,224
1549488710,224
1549488713,224
1549488716,224
1549488719,226
1549488722,226
1549488725,226
1549488728,226
1549488731,226
1549488734,226
1549488737,227
1549488740,228
1549488743,228
1549488746,228
