t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,1
1549486908,1
1549486911,1
1549486914,7
1549486917,9
1549486920,27
1549486923,28
1549486926,31
1549486929,32
1549486932,32
1549486935,32
1549486938,36
1549486941,39
1549486944,39
1549486947,40
1549486950,40
1549486953,41
1549486956,43
1549486959,47
1549486962,49
1549486965,50
1549486968,50
1549486971,50
1549486974,50
1549486977,51
1549486980,56
1549486983,57
1549486986,57
1549486989,59
1549486992,60
1549486995,60
1549486998,61
1549487001,67
1549487004,68
1549487007,69
1549487010,69
1549487013,70
1549487016,70
1549487019,75
1549487022,75
1549487025,76
1549487028,76
1549487031,77
1549487034,77
1549487037,77
1549487040,78
1549487043,82
1549487046,83
1549487049,84
1549487052,85
1549487055,85
1549487058,86
1549487061,90
1549487064,92
1549487067,92
1549487070,93
1549487073,93
1549487076,93
1549487079,94
1549487082,99
1549487085,99
1549487088,100
1549487091,100
1549487094,100
1549487097,100
1549487100,104
1549487103,106
1549487106,106
1549487109,107
1549487112,107
1549487115,107
1549487118,108
1549487121,114
1549487124,114
1549487127,114
1549487130,116
1549487133,116
1549487136,116
1549487139,116
1549487142,121
1549487145,122
1549487148,122
1549487151,122
1549487154,122
1549487157,123
1549487160,123
1549487163,128
1549487166,128
1549487169,128
1549487172,129
1549487175,129
1549487178,129
1549487181,133
1549487184,135
1549487187,135
1549487190,135
1549487193,135
1549487196,135
1549487199,135
1549487202,140
1549487205,140
1549487208,140
1549487211,140
1549487214,140
1549487217,142
1549487220,142
1549487223,148
1549487226,148
1549487229,148
1549487232,148
1549487235,148
1549487238,148
1549487241,148
1549487244,154
1549487247,154
1549487250,154
1549487253,154
1549487256,154
1549487259,154
1549487262,158
1549487265,160
1549487268,160
1549487271,160
1549487274,161
1549487277,161
1549487280,161
1549487283,166
1549487286,166
1549487289,166
1549487292,168
1549487295,168
1549487298,168
1549487301,168
1549487304,172
1549487307,172
1549487310,174
1549487313,174
1549487316,174
1549487319,174
1549487322,174
1549487325,179
1549487328,179
1549487331,180
1549487334,180
1549487337,180
1549487340,180
1549487343,184
1549487346,185
1549487349,185
1549487352,185
1549487355,185
1549487358,186
1549487361,186
1549487364,191
1549487367,191
1549487370,191
1549487373,191
1549487376,191
1549487379,192
1549487382,192
1549487385,197
1549487388,197
1549487391,197
1549487394,197
1549487397,199
1549487400,199
1549487403,199
1549487406,204
1549487409,204
1549487412,205
1549487415,205
1549487418,205
1549487421,205
1549487424,210
1549487427,211
1549487430,211
1549487433,211
1549487436,211
1549487439,212
1549487442,212
1549487445,217
1549487448,218
1549487451,218
1549487454,218
1549487457,218
1549487460,218
1549487463,218
1549487466,218
1549487469,223
1549487472,224
1549487475,224
1549487478,224
1549487481,224
1549487484,224
1549487487,225
1549487490,225
1549487493,229
1549487496,230
1549487499,231
1549487502,231
1549487505,231
1549487508,232
1549487511,232
1549487514,253
1549487517,256
1549487520,256
1549487523,261
1549487526,261
1549487529,261
1549487532,261
1549487535,268
1549487538,268
1549487541,268
1549487544,268
1549487547,269
1549487550,269
1549487553,269
1549487556,269
1549487559,269
1549487562,274
1549487565,276
1549487568,276
1549487571,276
1549487574,276
1549487577,276
1549487580,276
1549487583,281
1549487586,281
1549487589,281
1549487592,281
1549487595,281
1549487598,282
1549487601,287
1549487604,289
1549487607,291
1549487610,291
1549487613,291
1549487616,291
1549487619,291
1549487622,291
1549487625,291
1549487628,299
1549487631,301
1549487634,301
1549487637,301
1549487640,304
1549487643,304
1549487646,304
1549487649,304
1549487652,304
1549487655,304
1549487658,304
1549487661,308
1549487664,308
1549487667,312
1549487670,314
1549487673,314
1549487676,314
1549487679,314
1549487682,314
1549487685,314
1549487688,320
1549487691,320
1549487694,320
1549487697,320
1549487700,320
1549487703,320
1549487706,321
1549487709,327
1549487712,327
1549487715,327
1549487718,327
1549487721,327
1549487724,331
1549487727,331
1549487730,334
1549487733,334
1549487736,334
1549487739,334
1549487742,334
1549487745,334
1549487748,334
1549487751,334
1549487754,340
1549487757,340
1549487760,340
1549487763,340
1549487766,340
1549487769,340
1549487772,340
1549487775,340
1549487778,350
1549487781,350
1549487784,350
1549487787,350
1549487790,354
1549487793,354
1549487796,354
1549487799,354
1549487802,354
1549487805,354
1549487808,354
1549487811,354
1549487814,354
1549487817,354
1549487820,354
1549487823,358
1549487826,360
1549487829,360
1549487832,360
1549487835,360
1549487838,360
1549487841,360
1549487844,361
1549487847,365
1549487850,366
1549487853,366
1549487856,366
1549487859,366
1549487862,366
1549487865,371
1549487868,372
1549487871,372
1549487874,372
1549487877,372
1549487880,372
1549487883,372
1549487886,372
1549487889,376
t,value
1549487960,0
1549487963,0
1549487966,1
1549487969,1
1549487972,1
1549487975,5
1549487978,31
1549487983,31
1549487984,31
1549487987,31
1549487990,31
1549487993,31
1549487996,45
1549487999,46
1549488002,53
1549488005,61
1549488008,61
1549488011,62
1549488014,69
1549488017,81
1549488020,83
1549488023,83
1549488026,91
1549488029,93
1549488032,99
1549488035,107
1549488038,121
1549488041,122
1549488044,129
1549488047,130
1549488050,137
1549488053,145
1549488056,153
1549488059,160
1549488062,167
1549488065,168
1549488068,175
1549488071,183
1549488074,183
1549488077,189
1549488080,197
1549488083,198
1549488086,205
1549488089,205
1549488092,213
1549488095,213
1549488098,221
1549488101,227
1549488104,229
1549488107,235
1549488110,236
1549488113,236
1549488116,242
1549488119,243
1549488122,248
1549488125,249
1549488128,255
1549488131,258
1549488134,265
1549488137,271
1549488140,277
1549488143,279
1549488146,285
1549488149,287
1549488152,290
1549488155,296
1549488158,302
1549488161,308
1549488164,310
1549488167,316
1549488170,318
1549488173,319
1549488176,319
1549488179,325
1549488182,325
1549488185,332
1549488188,332
1549488191,340
1549488194,342
1549488197,354
1549488200,354
1549488203,355
1549488206,356
1549488209,356
1549488212,356
1549488215,376
1549488218,382
1549488221,385
1549488224,392
1549488227,400
1549488230,408
1549488233,410
1549488236,417
1549488239,430
1549488242,430
1549488245,431
1549488248,438
1549488251,440
1549488254,446
1549488257,452
1549488260,452
1549488263,453
1549488266,460
1549488269,468
1549488272,468
1549488275,476
1549488278,484
1549488281,490
1549488284,492
1549488287,498
1549488290,506
1549488293,506
1549488296,520
1549488299,522
1549488302,529
1549488305,536
1549488308,536
1549488311,544
1549488314,544
1549488317,558
1549488320,559
1549488323,566
1549488326,574
1549488329,582
1549488332,583
1549488335,590
1549488338,597
1549488341,604
1549488344,604
1549488347,612
1549488350,614
1549488353,620
1549488356,635
1549488359,637
1549488362,643
1549488365,651
1549488368,659
1549488371,659
1549488374,660
1549488377,673
1549488380,675
1549488383,681
1549488386,689
1549488389,690
1549488392,697
1549488395,697
1549488398,704
1549488401,704
1549488404,716
1549488407,716
1549488410,724
1549488413,732
1549488416,734
1549488419,746
1549488422,755
1549488425,756
1549488428,763
1549488431,763
1549488434,763
1549488437,763
1549488440,769
1549488443,769
1549488446,769
1549488449,769
1549488452,769
1549488455,769
1549488458,775
1549488461,775
1549488464,775
1549488467,777
1549488470,777
1549488473,784
1549488476,784
1549488479,790
1549488482,790
1549488485,790
1549488488,790
1549488491,790
1549488494,790
1549488497,790
1549488500,796
1549488503,796
1549488506,796
1549488509,796
1549488512,796
1549488515,796
1549488518,802
1549488521,802
1549488524,802
1549488527,802
1549488530,802
1549488533,802
1549488536,802
1549488539,808
1549488542,808
1549488545,808
1549488548,808
1549488551,808
1549488554,808
1549488557,814
1549488560,814
1549488563,814
1549488566,814
1549488569,814
1549488572,814
1549488575,814
1549488578,820
1549488581,820
1549488584,820
1549488587,820
1549488590,820
1549488593,820
1549488596,820
1549488599,826
1549488602,826
1549488605,826
1549488608,826
1549488611,826
1549488614,826
1549488617,826
1549488620,832
1549488623,832
1549488626,832
1549488629,832
1549488632,832
1549488635,832
1549488638,838
1549488641,838
1549488644,838
1549488647,838
1549488650,838
1549488653,838
1549488656,838
1549488659,844
1549488662,844
1549488665,844
1549488668,844
1549488671,844
1549488674,844
1549488677,844
1549488680,850
1549488683,850
1549488686,850
1549488689,850
1549488692,850
1549488695,850
1549488698,856
1549488701,856
1549488704,856
1549488707,856
1549488710,856
1549488713,856
1549488716,856
1549488719,862
1549488722,862
1549488725,862
1549488728,862
1549488731,862
1549488734,862
1549488737,868
1549488740,868
1549488743,868
1549488746,868
