t,value
1549486896,5
1549486899,5
1549486902,5
1549486905,5
1549486908,5
1549486911,7
1549486914,7
1549486917,7
1549486920,8
1549486923,8
1549486926,8
1549486929,8
1549486932,8
1549486935,8
1549486938,8
1549486941,8
1549486944,8
1549486947,8
1549486950,8
1549486953,8
1549486956,8
1549486959,8
1549486962,8
1549486965,8
1549486968,8
1549486971,8
1549486974,8
1549486977,8
1549486980,8
1549486983,8
1549486986,8
1549486989,8
1549486992,8
1549486995,8
1549486998,8
1549487001,8
1549487004,8
1549487007,8
1549487010,8
1549487013,8
1549487016,8
1549487019,8
1549487022,8
1549487025,8
1549487028,8
1549487031,8
1549487034,8
1549487037,8
1549487040,8
1549487043,8
1549487046,8
1549487049,8
1549487052,8
1549487055,8
1549487058,8
1549487061,8
1549487064,8
1549487067,8
1549487070,8
1549487073,8
1549487076,8
1549487079,8
1549487082,8
1549487085,8
1549487088,8
1549487091,8
1549487094,8
1549487097,8
1549487100,8
1549487103,8
1549487106,8
1549487109,8
1549487112,8
1549487115,8
1549487118,8
1549487121,8
1549487124,8
1549487127,8
1549487130,8
1549487133,8
1549487136,8
1549487139,8
1549487142,8
1549487145,8
1549487148,8
1549487151,8
1549487154,8
1549487157,8
1549487160,8
1549487163,8
1549487166,8
1549487169,8
1549487172,8
1549487175,8
1549487178,8
1549487181,8
1549487184,8
1549487187,8
1549487190,8
1549487193,8
1549487196,8
1549487199,8
1549487202,8
1549487205,8
1549487208,8
1549487211,8
1549487214,8
1549487217,8
1549487220,8
1549487223,8
1549487226,8
1549487229,8
1549487232,8
1549487235,8
1549487238,8
1549487241,9
1549487244,9
1549487247,9
1549487250,9
1549487253,9
1549487256,9
1549487259,9
1549487262,9
1549487265,9
1549487268,9
1549487271,9
1549487274,9
1549487277,9
1549487280,9
1549487283,9
1549487286,9
1549487289,9
1549487292,9
1549487295,9
1549487298,9
1549487301,9
1549487304,9
1549487307,9
1549487310,9
1549487313,9
1549487316,9
1549487319,9
1549487322,9
1549487325,9
1549487328,9
1549487331,9
1549487334,9
1549487337,9
1549487340,9
1549487343,9
1549487346,9
1549487349,9
1549487352,9
1549487355,9
1549487358,9
1549487361,9
1549487364,9
1549487367,9
1549487370,9
1549487373,9
1549487376,9
1549487379,9
1549487382,9
1549487385,9
1549487388,9
1549487391,9
1549487394,9
1549487397,9
1549487400,9
1549487403,9
1549487406,9
1549487409,9
1549487412,9
1549487415,9
1549487418,9
1549487421,9
1549487424,9
1549487427,9
1549487430,9
1549487433,9
1549487436,9
1549487439,9
1549487442,9
1549487445,9
1549487448,9
1549487451,9
1549487454,9
1549487457,9
1549487460,9
1549487463,9
1549487466,9
1549487469,9
1549487472,9
1549487475,9
1549487478,9
1549487481,9
1549487484,9
1549487487,9
1549487490,9
1549487493,9
1549487496,9
1549487499,9
