t,value
1549486896,77
1549486899,77
1549486902,77
1549486905,77
1549486908,77
1549486911,164
1549486914,164
1549486917,164
1549486920,228
1549486923,228
1549486926,228
1549486929,228
1549486932,228
1549486935,228
1549486938,228
1549486941,228
1549486944,228
1549486947,228
1549486950,228
1549486953,228
1549486956,228
1549486959,228
1549486962,228
1549486965,228
1549486968,228
1549486971,228
1549486974,228
1549486977,228
1549486980,228
1549486983,228
1549486986,228
1549486989,228
1549486992,228
1549486995,228
1549486998,228
1549487001,228
1549487004,228
1549487007,228
1549487010,228
1549487013,228
1549487016,228
1549487019,228
1549487022,228
1549487025,228
1549487028,228
1549487031,228
1549487034,228
1549487037,228
1549487040,228
1549487043,228
1549487046,228
1549487049,228
1549487052,228
1549487055,228
1549487058,228
1549487061,228
1549487064,228
1549487067,228
1549487070,228
1549487073,228
1549487076,228
1549487079,228
1549487082,228
1549487085,228
1549487088,228
1549487091,228
1549487094,228
1549487097,228
1549487100,228
1549487103,228
1549487106,228
1549487109,228
1549487112,228
1549487115,228
1549487118,228
1549487121,228
1549487124,228
1549487127,228
1549487130,228
1549487133,228
1549487136,228
1549487139,228
1549487142,228
1549487145,228
1549487148,228
1549487151,228
1549487154,228
1549487157,228
1549487160,228
1549487163,228
1549487166,228
1549487169,228
1549487172,228
1549487175,228
1549487178,228
1549487181,228
1549487184,228
1549487187,228
1549487190,228
1549487193,228
1549487196,228
1549487199,228
1549487202,228
1549487205,228
1549487208,228
1549487211,228
1549487214,228
1549487217,228
1549487220,228
1549487223,228
1549487226,228
1549487229,228
1549487232,228
1549487235,228
1549487238,228
1549487241,280
1549487244,280
1549487247,280
1549487250,280
1549487253,280
1549487256,280
1549487259,280
1549487262,280
1549487265,280
1549487268,280
1549487271,280
1549487274,280
1549487277,280
1549487280,280
1549487283,280
1549487286,280
1549487289,280
1549487292,280
1549487295,280
1549487298,280
1549487301,280
1549487304,280
1549487307,280
1549487310,280
1549487313,280
1549487316,280
1549487319,280
1549487322,280
1549487325,280
1549487328,280
1549487331,280
1549487334,280
1549487337,280
1549487340,280
1549487343,280
1549487346,280
1549487349,280
1549487352,280
1549487355,280
1549487358,280
1549487361,280
1549487364,280
1549487367,280
1549487370,280
1549487373,280
1549487376,280
1549487379,280
1549487382,280
1549487385,280
1549487388,280
1549487391,280
1549487394,280
1549487397,280
1549487400,280
1549487403,280
1549487406,280
1549487409,280
1549487412,280
1549487415,280
1549487418,280
1549487421,280
1549487424,280
1549487427,280
1549487430,280
1549487433,280
1549487436,280
1549487439,280
1549487442,280
1549487445,280
1549487448,280
1549487451,280
1549487454,280
1549487457,280
1549487460,280
1549487463,280
1549487466,280
1549487469,280
1549487472,280
1549487475,280
1549487478,280
1549487481,280
1549487484,280
1549487487,280
1549487490,280
1549487493,280
1549487496,280
1549487499,280
1549487502,280
1549487505,280
1549487508,280
1549487511,280
1549487514,280
1549487517,280
1549487520,280
1549487523,280
1549487526,280
1549487529,280
1549487532,280
1549487535,280
1549487538,280
1549487541,280
1549487544,280
1549487547,280
1549487550,280
1549487553,280
1549487556,280
1549487559,280
1549487562,280
1549487565,280
1549487568,280
1549487571,280
1549487574,280
1549487577,280
1549487580,280
1549487583,280
1549487586,280
1549487589,280
1549487592,280
1549487595,280
1549487598,280
1549487601,280
1549487604,280
1549487607,280
1549487610,280
1549487613,280
1549487616,280
1549487619,280
1549487622,280
1549487625,280
1549487628,313
1549487631,313
1549487634,313
1549487637,313
1549487640,313
1549487643,313
1549487646,313
1549487649,313
1549487652,313
1549487655,313
1549487658,313
1549487661,313
1549487664,313
1549487667,313
1549487670,313
1549487673,313
1549487676,313
1549487679,313
1549487682,313
1549487685,313
1549487688,313
1549487691,313
1549487694,313
1549487697,313
1549487700,313
1549487703,313
1549487706,313
1549487709,313
1549487712,313
1549487715,313
1549487718,313
1549487721,313
1549487724,313
1549487727,313
1549487730,313
1549487733,313
1549487736,313
1549487739,313
1549487742,313
1549487745,313
1549487748,313
1549487751,313
1549487754,313
1549487757,313
1549487760,313
1549487763,313
1549487766,313
1549487769,313
1549487772,313
1549487775,313
1549487778,313
1549487781,313
1549487784,313
1549487787,313
1549487790,313
1549487793,313
1549487796,313
1549487799,313
1549487802,313
1549487805,313
1549487808,313
1549487811,313
1549487814,313
1549487817,313
1549487820,313
1549487823,313
1549487826,313
1549487829,313
1549487832,313
1549487835,313
1549487838,313
1549487841,313
1549487844,313
1549487847,313
1549487850,313
1549487853,313
1549487856,313
1549487859,313
1549487862,313
1549487865,313
1549487868,313
1549487871,313
1549487874,313
1549487877,313
1549487880,313
1549487883,313
1549487886,313
1549487889,313
t,value
1549487960,79
1549487963,79
1549487966,79
1549487969,79
1549487972,162
1549487975,162
1549487978,221
1549487983,221
1549487984,221
1549487987,221
1549487990,221
1549487993,221
1549487996,221
1549487999,221
1549488002,221
1549488005,221
1549488008,221
1549488011,221
1549488014,221
1549488017,221
1549488020,221
1549488023,221
1549488026,221
1549488029,221
1549488032,221
1549488035,221
1549488038,221
1549488041,221
1549488044,221
1549488047,221
1549488050,221
1549488053,221
1549488056,221
1549488059,221
1549488062,221
1549488065,221
1549488068,221
1549488071,221
1549488074,221
1549488077,221
1549488080,272
1549488083,272
1549488086,272
1549488089,272
1549488092,272
1549488095,272
1549488098,272
1549488101,272
1549488104,272
1549488107,272
1549488110,272
1549488113,272
1549488116,272
1549488119,272
1549488122,272
1549488125,272
1549488128,272
1549488131,272
1549488134,272
1549488137,272
1549488140,272
1549488143,272
1549488146,272
1549488149,272
1549488152,272
1549488155,272
1549488158,272
1549488161,272
1549488164,272
1549488167,272
1549488170,272
1549488173,272
1549488176,272
1549488179,272
1549488182,272
1549488185,272
1549488188,272
1549488191,272
1549488194,272
1549488197,272
1549488200,272
1549488203,272
1549488206,272
1549488209,272
1549488212,272
1549488215,272
1549488218,272
1549488221,272
1549488224,272
1549488227,272
1549488230,272
1549488233,272
1549488236,272
1549488239,304
1549488242,304
1549488245,304
1549488248,304
1549488251,304
1549488254,304
1549488257,304
1549488260,304
1549488263,304
1549488266,304
1549488269,304
1549488272,304
1549488275,304
1549488278,304
1549488281,304
1549488284,304
1549488287,304
1549488290,304
1549488293,304
1549488296,304
1549488299,304
1549488302,304
1549488305,304
1549488308,304
1549488311,304
1549488314,304
1549488317,304
1549488320,304
1549488323,304
1549488326,304
1549488329,304
1549488332,304
1549488335,304
1549488338,304
1549488341,304
1549488344,304
1549488347,304
1549488350,304
1549488353,304
1549488356,304
1549488359,304
1549488362,304
1549488365,304
1549488368,304
1549488371,304
1549488374,304
1549488377,304
1549488380,334
1549488383,334
1549488386,334
1549488389,334
1549488392,334
1549488395,334
1549488398,334
1549488401,334
1549488404,334
1549488407,334
1549488410,334
1549488413,334
1549488416,334
1549488419,334
1549488422,334
1549488425,334
1549488428,334
1549488431,334
1549488434,334
1549488437,334
1549488440,334
1549488443,334
1549488446,334
1549488449,334
1549488452,334
1549488455,334
1549488458,334
1549488461,334
1549488464,334
1549488467,334
1549488470,378
1549488473,378
1549488476,378
1549488479,378
1549488482,378
1549488485,378
1549488488,378
1549488491,378
1549488494,378
1549488497,378
1549488500,378
1549488503,378
1549488506,378
1549488509,378
1549488512,378
1549488515,378
1549488518,378
1549488521,378
1549488524,378
1549488527,378
1549488530,378
1549488533,378
1549488536,378
1549488539,378
1549488542,378
1549488545,378
1549488548,378
1549488551,378
1549488554,378
1549488557,378
1549488560,378
1549488563,378
1549488566,378
1549488569,378
1549488572,378
1549488575,378
1549488578,378
1549488581,378
1549488584,378
1549488587,378
1549488590,378
1549488593,378
1549488596,378
1549488599,378
1549488602,378
1549488605,378
1549488608,378
1549488611,378
1549488614,378
1549488617,378
1549488620,378
1549488623,378
1549488626,378
1549488629,378
1549488632,378
1549488635,378
1549488638,378
1549488641,378
1549488644,378
1549488647,378
1549488650,378
1549488653,378
1549488656,378
1549488659,378
1549488662,378
1549488665,378
1549488668,378
1549488671,378
1549488674,378
1549488677,378
1549488680,378
1549488683,378
1549488686,378
1549488689,378
1549488692,378
1549488695,378
1549488698,378
1549488701,378
1549488704,378
1549488707,378
1549488710,378
1549488713,378
1549488716,378
1549488719,378
1549488722,378
1549488725,378
1549488728,378
1549488731,378
1549488734,378
1549488737,378
1549488740,378
1549488743,378
1549488746,378
1549488749,378
1549488752,378
1549488755,378
1549488758,378
1549488761,378
1549488764,378
1549488767,378
1549488770,378
1549488773,378
1549488776,378
1549488779,378
1549488782,378
1549488785,378
1549488788,378
1549488791,378
1549488794,378
1549488797,378
1549488800,378
1549488803,378
1549488806,378
1549488809,378
1549488812,378
1549488815,378
1549488818,378
1549488821,378
1549488824,378
1549488827,378
1549488830,378
1549488833,378
1549488836,378
1549488839,378
1549488842,378
1549488845,378
1549488848,378
1549488851,378
1549488854,378
1549488857,378
1549488860,378
1549488863,378
1549488866,378
1549488869,378
1549488872,378
1549488875,378
1549488878,378
1549488881,378
1549488884,378
1549488887,378
1549488890,378
1549488893,378
1549488896,378
1549488899,378
1549488902,378
1549488905,378
1549488908,378
1549488911,378
1549488914,378
1549488917,378
1549488920,378
1549488923,378
1549488926,378
1549488929,378
1549488932,378
1549488935,378
1549488938,378
1549488941,378
1549488944,378
1549488947,378
1549488950,378
1549488953,378
1549488956,378
1549488959,378
1549488962,378
1549488965,378
1549488968,378
1549488971,378
1549488974,378
1549488977,378
1549488980,378
1549488983,378
1549488986,378
1549488989,378
1549488992,378
1549488995,378
1549488998,378
1549489001,378
1549489004,378
1549489007,378
1549489010,378
1549489013,378
1549489016,378
1549489019,378
1549489022,378
1549489025,378
1549489028,378
1549489031,378
1549489034,378
1549489037,378
1549489040,378
1549489043,378
1549489046,378
1549489049,378
1549489052,378
1549489055,415
1549489058,415
1549489061,415
1549489064,415
1549489067,415
1549489070,415
1549489073,415
1549489076,415
1549489079,415
1549489082,415
1549489085,415
1549489088,415
1549489091,415
1549489094,415
1549489097,415
1549489100,415
1549489103,415
1549489106,415
1549489109,415
1549489112,415
1549489115,415
1549489118,415
1549489121,415
1549489124,415
1549489127,415
1549489130,415
1549489133,415
1549489136,415
1549489139,415
1549489142,415
1549489145,415
1549489148,415
1549489151,415
1549489154,415
1549489157,415
1549489160,415
1549489163,415
1549489166,415
1549489169,415
1549489172,415
1549489175,415
1549489178,415
1549489181,415
1549489184,415
1549489187,415
1549489190,415
1549489193,415
1549489196,415
1549489199,415
1549489202,415
1549489205,415
1549489208,415
1549489211,415
1549489214,415
1549489217,415
1549489220,415
1549489223,415
1549489226,415
1549489229,415
1549489232,415
1549489235,415
1549489238,415
1549489241,415
1549489244,415
1549489247,415
1549489250,415
1549489253,415
1549489256,415
1549489259,415
1549489262,415
1549489265,415
1549489268,415
1549489271,415
1549489274,415
1549489277,415
1549489280,415
1549489283,415
1549489286,415
1549489289,415
1549489292,415
1549489295,415
1549489298,415
1549489301,415
1549489304,415
1549489307,415
1549489310,415
1549489313,415
1549489316,415
