t,value
1549486896,196624
1549486899,196624
1549486902,196624
1549486905,196624
1549486908,196624
1549486911,196624
1549486914,239775
1549486917,239775
1549486920,239775
1549486923,239775
1549486926,239775
1549486929,239775
1549486932,239775
1549486935,239775
1549486938,239775
1549486941,239775
1549486944,239775
1549486947,239775
1549486950,239775
1549486953,239775
1549486956,239775
1549486959,239775
1549486962,239775
1549486965,239775
1549486968,239775
1549486971,239775
1549486974,239775
1549486977,239775
1549486980,239775
1549486983,239775
1549486986,239775
1549486989,239775
1549486992,239775
1549486995,239775
1549486998,239775
1549487001,239775
1549487004,239775
1549487007,239775
1549487010,239775
1549487013,239775
1549487016,239775
1549487019,239775
1549487022,239775
1549487025,239775
1549487028,239775
1549487031,239775
1549487034,239775
1549487037,239775
1549487040,239775
1549487043,239775
1549487046,239775
1549487049,239775
1549487052,239775
1549487055,239775
1549487058,239775
1549487061,239775
1549487064,239775
1549487067,239775
1549487070,239775
1549487073,239775
1549487076,239775
1549487079,239775
1549487082,239775
1549487085,239775
1549487088,239775
1549487091,239775
1549487094,239775
1549487097,239775
1549487100,239775
1549487103,239775
1549487106,239775
1549487109,239775
1549487112,239775
1549487115,239775
1549487118,239775
1549487121,239775
1549487124,239775
1549487127,239775
1549487130,239775
1549487133,239775
1549487136,239775
1549487139,239775
1549487142,239775
1549487145,239775
1549487148,239775
1549487151,239775
1549487154,239775
1549487157,239775
1549487160,239775
1549487163,239775
1549487166,239775
1549487169,239775
1549487172,239775
1549487175,239775
1549487178,239775
1549487181,239775
1549487184,239775
1549487187,239775
1549487190,239775
1549487193,239775
1549487196,239775
1549487199,239775
1549487202,239775
1549487205,239775
1549487208,239775
1549487211,239775
1549487214,239775
1549487217,239775
1549487220,239775
1549487223,239775
1549487226,239775
1549487229,239775
1549487232,239775
1549487235,239775
1549487238,239775
1549487241,239775
1549487244,239775
1549487247,239775
1549487250,239775
1549487253,239775
1549487256,239775
1549487259,239775
1549487262,239775
1549487265,239775
1549487268,239775
1549487271,239775
1549487274,239775
1549487277,239775
1549487280,239775
1549487283,239775
1549487286,239775
1549487289,239775
1549487292,239775
1549487295,239775
1549487298,239775
1549487301,239775
1549487304,239775
1549487307,239775
1549487310,239775
1549487313,239775
1549487316,239775
1549487319,239775
1549487322,239775
1549487325,239775
1549487328,239775
1549487331,239775
1549487334,239775
1549487337,239775
1549487340,239775
1549487343,239775
1549487346,239775
1549487349,239775
1549487352,239775
1549487355,239775
1549487358,239775
1549487361,239775
1549487364,239775
1549487367,239775
1549487370,239775
1549487373,239775
1549487376,239775
1549487379,239775
1549487382,239775
1549487385,239775
1549487388,239775
1549487391,239775
1549487394,239775
1549487397,239775
1549487400,239775
1549487403,239775
1549487406,239775
1549487409,239775
1549487412,239775
1549487415,239775
1549487418,239775
1549487421,239775
1549487424,239775
1549487427,239775
1549487430,239775
1549487433,239775
1549487436,239775
1549487439,239775
1549487442,239775
1549487445,239775
1549487448,239775
1549487451,239775
1549487454,239775
1549487457,239775
1549487460,239775
1549487463,239775
1549487466,239775
1549487469,239775
1549487472,239775
1549487475,239775
1549487478,239775
1549487481,239775
1549487484,239775
1549487487,239775
1549487490,239775
1549487493,239775
1549487496,239775
1549487499,239775
1549487502,239775
1549487505,239775
1549487508,239775
1549487511,239775
1549487514,256408
1549487517,256408
1549487520,256408
1549487523,256408
1549487526,256408
1549487529,256408
1549487532,256408
1549487535,256408
1549487538,256408
1549487541,256408
1549487544,256408
1549487547,256408
1549487550,256408
1549487553,256408
1549487556,256408
1549487559,256408
1549487562,256408
1549487565,256408
1549487568,256408
1549487571,256408
1549487574,256408
1549487577,256408
1549487580,256408
1549487583,256408
1549487586,256408
1549487589,256408
1549487592,256408
1549487595,256408
1549487598,256408
1549487601,256408
1549487604,256822
1549487607,256822
1549487610,256822
1549487613,256822
1549487616,256822
1549487619,256822
1549487622,256822
1549487625,256822
1549487628,256822
1549487631,256822
1549487634,256822
1549487637,256822
1549487640,256822
1549487643,256822
1549487646,256822
1549487649,256822
1549487652,256822
1549487655,256822
1549487658,256822
1549487661,256822
1549487664,256822
1549487667,256822
1549487670,256822
1549487673,256822
1549487676,256822
1549487679,256822
1549487682,256822
1549487685,256822
1549487688,256822
1549487691,256822
1549487694,256822
1549487697,256822
1549487700,256822
1549487703,256822
1549487706,256822
1549487709,256822
1549487712,256822
1549487715,256822
1549487718,256822
1549487721,256822
1549487724,256822
1549487727,256822
1549487730,256822
1549487733,256822
1549487736,256822
1549487739,256822
1549487742,256822
1549487745,256822
1549487748,256822
1549487751,256822
1549487754,257371
1549487757,257371
1549487760,257371
1549487763,257371
1549487766,257371
1549487769,257371
1549487772,257371
1549487775,257371
1549487778,257371
1549487781,257371
1549487784,257371
1549487787,257371
1549487790,257371
1549487793,257371
1549487796,257371
1549487799,257371
1549487802,257371
1549487805,257371
1549487808,257371
1549487811,257371
1549487814,257371
1549487817,257371
1549487820,257371
1549487823,257371
1549487826,257371
1549487829,257371
1549487832,257371
1549487835,257371
1549487838,257371
1549487841,257371
1549487844,257371
1549487847,257371
1549487850,257371
1549487853,257371
1549487856,257371
1549487859,257371
1549487862,257371
1549487865,257371
1549487868,257371
1549487871,257371
1549487874,257371
1549487877,257371
1549487880,257371
1549487883,257371
1549487886,257371
1549487889,257371
t,value
1549487960,200705
1549487963,200705
1549487966,200705
1549487969,200705
1549487972,200704
1549487975,243855
1549487978,243855
1549487983,243855
1549487984,243855
1549487987,243855
1549487990,243855
1549487993,243855
1549487996,244404
1549487999,244404
1549488002,244953
1549488005,245502
1549488008,245502
1549488011,245502
1549488014,245502
1549488017,245502
1549488020,245502
1549488023,245502
1549488026,246051
1549488029,246051
1549488032,246051
1549488035,246051
1549488038,246051
1549488041,246051
1549488044,246051
1549488047,246051
1549488050,246051
1549488053,246051
1549488056,246051
1549488059,246051
1549488062,246600
1549488065,246600
1549488068,246600
1549488071,246600
1549488074,246600
1549488077,246600
1549488080,246600
1549488083,246600
1549488086,246600
1549488089,246600
1549488092,246600
1549488095,246600
1549488098,246600
1549488101,246600
1549488104,246600
1549488107,246600
1549488110,246600
1549488113,246600
1549488116,246600
1549488119,246600
1549488122,246600
1549488125,246600
1549488128,246600
1549488131,246600
1549488134,246600
1549488137,246600
1549488140,246600
1549488143,246600
1549488146,246600
1549488149,246600
1549488152,247125
1549488155,247125
1549488158,247125
1549488161,247125
1549488164,247125
1549488167,247125
1549488170,247125
1549488173,247125
1549488176,247125
1549488179,247125
1549488182,247125
1549488185,247125
1549488188,247125
1549488191,247125
1549488194,247125
1549488197,247125
1549488200,247125
1549488203,247125
1549488206,247125
1549488209,247125
1549488212,247125
1549488215,247125
1549488218,247125
1549488221,247125
1549488224,247125
1549488227,247260
1549488230,247260
1549488233,247395
1549488236,247395
1549488239,247395
1549488242,247395
1549488245,247395
1549488248,247413
1549488251,247413
1549488254,247413
1549488257,247413
1549488260,247413
1549488263,247413
1549488266,247413
1549488269,247413
1549488272,247413
1549488275,247413
1549488278,247413
1549488281,247413
1549488284,247413
1549488287,247413
1549488290,247548
1549488293,247548
1549488296,247566
1549488299,247566
1549488302,247566
1549488305,247566
1549488308,247566
1549488311,247566
1549488314,247566
1549488317,247566
1549488320,247566
1549488323,247566
1549488326,247566
1549488329,247566
1549488332,247566
1549488335,247566
1549488338,247566
1549488341,247566
1549488344,247566
1549488347,247566
1549488350,247566
1549488353,247566
1549488356,247566
1549488359,247566
1549488362,247566
1549488365,247566
1549488368,247566
1549488371,247566
1549488374,247566
1549488377,247566
1549488380,247566
1549488383,247566
1549488386,247566
1549488389,247566
1549488392,247566
1549488395,247566
1549488398,247566
1549488401,247566
1549488404,248214
1549488407,248214
1549488410,248214
1549488413,248214
1549488416,248214
1549488419,248214
1549488422,248214
1549488425,248214
1549488428,248214
1549488431,248214
1549488434,248214
1549488437,248214
1549488440,248214
1549488443,248214
1549488446,248214
1549488449,248214
1549488452,248214
1549488455,248214
1549488458,248214
1549488461,248214
1549488464,248214
1549488467,248214
1549488470,248214
1549488473,248214
1549488476,248214
1549488479,248214
1549488482,248214
1549488485,248214
1549488488,248214
1549488491,248214
1549488494,248214
1549488497,248214
1549488500,248214
1549488503,248214
1549488506,248214
1549488509,248214
1549488512,248214
1549488515,248214
1549488518,248214
1549488521,248214
1549488524,248214
1549488527,248214
1549488530,248214
1549488533,248214
1549488536,248214
1549488539,248214
1549488542,248214
1549488545,248214
1549488548,248214
1549488551,248214
1549488554,248214
1549488557,248214
1549488560,248214
1549488563,248214
1549488566,248214
1549488569,248214
1549488572,248214
1549488575,248214
1549488578,248214
1549488581,248214
1549488584,248214
1549488587,248214
1549488590,248214
1549488593,248214
1549488596,248214
1549488599,248214
1549488602,248214
1549488605,248214
1549488608,248214
1549488611,248214
1549488614,248214
1549488617,248214
1549488620,248214
1549488623,248214
1549488626,248214
1549488629,248214
1549488632,248214
1549488635,248214
1549488638,248214
1549488641,248214
1549488644,248214
1549488647,248214
1549488650,248214
1549488653,248214
1549488656,248214
1549488659,248214
1549488662,248214
1549488665,248214
1549488668,248214
1549488671,248214
1549488674,248214
1549488677,248214
1549488680,248214
1549488683,248214
1549488686,248214
1549488689,248214
1549488692,248214
1549488695,248214
1549488698,248214
1549488701,248214
1549488704,248214
1549488707,248214
1549488710,248214
1549488713,248214
1549488716,248214
1549488719,248214
1549488722,248214
1549488725,248214
1549488728,248214
1549488731,248214
1549488734,248214
1549488737,248214
1549488740,248214
1549488743,248214
1549488746,248214
1549488749,248214
1549488752,248214
1549488755,248214
1549488758,248214
1549488761,248214
1549488764,248214
1549488767,248214
1549488770,248214
1549488773,248214
1549488776,248214
1549488779,248214
1549488782,248214
1549488785,248214
1549488788,248214
1549488791,248214
1549488794,248214
1549488797,248214
1549488800,248214
1549488803,248214
1549488806,248214
1549488809,248214
1549488812,248214
1549488815,248214
1549488818,248214
1549488821,248214
1549488824,248214
1549488827,248214
1549488830,248214
1549488833,248214
1549488836,248214
1549488839,248214
1549488842,248214
1549488845,248214
1549488848,248214
1549488851,248214
1549488854,248214
1549488857,248214
1549488860,248214
1549488863,248214
1549488866,248214
1549488869,248214
1549488872,248214
1549488875,248214
1549488878,248214
1549488881,248214
1549488884,248214
1549488887,248214
1549488890,248214
1549488893,248214
1549488896,248214
1549488899,248214
1549488902,248214
1549488905,248214
1549488908,248214
1549488911,248214
1549488914,248214
1549488917,248214
1549488920,248214
1549488923,248214
1549488926,248214
1549488929,248214
1549488932,248214
1549488935,248214
1549488938,248214
1549488941,248214
1549488944,248214
1549488947,248214
1549488950,248214
1549488953,248214
1549488956,248214
1549488959,248214
1549488962,248214
1549488965,248214
1549488968,248214
1549488971,248214
1549488974,248214
1549488977,248214
1549488980,248214
1549488983,248214
1549488986,248214
1549488989,248214
1549488992,248214
1549488995,248214
1549488998,248214
1549489001,248214
1549489004,248214
1549489007,248214
1549489010,248214
1549489013,248214
1549489016,248214
1549489019,248214
1549489022,248214
1549489025,248214
1549489028,248214
1549489031,248214
1549489034,248214
1549489037,248214
1549489040,248214
1549489043,248214
1549489046,248214
1549489049,248214
1549489052,248214
1549489055,247665
1549489058,247665
1549489061,247665
1549489064,247665
1549489067,247665
1549489070,247665
1549489073,247665
1549489076,247665
1549489079,247665
1549489082,247665
1549489085,247665
1549489088,247665
1549489091,247665
1549489094,247665
1549489097,247665
1549489100,247665
1549489103,247665
1549489106,247665
1549489109,247665
1549489112,247665
1549489115,247665
1549489118,247665
1549489121,247665
1549489124,247665
1549489127,247665
1549489130,247665
1549489133,247665
1549489136,247665
1549489139,247665
1549489142,247665
1549489145,247665
1549489148,247665
1549489151,247665
1549489154,247665
1549489157,247665
1549489160,247665
1549489163,247665
1549489166,247665
1549489169,247665
1549489172,247665
1549489175,247665
1549489178,247665
1549489181,247665
1549489184,247665
1549489187,247665
1549489190,247665
1549489193,247665
1549489196,247665
1549489199,247665
1549489202,247665
1549489205,247665
1549489208,247665
1549489211,247665
1549489214,247665
1549489217,247665
1549489220,247665
1549489223,247665
1549489226,247665
1549489229,247665
1549489232,247665
1549489235,247665
1549489238,247665
1549489241,247665
1549489244,247665
1549489247,247683
1549489250,247683
1549489253,247683
1549489256,247683
1549489259,247683
1549489262,247683
1549489265,247683
1549489268,247683
1549489271,247683
1549489274,247683
1549489277,247683
1549489280,247683
1549489283,247683
1549489286,247683
1549489289,247683
1549489292,247683
1549489295,247683
1549489298,247683
1549489301,247683
1549489304,247683
1549489307,247683
1549489310,247683
1549489313,247683
1549489316,247683
1549489319,247683
1549489322,247683
1549489325,247683
1549489328,247683
1549489331,247683
1549489334,247683
1549489337,247683
1549489340,247683
1549489343,247683
1549489346,247683
1549489349,247683
1549489352,247683
1549489355,247683
1549489358,247683
1549489361,247683
1549489364,247683
1549489367,247683
1549489370,247683
1549489373,247683
1549489376,247683
1549489379,247683
1549489382,247683
1549489385,247683
1549489388,247683
1549489391,247683
1549489394,247683
1549489397,247683
1549489400,247683
1549489403,247683
1549489406,247683
1549489409,247683
1549489412,247683
1549489415,247683
1549489418,247683
1549489421,247683
1549489424,247683
