t,value
1549486896,5
1549486899,5
1549486902,5
1549486905,5
1549486908,5
1549486911,5
1549486914,9
1549486917,9
1549486920,9
1549486923,9
1549486926,9
1549486929,9
1549486932,9
1549486935,9
1549486938,9
1549486941,9
1549486944,9
1549486947,9
1549486950,9
1549486953,9
1549486956,9
1549486959,9
1549486962,9
1549486965,9
1549486968,9
1549486971,9
1549486974,9
1549486977,9
1549486980,9
1549486983,9
1549486986,9
1549486989,9
1549486992,9
1549486995,9
1549486998,9
1549487001,9
1549487004,9
1549487007,9
1549487010,9
1549487013,9
1549487016,9
1549487019,9
1549487022,9
1549487025,9
1549487028,9
1549487031,9
1549487034,9
1549487037,9
1549487040,9
1549487043,9
1549487046,9
1549487049,9
1549487052,9
1549487055,9
1549487058,9
1549487061,9
1549487064,9
1549487067,9
1549487070,9
1549487073,9
1549487076,9
1549487079,9
1549487082,9
1549487085,9
1549487088,9
1549487091,9
1549487094,9
1549487097,9
1549487100,9
1549487103,9
1549487106,9
1549487109,9
1549487112,9
1549487115,9
1549487118,9
1549487121,9
1549487124,9
1549487127,9
1549487130,9
1549487133,9
1549487136,9
1549487139,9
1549487142,9
1549487145,9
1549487148,9
1549487151,9
1549487154,9
1549487157,9
1549487160,9
1549487163,9
1549487166,9
1549487169,9
1549487172,9
1549487175,9
1549487178,9
1549487181,9
1549487184,9
1549487187,9
1549487190,9
1549487193,9
1549487196,9
1549487199,9
1549487202,9
1549487205,9
1549487208,9
1549487211,9
1549487214,9
1549487217,9
1549487220,9
1549487223,9
1549487226,9
1549487229,9
1549487232,9
1549487235,9
1549487238,9
1549487241,9
1549487244,9
1549487247,9
1549487250,9
1549487253,9
1549487256,9
1549487259,9
1549487262,9
1549487265,9
1549487268,9
1549487271,9
1549487274,9
1549487277,9
1549487280,9
1549487283,9
1549487286,9
1549487289,9
1549487292,9
1549487295,9
1549487298,9
1549487301,9
1549487304,9
1549487307,9
1549487310,9
1549487313,9
1549487316,9
1549487319,9
1549487322,9
1549487325,9
1549487328,9
1549487331,9
1549487334,9
1549487337,9
1549487340,9
1549487343,9
1549487346,9
1549487349,9
1549487352,9
1549487355,9
1549487358,9
1549487361,9
1549487364,9
1549487367,9
1549487370,9
1549487373,9
1549487376,9
1549487379,9
1549487382,9
1549487385,9
1549487388,9
1549487391,9
1549487394,9
1549487397,9
1549487400,9
1549487403,9
1549487406,9
1549487409,9
1549487412,9
1549487415,9
1549487418,9
1549487421,9
1549487424,9
1549487427,9
1549487430,9
1549487433,9
1549487436,9
1549487439,9
1549487442,9
1549487445,9
1549487448,9
1549487451,9
1549487454,9
1549487457,9
1549487460,9
1549487463,9
1549487466,9
1549487469,9
1549487472,9
1549487475,9
1549487478,9
1549487481,9
1549487484,9
1549487487,9
1549487490,9
1549487493,9
1549487496,9
1549487499,9
