t,value
1549486896,196625
1549486899,196625
1549486902,196625
1549486905,196625
1549486908,196625
1549486911,196625
1549486914,239776
1549486917,239776
1549486920,239776
1549486923,239776
1549486926,239776
1549486929,239776
1549486932,239776
1549486935,239776
1549486938,239776
1549486941,239776
1549486944,239776
1549486947,239776
1549486950,239776
1549486953,239776
1549486956,239776
1549486959,239776
1549486962,239776
1549486965,239776
1549486968,239776
1549486971,239776
1549486974,239776
1549486977,239776
1549486980,239776
1549486983,239776
1549486986,239776
1549486989,239776
1549486992,239776
1549486995,239776
1549486998,239776
1549487001,239776
1549487004,239776
1549487007,239776
1549487010,239776
1549487013,239776
1549487016,239776
1549487019,239776
1549487022,239776
1549487025,239776
1549487028,239776
1549487031,239776
1549487034,239776
1549487037,239776
1549487040,239776
1549487043,239776
1549487046,239776
1549487049,239776
1549487052,239776
1549487055,239776
1549487058,239776
1549487061,239776
1549487064,239776
1549487067,239776
1549487070,239776
1549487073,239776
1549487076,239776
1549487079,239776
1549487082,239776
1549487085,239776
1549487088,239776
1549487091,239776
1549487094,239776
1549487097,239776
1549487100,239776
1549487103,239776
1549487106,239776
1549487109,239776
1549487112,239776
1549487115,239776
1549487118,239776
1549487121,239776
1549487124,239776
1549487127,239776
1549487130,239776
1549487133,239776
1549487136,239776
1549487139,239776
1549487142,239776
1549487145,239776
1549487148,239776
1549487151,239776
1549487154,239776
1549487157,239776
1549487160,239776
1549487163,239776
1549487166,239776
1549487169,239776
1549487172,239776
1549487175,239776
1549487178,239776
1549487181,239776
1549487184,239776
1549487187,239776
1549487190,239776
1549487193,239776
1549487196,239776
1549487199,239776
1549487202,239776
1549487205,239776
1549487208,239776
1549487211,239776
1549487214,239776
1549487217,239776
1549487220,239776
1549487223,239776
1549487226,239776
1549487229,239776
1549487232,239776
1549487235,239776
1549487238,239776
1549487241,239776
1549487244,239776
1549487247,239776
1549487250,239776
1549487253,239776
1549487256,239776
1549487259,239776
1549487262,239776
1549487265,239776
1549487268,239776
1549487271,239776
1549487274,239776
1549487277,239776
1549487280,239776
1549487283,239776
1549487286,239776
1549487289,239776
1549487292,239776
1549487295,239776
1549487298,239776
1549487301,239776
1549487304,239776
1549487307,239776
1549487310,239776
1549487313,239776
1549487316,239776
1549487319,239776
1549487322,239776
1549487325,239776
1549487328,239776
1549487331,239776
1549487334,239776
1549487337,239776
1549487340,239776
1549487343,239776
1549487346,239776
1549487349,239776
1549487352,239776
1549487355,239776
1549487358,239776
1549487361,239776
1549487364,239776
1549487367,239776
1549487370,239776
1549487373,239776
1549487376,239776
1549487379,239776
1549487382,239776
1549487385,239776
1549487388,239776
1549487391,239776
1549487394,239776
1549487397,239776
1549487400,239776
1549487403,239776
1549487406,239776
1549487409,239776
1549487412,239776
1549487415,239776
1549487418,239776
1549487421,239776
1549487424,239776
1549487427,239776
1549487430,239776
1549487433,239776
1549487436,239776
1549487439,239776
1549487442,239776
1549487445,239776
1549487448,239776
1549487451,239776
1549487454,239776
1549487457,239776
1549487460,239776
1549487463,239776
1549487466,239776
1549487469,239776
1549487472,239776
1549487475,239776
1549487478,239776
1549487481,239776
1549487484,239776
1549487487,239776
1549487490,239776
1549487493,239776
1549487496,239776
1549487499,239776
1549487502,239776
1549487505,239776
1549487508,239776
1549487511,239776
1549487514,256409
1549487517,256409
1549487520,256409
1549487523,256409
1549487526,256409
1549487529,256409
1549487532,256409
1549487535,256409
1549487538,256409
1549487541,256409
1549487544,256409
1549487547,256409
1549487550,256409
1549487553,256409
1549487556,256409
1549487559,256409
1549487562,256409
1549487565,256409
1549487568,256409
1549487571,256409
1549487574,256409
1549487577,256409
1549487580,256409
1549487583,256409
1549487586,256409
1549487589,256409
1549487592,256409
1549487595,256409
1549487598,256409
1549487601,256409
1549487604,256823
1549487607,256823
1549487610,256823
1549487613,256823
1549487616,256823
1549487619,256823
1549487622,256823
1549487625,256823
1549487628,256823
1549487631,256823
1549487634,256823
1549487637,256823
1549487640,256823
1549487643,256823
1549487646,256823
1549487649,256823
1549487652,256823
1549487655,256823
1549487658,256823
1549487661,256823
1549487664,256823
1549487667,256823
1549487670,256823
1549487673,256823
1549487676,256823
1549487679,256823
1549487682,256823
1549487685,256823
1549487688,256823
1549487691,256823
1549487694,256823
1549487697,256823
1549487700,256823
1549487703,256823
1549487706,256823
1549487709,256823
1549487712,256823
1549487715,256823
1549487718,256823
1549487721,256823
1549487724,256823
1549487727,256823
1549487730,256823
1549487733,256823
1549487736,256823
1549487739,256823
1549487742,256823
1549487745,256823
1549487748,256823
1549487751,256823
1549487754,257372
1549487757,257372
1549487760,257372
1549487763,257372
1549487766,257372
1549487769,257372
1549487772,257372
1549487775,257372
1549487778,257372
1549487781,257372
1549487784,257372
1549487787,257372
1549487790,257372
1549487793,257372
1549487796,257372
1549487799,257372
1549487802,257372
1549487805,257372
1549487808,257372
1549487811,257372
1549487814,257372
1549487817,257372
1549487820,257372
1549487823,257372
1549487826,257372
1549487829,257372
1549487832,257372
1549487835,257372
1549487838,257372
1549487841,257372
1549487844,257372
1549487847,257372
1549487850,257372
1549487853,257372
1549487856,257372
1549487859,257372
1549487862,257372
1549487865,257372
1549487868,257372
1549487871,257372
1549487874,257372
1549487877,257372
1549487880,257372
1549487883,257372
1549487886,257372
1549487889,257372
t,value
1549487960,200706
1549487963,200706
1549487966,200706
1549487969,200706
1549487972,200705
1549487975,243856
1549487978,243856
1549487983,243856
1549487984,243856
1549487987,243856
1549487990,243856
1549487993,243856
1549487996,244405
1549487999,244405
1549488002,244954
1549488005,245503
1549488008,245503
1549488011,245503
1549488014,245503
1549488017,245503
1549488020,245503
1549488023,245503
1549488026,246052
1549488029,246052
1549488032,246052
1549488035,246052
1549488038,246052
1549488041,246052
1549488044,246052
1549488047,246052
1549488050,246052
1549488053,246052
1549488056,246052
1549488059,246052
1549488062,246601
1549488065,246601
1549488068,246601
1549488071,246601
1549488074,246601
1549488077,246601
1549488080,246601
1549488083,246601
1549488086,246601
1549488089,246601
1549488092,246601
1549488095,246601
1549488098,246601
1549488101,246601
1549488104,246601
1549488107,246601
1549488110,246601
1549488113,246601
1549488116,246601
1549488119,246601
1549488122,246601
1549488125,246601
1549488128,246601
1549488131,246601
1549488134,246601
1549488137,246601
1549488140,246601
1549488143,246601
1549488146,246601
1549488149,246601
1549488152,247126
1549488155,247126
1549488158,247126
1549488161,247126
1549488164,247126
1549488167,247126
1549488170,247126
1549488173,247126
1549488176,247126
1549488179,247126
1549488182,247126
1549488185,247126
1549488188,247126
1549488191,247126
1549488194,247126
1549488197,247126
1549488200,247126
1549488203,247126
1549488206,247126
1549488209,247126
1549488212,247126
1549488215,247126
1549488218,247126
1549488221,247126
1549488224,247126
1549488227,247261
1549488230,247261
1549488233,247396
1549488236,247396
1549488239,247396
1549488242,247396
1549488245,247396
1549488248,247414
1549488251,247414
1549488254,247414
1549488257,247414
1549488260,247414
1549488263,247414
1549488266,247414
1549488269,247414
1549488272,247414
1549488275,247414
1549488278,247414
1549488281,247414
1549488284,247414
1549488287,247414
1549488290,247549
1549488293,247549
1549488296,247567
1549488299,247567
1549488302,247567
1549488305,247567
1549488308,247567
1549488311,247567
1549488314,247567
1549488317,247567
1549488320,247567
1549488323,247567
1549488326,247567
1549488329,247567
1549488332,247567
