t,value
1549486896,10050944
1549486899,10085568
1549486902,10106752
1549486905,10325952
1549486908,11204544
1549486911,13487872
1549486914,14195456
1549486917,14539840
1549486920,18709056
1549486923,18822656
1549486926,18867072
1549486929,19197696
1549486932,19176320
1549486935,19174720
1549486938,19647680
1549486941,19797888
1549486944,19812288
1549486947,19870592
1549486950,19896000
1549486953,19998464
1549486956,21214784
1549486959,21383552
1549486962,21411904
1549486965,21432128
1549486968,21432896
1549486971,21440064
1549486974,21449536
1549486977,21457792
1549486980,21642368
1549486983,21369024
1549486986,21379584
1549486989,21421056
1549486992,21425088
1549486995,21430336
1549486998,21572224
1549487001,21574912
1549487004,21586624
1549487007,21605952
1549487010,21616000
1549487013,21633856
1549487016,21634368
1549487019,21593856
1549487022,21482240
1549487025,21471808
1549487028,21484992
1549487031,21543808
1549487034,21543808
1549487037,21545024
1549487040,21680960
1549487043,21834624
1549487046,21847424
1549487049,21849728
1549487052,21345920
1549487055,21350208
1549487058,23825920
1549487061,23937024
1549487064,24003328
1549487067,24016704
1549487070,24181184
1549487073,24199936
1549487076,24199936
1549487079,24225472
1549487082,24333056
1549487085,24310272
1549487088,24283264
1549487091,24280000
1549487094,24283648
1549487097,24241728
1549487100,24312128
1549487103,24326208
1549487106,24331264
1549487109,24370304
1549487112,24370304
1549487115,24370304
1549487118,24392320
1549487121,24542848
1549487124,24542848
1549487127,24553792
1549487130,24663040
1549487133,24688896
1549487136,24705088
1549487139,24705088
1549487142,24823872
1549487145,24856320
1549487148,24859840
1549487151,24862272
1549487154,24864704
1549487157,24865408
1549487160,24874432
1549487163,24934080
1549487166,24934080
1549487169,24936128
1549487172,24954624
1549487175,24964800
1549487178,24965440
1549487181,25051328
1549487184,25060864
1549487187,25061760
1549487190,25062464
1549487193,25093504
1549487196,25093504
1549487199,25093504
1549487202,25211840
1549487205,25223488
1549487208,25244160
1549487211,25244160
1549487214,25244160
1549487217,25254080
1549487220,25254080
1549487223,25404864
1549487226,25405632
1549487229,25405632
1549487232,25405632
1549487235,25407232
1549487238,25430336
1549487241,25445632
1549487244,25350656
1549487247,25350656
1549487250,25304320
1549487253,25037184
1549487256,24964032
1549487259,24964032
1549487262,25052032
1549487265,25472768
1549487268,25474368
1549487271,25474368
1549487274,25507392
1549487277,25536704
1549487280,25536704
1549487283,25668480
1549487286,25668480
1549487289,25668480
1549487292,25666048
1549487295,25660736
1549487298,25663104
1549487301,25663104
1549487304,25572096
1549487307,25576320
1549487310,25577984
1549487313,25626624
1549487316,25626624
1549487319,25639488
1549487322,25639488
1549487325,25752192
1549487328,25752192
1549487331,25807104
1549487334,25807104
1549487337,25814272
1549487340,25814272
1549487343,25895680
1549487346,25892992
1549487349,25892992
1549487352,25892992
1549487355,25892992
1549487358,25892992
1549487361,25892992
1549487364,25912704
1549487367,25927360
1549487370,25927360
1549487373,25949056
1549487376,25949056
1549487379,25950656
1549487382,25951616
1549487385,26021440
1549487388,26034944
1549487391,26041280
1549487394,26041280
1549487397,26677568
1549487400,26678208
1549487403,26694976
1549487406,26759808
1549487409,26764032
1549487412,26764032
1549487415,26764032
1549487418,26764544
1549487421,26764544
1549487424,27029952
1549487427,27045376
1549487430,27045376
1549487433,27044608
1549487436,27044608
1549487439,27044608
1549487442,27044608
1549487445,27060096
1549487448,27074816
1549487451,27075712
1549487454,27075712
1549487457,27075712
1549487460,27077376
1549487463,27080704
1549487466,27080704
1549487469,27119744
1549487472,27129152
1549487475,27129152
1549487478,27129152
1549487481,27129152
1549487484,27134144
1549487487,27135232
1549487490,27135232
1549487493,27412608
1549487496,27149952
1549487499,27170752
1549487502,27214464
1549487505,27214464
1549487508,27223040
1549487511,27223040
1549487514,27771392
1549487517,27914048
1549487520,27959040
1549487523,28076928
1549487526,28076928
1549487529,28076928
1549487532,28076928
1549487535,28157568
1549487538,28157568
1549487541,28157568
1549487544,28157568
1549487547,28138176
1549487550,28140096
1549487553,28013440
1549487556,27946240
1549487559,27946240
1549487562,26283584
1549487565,26315264
1549487568,26315264
1549487571,26315264
1549487574,26320064
1549487577,26320960
1549487580,26321728
1549487583,26400768
1549487586,26400768
1549487589,26400768
1549487592,26413440
1549487595,26413440
1549487598,26435008
1549487601,27378752
1549487604,27438784
1549487607,27441280
1549487610,27444160
1549487613,27455616
1549487616,27456832
1549487619,27456832
1549487622,27467712
1549487625,27467712
1549487628,27544320
1549487631,27544320
1549487634,27544320
1549487637,27544320
1549487640,27836544
1549487643,27836544
1549487646,27836544
1549487649,27836544
1549487652,27836544
1549487655,27828928
1549487658,27772288
1549487661,28004096
1549487664,28011584
1549487667,28055296
1549487670,28068608
1549487673,28086912
1549487676,28090624
1549487679,28090624
1549487682,28090624
1549487685,28092096
1549487688,28807488
1549487691,28807488
1549487694,28807488
1549487697,28807488
1549487700,28807488
1549487703,28807488
1549487706,28804736
1549487709,28766016
1549487712,28766016
1549487715,28766016
1549487718,28766016
1549487721,28766016
1549487724,28798464
1549487727,28798464
1549487730,28800640
1549487733,28821120
