t,value
1549486896,5139592
1549486899,5139592
1549486902,5141088
1549486905,5989608
1549486908,7335800
1549486911,9178848
1549486914,10335496
1549486917,10358304
1549486920,10524080
1549486923,10527096
1549486926,10528632
1549486929,10562776
1549486932,10562776
1549486935,10562776
1549486938,10564184
1549486941,10590456
1549486944,10590456
1549486947,10590456
1549486950,10590456
1549486953,10592688
1549486956,10703504
1549486959,10703504
1549486962,10703504
1549486965,10703504
1549486968,10703504
1549486971,10703504
1549486974,10703504
1549486977,10703504
1549486980,10703504
1549486983,10703504
1549486986,10703504
1549486989,10703504
1549486992,10703504
1549486995,10703504
1549486998,10703504
1549487001,10703504
1549487004,10703504
1549487007,10703504
1549487010,10703504
1549487013,10703504
1549487016,10703504
1549487019,10703504
1549487022,10703504
1549487025,10703504
1549487028,10703504
1549487031,10703504
1549487034,10703504
1549487037,10703504
1549487040,10703504
1549487043,10714544
1549487046,10714544
1549487049,10714544
1549487052,10714544
1549487055,10714544
1549487058,10717304
1549487061,10717304
1549487064,10717304
1549487067,10717304
1549487070,10717304
1549487073,10717304
1549487076,10717304
1549487079,10717304
1549487082,10717304
1549487085,10717304
1549487088,10717304
1549487091,10717304
1549487094,10717304
1549487097,10717304
1549487100,10717304
1549487103,10717304
1549487106,10717304
1549487109,10717304
1549487112,10717304
1549487115,10717304
1549487118,10717304
1549487121,10717304
1549487124,10717304
1549487127,10717304
1549487130,10717304
1549487133,10717304
1549487136,10717304
1549487139,10717304
1549487142,10717304
1549487145,10717304
1549487148,10717304
1549487151,10717304
1549487154,10717304
1549487157,10717304
1549487160,10717304
1549487163,10717304
1549487166,10717304
1549487169,10717304
1549487172,10717304
1549487175,10717304
1549487178,10717304
1549487181,10717304
1549487184,10717304
1549487187,10717304
1549487190,10717304
1549487193,10717304
1549487196,10717304
1549487199,10717304
1549487202,10717304
1549487205,10717304
1549487208,10717304
1549487211,10717304
1549487214,10717304
1549487217,10717304
1549487220,10717304
1549487223,10717304
1549487226,10717304
1549487229,10717304
1549487232,10717304
1549487235,10717304
1549487238,10717304
1549487241,10717304
1549487244,10717304
1549487247,10717304
1549487250,10717304
1549487253,10717304
1549487256,10717304
1549487259,10717304
1549487262,10717304
1549487265,10724736
1549487268,10724736
1549487271,10724736
1549487274,10724736
1549487277,10724736
1549487280,10724736
1549487283,10725264
1549487286,10725264
1549487289,10725264
1549487292,10725264
1549487295,10725264
1549487298,10725264
1549487301,10725264
1549487304,10725264
1549487307,10725264
1549487310,10725264
1549487313,10725264
1549487316,10725264
1549487319,10725264
1549487322,10725264
1549487325,10725264
1549487328,10725264
1549487331,10725264
1549487334,10725264
1549487337,10725264
1549487340,10725264
1549487343,10725264
1549487346,10725264
1549487349,10725264
1549487352,10725264
1549487355,10725264
1549487358,10725264
1549487361,10725264
1549487364,10725264
1549487367,10725264
1549487370,10725264
1549487373,10725264
1549487376,10725264
1549487379,10725264
1549487382,10725264
1549487385,10725264
1549487388,10725264
1549487391,10725264
1549487394,10725264
1549487397,10725264
1549487400,10725264
1549487403,10725264
1549487406,10725264
1549487409,10725264
1549487412,10725264
1549487415,10725264
1549487418,10725264
1549487421,10725264
1549487424,10725264
1549487427,10725264
1549487430,10725264
1549487433,10725264
1549487436,10725264
1549487439,10725264
1549487442,10725264
1549487445,10725264
1549487448,10725264
1549487451,10725264
1549487454,10725264
1549487457,10725264
1549487460,10725264
1549487463,10725264
1549487466,10725264
1549487469,10725264
1549487472,10725264
1549487475,10725264
1549487478,10725264
1549487481,10725264
1549487484,10725264
1549487487,10725264
1549487490,10725264
1549487493,10725744
1549487496,10725744
1549487499,10760912
1549487502,10760912
1549487505,10763304
1549487508,10763304
1549487511,10763304
1549487514,11002552
1549487517,11007056
1549487520,11007056
1549487523,11007584
1549487526,11007584
1549487529,11007584
1549487532,11007584
1549487535,11007584
1549487538,11007584
1549487541,11007584
1549487544,11007584
1549487547,11007584
1549487550,11007584
1549487553,11008064
1549487556,11008064
1549487559,11008064
1549487562,11008592
1549487565,11009136
1549487568,11009136
1549487571,11009136
1549487574,11009136
1549487577,11009136
1549487580,11009136
1549487583,11009136
