t,value
1549486896,35651584
1549486899,36700160
1549486902,36700160
1549486905,126877696
1549486908,258998272
1549486911,98566144
1549486914,201326592
1549486917,206569472
1549486920,40894464
1549486923,42991616
1549486926,42991616
1549486929,48234496
1549486932,48234496
1549486935,49283072
1549486938,56623104
1549486941,58720256
1549486944,58720256
1549486947,59768832
1549486950,59768832
1549486953,61865984
1549486956,76546048
1549486959,82837504
1549486962,82837504
1549486965,83886080
1549486968,83886080
1549486971,83886080
1549486974,84934656
1549486977,84934656
1549486980,92274688
1549486983,93323264
1549486986,93323264
1549486989,93323264
1549486992,94371840
1549486995,94371840
1549486998,100663296
1549487001,101711872
1549487004,101711872
1549487007,102760448
1549487010,102760448
1549487013,102760448
1549487016,103809024
1549487019,111149056
1549487022,111149056
1549487025,111149056
1549487028,112197632
1549487031,112197632
1549487034,112197632
1549487037,112197632
1549487040,120586240
1549487043,121634816
1549487046,121634816
1549487049,122683392
1549487052,122683392
1549487055,122683392
1549487058,179306496
1549487061,185597952
1549487064,186646528
1549487067,186646528
1549487070,196083712
1549487073,196083712
1549487076,197132288
1549487079,197132288
1549487082,204472320
1549487085,204472320
1549487088,204472320
1549487091,205520896
1549487094,205520896
1549487097,205520896
1549487100,212860928
1549487103,213909504
1549487106,213909504
1549487109,213909504
1549487112,214958080
1549487115,214958080
1549487118,214958080
1549487121,221249536
1549487124,222298112
1549487127,222298112
1549487130,223346688
1549487133,223346688
1549487136,223346688
1549487139,224395264
1549487142,239075328
1549487145,240123904
1549487148,240123904
1549487151,241172480
1549487154,241172480
1549487157,241172480
1549487160,242221056
1549487163,248512512
1549487166,248512512
1549487169,248512512
1549487172,248512512
1549487175,249561088
1549487178,249561088
1549487181,256901120
1549487184,257949696
1549487187,257949696
1549487190,257949696
1549487193,258998272
1549487196,258998272
1549487199,258998272
1549487202,266338304
1549487205,266338304
1549487208,266338304
1549487211,267386880
1549487214,267386880
1549487217,267386880
1549487220,268435456
1549487223,275775488
1549487226,275775488
1549487229,275775488
1549487232,275775488
1549487235,276824064
1549487238,276824064
1549487241,4194304
1549487244,5242880
1549487247,5242880
1549487250,6291456
1549487253,7340032
1549487256,7340032
1549487259,7340032
1549487262,14680064
1549487265,28311552
1549487268,29360128
1549487271,29360128
1549487274,30408704
1549487277,30408704
1549487280,30408704
1549487283,49283072
1549487286,49283072
1549487289,49283072
1549487292,50331648
1549487295,50331648
1549487298,50331648
1549487301,50331648
1549487304,58720256
1549487307,58720256
1549487310,58720256
1549487313,59768832
1549487316,59768832
1549487319,60817408
1549487322,60817408
1549487325,67108864
1549487328,67108864
1549487331,67108864
1549487334,67108864
1549487337,68157440
1549487340,68157440
1549487343,75497472
1549487346,75497472
1549487349,76546048
1549487352,76546048
1549487355,76546048
1549487358,76546048
1549487361,77594624
1549487364,83886080
1549487367,84934656
1549487370,84934656
1549487373,84934656
1549487376,85983232
1549487379,85983232
1549487382,85983232
1549487385,93323264
1549487388,93323264
1549487391,93323264
1549487394,93323264
1549487397,115343360
1549487400,115343360
1549487403,115343360
1549487406,122683392
1549487409,122683392
1549487412,122683392
1549487415,123731968
1549487418,123731968
1549487421,123731968
1549487424,149946368
1549487427,150994944
1549487430,150994944
1549487433,152043520
