t,value
1549486896,7340040
1549486899,7340040
1549486902,7340040
1549486905,7340040
1549486908,7340040
1549486911,7864320
1549486914,7864320
1549486917,7864320
1549486920,9727488
1549486923,9727488
1549486926,9727488
1549486929,9727488
1549486932,9727488
1549486935,9727488
1549486938,9727488
1549486941,9727488
1549486944,9727488
1549486947,9727488
1549486950,9727488
1549486953,9727488
1549486956,9727488
1549486959,9727488
1549486962,9727488
1549486965,9727488
1549486968,9727488
1549486971,9727488
1549486974,9727488
1549486977,9727488
1549486980,9727488
1549486983,9727488
1549486986,9727488
1549486989,9727488
1549486992,9727488
1549486995,9727488
1549486998,9727488
1549487001,9727488
1549487004,9727488
1549487007,9727488
1549487010,9727488
1549487013,9727488
1549487016,9727488
1549487019,9727488
1549487022,9727488
1549487025,9727488
1549487028,9727488
1549487031,9727488
1549487034,9727488
1549487037,9727488
1549487040,9727488
1549487043,9727488
1549487046,9727488
1549487049,9727488
1549487052,9727488
1549487055,9727488
1549487058,9727488
1549487061,9727488
1549487064,9727488
1549487067,9727488
1549487070,9727488
1549487073,9727488
1549487076,9727488
1549487079,9727488
1549487082,9727488
1549487085,9727488
1549487088,9727488
1549487091,9727488
1549487094,9727488
1549487097,9727488
1549487100,9727488
1549487103,9727488
1549487106,9727488
1549487109,9727488
1549487112,9727488
1549487115,9727488
1549487118,9727488
1549487121,9727488
1549487124,9727488
1549487127,9727488
1549487130,9727488
1549487133,9727488
1549487136,9727488
1549487139,9727488
1549487142,9727488
1549487145,9727488
1549487148,9727488
1549487151,9727488
1549487154,9727488
1549487157,9727488
1549487160,9727488
1549487163,9727488
1549487166,9727488
1549487169,9727488
1549487172,9727488
1549487175,9727488
1549487178,9727488
1549487181,9727488
1549487184,9727488
1549487187,9727488
1549487190,9727488
1549487193,9727488
1549487196,9727488
1549487199,9727488
1549487202,9727488
1549487205,9727488
1549487208,9727488
1549487211,9727488
1549487214,9727488
1549487217,9727488
1549487220,9727488
1549487223,9727488
1549487226,9727488
1549487229,9727488
1549487232,9727488
1549487235,9727488
1549487238,9727488
1549487241,24154624
1549487244,24154624
1549487247,24154624
1549487250,24154624
1549487253,24154624
1549487256,24154624
1549487259,24154624
1549487262,24154624
1549487265,24154624
1549487268,24154624
1549487271,24154624
1549487274,24154624
1549487277,24154624
1549487280,24154624
1549487283,24154624
1549487286,24154624
1549487289,24154624
1549487292,24154624
1549487295,24154624
1549487298,24154624
1549487301,24154624
1549487304,24154624
1549487307,24154624
1549487310,24154624
1549487313,24154624
1549487316,24154624
1549487319,24154624
1549487322,24154624
1549487325,24154624
1549487328,24154624
1549487331,24154624
1549487334,24154624
1549487337,24154624
1549487340,24154624
1549487343,24154624
1549487346,24154624
1549487349,24154624
1549487352,24154624
1549487355,24154624
1549487358,24154624
1549487361,24154624
1549487364,24154624
1549487367,24154624
1549487370,24154624
1549487373,24154624
1549487376,24154624
1549487379,24154624
1549487382,24154624
1549487385,24154624
1549487388,24154624
1549487391,24154624
1549487394,24154624
1549487397,24154624
1549487400,24154624
1549487403,24154624
1549487406,24154624
1549487409,24154624
1549487412,24154624
1549487415,24154624
1549487418,24154624
1549487421,24154624
1549487424,24154624
1549487427,24154624
1549487430,24154624
1549487433,24154624
1549487436,24154624
1549487439,24154624
1549487442,24154624
1549487445,24154624
1549487448,24154624
1549487451,24154624
1549487454,24154624
1549487457,24154624
1549487460,24154624
1549487463,24154624
1549487466,24154624
1549487469,24154624
1549487472,24154624
1549487475,24154624
1549487478,24154624
1549487481,24154624
1549487484,24154624
1549487487,24154624
1549487490,24154624
1549487493,24154624
1549487496,24154624
1549487499,24154624
1549487502,24154624
1549487505,24154624
1549487508,24154624
1549487511,24154624
1549487514,24154624
1549487517,24154624
1549487520,24154624
1549487523,24154624
1549487526,24154624
1549487529,24154624
1549487532,24154624
1549487535,24154624
1549487538,24154624
1549487541,24154624
1549487544,24154624
1549487547,24154624
1549487550,24154624
1549487553,24154624
1549487556,24154624
1549487559,24154624
1549487562,24154624
1549487565,24154624
1549487568,24154624
1549487571,24154624
1549487574,24154624
1549487577,24154624
1549487580,24154624
1549487583,24154624
1549487586,24154624
1549487589,24154624
1549487592,24154624
1549487595,24154624
1549487598,24154624
1549487601,24154624
1549487604,24154624
1549487607,24154624
1549487610,24154624
1549487613,24154624
1549487616,24154624
1549487619,24154624
1549487622,24154624
1549487625,24154624
1549487628,24154624
1549487631,24154624
1549487634,24154624
1549487637,24154624
1549487640,24154624
1549487643,24154624
1549487646,24154624
1549487649,24154624
1549487652,24154624
1549487655,24154624
1549487658,24154624
1549487661,24154624
1549487664,24154624
1549487667,24154624
1549487670,24154624
1549487673,24154624
1549487676,24154624
1549487679,24154624
1549487682,24154624
1549487685,24154624
1549487688,24154624
1549487691,24154624
1549487694,24154624
1549487697,24154624
1549487700,24154624
1549487703,24154624
1549487706,24154624
1549487709,24154624
1549487712,24154624
1549487715,24154624
1549487718,24154624
1549487721,24154624
1549487724,24154624
1549487727,24154624
1549487730,24154624
1549487733,24154624
1549487736,24154624
1549487739,24154624
1549487742,24154624
1549487745,24154624
1549487748,24154624
1549487751,24154624
1549487754,24154624
1549487757,24154624
1549487760,24154624
1549487763,24154624
1549487766,24154624
1549487769,24154624
1549487772,24154624
1549487775,24154624
1549487778,24154624
1549487781,24154624
1549487784,24154624
1549487787,24154624
1549487790,24154624
1549487793,24154624
1549487796,24154624
1549487799,24154624
1549487802,24154624
1549487805,24154624
1549487808,24154624
1549487811,24154624
1549487814,24154624
1549487817,24154624
1549487820,24154624
1549487823,24154624
1549487826,24154624
1549487829,24154624
1549487832,24154624
1549487835,24154624
1549487838,24154624
1549487841,24154624
1549487844,24154624
1549487847,24154624
