t,value
1549486896,26214400
1549486899,26214400
1549486902,26214400
1549486905,26214400
1549486908,26214400
1549486911,28311552
1549486914,28311552
1549486917,28311552
1549486920,40894464
1549486923,40894464
1549486926,40894464
1549486929,40894464
1549486932,40894464
1549486935,40894464
1549486938,40894464
1549486941,40894464
1549486944,40894464
1549486947,40894464
1549486950,40894464
1549486953,40894464
1549486956,40894464
1549486959,40894464
1549486962,40894464
1549486965,40894464
1549486968,40894464
1549486971,40894464
1549486974,40894464
1549486977,40894464
1549486980,40894464
1549486983,40894464
1549486986,40894464
1549486989,40894464
1549486992,40894464
1549486995,40894464
1549486998,40894464
1549487001,40894464
1549487004,40894464
1549487007,40894464
1549487010,40894464
1549487013,40894464
1549487016,40894464
1549487019,40894464
1549487022,40894464
1549487025,40894464
1549487028,40894464
1549487031,40894464
1549487034,40894464
1549487037,40894464
1549487040,40894464
1549487043,40894464
1549487046,40894464
1549487049,40894464
1549487052,40894464
1549487055,40894464
1549487058,40894464
1549487061,40894464
1549487064,40894464
1549487067,40894464
1549487070,40894464
1549487073,40894464
1549487076,40894464
1549487079,40894464
1549487082,40894464
1549487085,40894464
1549487088,40894464
1549487091,40894464
1549487094,40894464
1549487097,40894464
1549487100,40894464
1549487103,40894464
1549487106,40894464
1549487109,40894464
1549487112,40894464
1549487115,40894464
1549487118,40894464
1549487121,40894464
1549487124,40894464
1549487127,40894464
1549487130,40894464
1549487133,40894464
1549487136,40894464
1549487139,40894464
1549487142,40894464
1549487145,40894464
1549487148,40894464
1549487151,40894464
1549487154,40894464
1549487157,40894464
1549487160,40894464
1549487163,40894464
1549487166,40894464
1549487169,40894464
1549487172,40894464
1549487175,40894464
1549487178,40894464
1549487181,40894464
1549487184,40894464
1549487187,40894464
1549487190,40894464
1549487193,40894464
1549487196,40894464
1549487199,40894464
1549487202,40894464
1549487205,40894464
1549487208,40894464
1549487211,40894464
1549487214,40894464
1549487217,40894464
1549487220,40894464
1549487223,40894464
1549487226,40894464
1549487229,40894464
1549487232,40894464
1549487235,40894464
1549487238,40894464
1549487241,20971520
1549487244,20971520
1549487247,20971520
1549487250,20971520
1549487253,20971520
1549487256,20971520
1549487259,20971520
1549487262,20971520
1549487265,20971520
1549487268,20971520
1549487271,20971520
1549487274,20971520
1549487277,20971520
1549487280,20971520
1549487283,20971520
1549487286,20971520
1549487289,20971520
1549487292,20971520
1549487295,20971520
1549487298,20971520
1549487301,20971520
1549487304,20971520
1549487307,20971520
1549487310,20971520
1549487313,20971520
1549487316,20971520
1549487319,20971520
1549487322,20971520
1549487325,20971520
1549487328,20971520
1549487331,20971520
1549487334,20971520
1549487337,20971520
1549487340,20971520
1549487343,20971520
1549487346,20971520
1549487349,20971520
1549487352,20971520
1549487355,20971520
1549487358,20971520
1549487361,20971520
1549487364,20971520
1549487367,20971520
1549487370,20971520
1549487373,20971520
1549487376,20971520
1549487379,20971520
1549487382,20971520
1549487385,20971520
1549487388,20971520
1549487391,20971520
1549487394,20971520
1549487397,20971520
1549487400,20971520
1549487403,20971520
1549487406,20971520
1549487409,20971520
1549487412,20971520
1549487415,20971520
1549487418,20971520
1549487421,20971520
1549487424,20971520
1549487427,20971520
1549487430,20971520
1549487433,20971520
1549487436,20971520
1549487439,20971520
1549487442,20971520
1549487445,20971520
1549487448,20971520
1549487451,20971520
1549487454,20971520
1549487457,20971520
1549487460,20971520
1549487463,20971520
1549487466,20971520
1549487469,20971520
1549487472,20971520
1549487475,20971520
1549487478,20971520
1549487481,20971520
1549487484,20971520
1549487487,20971520
1549487490,20971520
1549487493,20971520
1549487496,20971520
1549487499,20971520
1549487502,20971520
1549487505,20971520
1549487508,20971520
1549487511,20971520
1549487514,20971520
1549487517,20971520
1549487520,20971520
1549487523,20971520
1549487526,20971520
1549487529,20971520
1549487532,20971520
1549487535,20971520
1549487538,20971520
1549487541,20971520
1549487544,20971520
1549487547,20971520
1549487550,20971520
1549487553,20971520
1549487556,20971520
1549487559,20971520
1549487562,20971520
1549487565,20971520
1549487568,20971520
1549487571,20971520
1549487574,20971520
1549487577,20971520
1549487580,20971520
1549487583,20971520
1549487586,20971520
1549487589,20971520
1549487592,20971520
1549487595,20971520
1549487598,20971520
1549487601,20971520
1549487604,20971520
1549487607,20971520
1549487610,20971520
1549487613,20971520
1549487616,20971520
1549487619,20971520
1549487622,20971520
1549487625,20971520
1549487628,23068672
1549487631,23068672
1549487634,23068672
1549487637,23068672
1549487640,23068672
1549487643,23068672
1549487646,23068672
1549487649,23068672
1549487652,23068672
1549487655,23068672
1549487658,23068672
1549487661,23068672
1549487664,23068672
1549487667,23068672
1549487670,23068672
1549487673,23068672
1549487676,23068672
1549487679,23068672
1549487682,23068672
1549487685,23068672
1549487688,23068672
1549487691,23068672
1549487694,23068672
1549487697,23068672
1549487700,23068672
1549487703,23068672
1549487706,23068672
1549487709,23068672
1549487712,23068672
1549487715,23068672
1549487718,23068672
1549487721,23068672
1549487724,23068672
1549487727,23068672
1549487730,23068672
1549487733,23068672
1549487736,23068672
1549487739,23068672
1549487742,23068672
1549487745,23068672
1549487748,23068672
1549487751,23068672
1549487754,23068672
1549487757,23068672
1549487760,23068672
1549487763,23068672
1549487766,23068672
1549487769,23068672
1549487772,23068672
1549487775,23068672
1549487778,23068672
1549487781,23068672
1549487784,23068672
1549487787,23068672
1549487790,23068672
1549487793,23068672
1549487796,23068672
1549487799,23068672
1549487802,23068672
1549487805,23068672
1549487808,23068672
1549487811,23068672
1549487814,23068672
1549487817,23068672
1549487820,23068672
1549487823,23068672
1549487826,23068672
1549487829,23068672
1549487832,23068672
1549487835,23068672
1549487838,23068672
1549487841,23068672
1549487844,23068672
1549487847,23068672
1549487850,23068672
1549487853,23068672
1549487856,23068672
1549487859,23068672
1549487862,23068672
1549487865,23068672
1549487868,23068672
1549487871,23068672
1549487874,23068672
1549487877,23068672
1549487880,23068672
1549487883,23068672
1549487886,23068672
1549487889,23068672
t,value
1549487960,25165824
1549487963,25165824
1549487966,25165824
1549487969,25165824
1549487972,28311552
1549487975,28311552
1549487978,40894464
1549487983,40894464
1549487984,40894464
1549487987,40894464
1549487990,40894464
1549487993,40894464
1549487996,40894464
1549487999,40894464
1549488002,40894464
1549488005,40894464
1549488008,40894464
1549488011,40894464
1549488014,40894464
1549488017,40894464
1549488020,40894464
1549488023,40894464
1549488026,40894464
1549488029,40894464
1549488032,40894464
1549488035,40894464
1549488038,40894464
1549488041,40894464
1549488044,40894464
1549488047,40894464
1549488050,40894464
1549488053,40894464
1549488056,40894464
1549488059,40894464
1549488062,40894464
1549488065,40894464
1549488068,40894464
1549488071,40894464
1549488074,40894464
1549488077,40894464
1549488080,20971520
1549488083,20971520
1549488086,20971520
1549488089,20971520
1549488092,20971520
1549488095,20971520
1549488098,20971520
1549488101,20971520
1549488104,20971520
1549488107,20971520
1549488110,20971520
1549488113,20971520
1549488116,20971520
1549488119,20971520
1549488122,20971520
1549488125,20971520
1549488128,20971520
1549488131,20971520
1549488134,20971520
1549488137,20971520
1549488140,20971520
1549488143,20971520
1549488146,20971520
1549488149,20971520
1549488152,20971520
1549488155,20971520
1549488158,20971520
1549488161,20971520
1549488164,20971520
1549488167,20971520
1549488170,20971520
1549488173,20971520
1549488176,20971520
1549488179,20971520
1549488182,20971520
1549488185,20971520
1549488188,20971520
1549488191,20971520
1549488194,20971520
1549488197,20971520
1549488200,20971520
1549488203,20971520
1549488206,20971520
1549488209,20971520
1549488212,20971520
1549488215,20971520
1549488218,20971520
1549488221,20971520
1549488224,20971520
1549488227,20971520
1549488230,20971520
1549488233,20971520
1549488236,20971520
1549488239,19922944
1549488242,19922944
1549488245,19922944
1549488248,19922944
1549488251,19922944
1549488254,19922944
1549488257,19922944
1549488260,19922944
1549488263,19922944
1549488266,19922944
1549488269,19922944
1549488272,19922944
1549488275,19922944
1549488278,19922944
1549488281,19922944
1549488284,19922944
1549488287,19922944
1549488290,19922944
1549488293,19922944
1549488296,19922944
1549488299,19922944
1549488302,19922944
1549488305,19922944
1549488308,19922944
1549488311,19922944
1549488314,19922944
1549488317,19922944
1549488320,19922944
1549488323,19922944
1549488326,19922944
1549488329,19922944
1549488332,19922944
1549488335,19922944
1549488338,19922944
1549488341,19922944
1549488344,19922944
1549488347,19922944
1549488350,19922944
1549488353,19922944
1549488356,19922944
1549488359,19922944
1549488362,19922944
1549488365,19922944
1549488368,19922944
1549488371,19922944
1549488374,19922944
1549488377,19922944
1549488380,22020096
1549488383,22020096
1549488386,22020096
1549488389,22020096
1549488392,22020096
1549488395,22020096
1549488398,22020096
1549488401,22020096
1549488404,22020096
1549488407,22020096
1549488410,22020096
1549488413,22020096
1549488416,22020096
1549488419,22020096
1549488422,22020096
1549488425,22020096
1549488428,22020096
1549488431,22020096
