t,value
1549486896,38402176
1549486899,38409072
1549486902,38426808
1549486905,43465768
1549486908,51153160
1549486911,64216416
1549486914,71700264
1549486917,71878464
1549486920,73648336
1549486923,73709408
1549486926,73727952
1549486929,73956656
1549486932,73958008
1549486935,73963936
1549486938,74034328
1549486941,74204496
1549486944,74206648
1549486947,74219904
1549486950,74231424
1549486953,74259712
1549486956,74944168
1549486959,74965064
1549486962,74969160
1549486965,74976928
1549486968,74977232
1549486971,74977952
1549486974,74980432
1549486977,74981416
1549486980,75011824
1549486983,75019344
1549486986,75022760
1549486989,75034872
1549486992,75035880
1549486995,75037624
1549486998,75056328
1549487001,75056728
1549487004,75060272
1549487007,75065952
1549487010,75069000
1549487013,75072072
1549487016,75072072
1549487019,75100624
1549487022,75107520
1549487025,75115520
1549487028,75124552
1549487031,75133152
1549487034,75133152
1549487037,75133152
1549487040,75229120
1549487043,75240160
1549487046,75244408
1549487049,75245056
1549487052,75245840
1549487055,75246800
1549487058,75565632
1549487061,75588048
1549487064,75601320
1549487067,75602840
1549487070,75626960
1549487073,75631656
1549487076,75631656
1549487079,75635776
1549487082,75655016
1549487085,75655896
1549487088,75658832
1549487091,75659176
1549487094,75659176
1549487097,75659176
1549487100,75683048
1549487103,75687296
1549487106,75687296
1549487109,75692472
1549487112,75692472
1549487115,75692472
1549487118,75693280
1549487121,75705704
1549487124,75705704
1549487127,75707552
1549487130,75727056
1549487133,75732480
1549487136,75733464
1549487139,75733464
1549487142,75774216
1549487145,75796040
1549487148,75796792
1549487151,75797544
1549487154,75798096
1549487157,75798096
1549487160,75799240
1549487163,75812136
1549487166,75812136
1549487169,75812632
1549487172,75812944
1549487175,75815376
1549487178,75815376
1549487181,75832144
1549487184,75833736
1549487187,75834088
1549487190,75834088
1549487193,75840848
1549487196,75840848
1549487199,75840848
1549487202,75878344
1549487205,75890800
1549487208,75890800
1549487211,75890800
1549487214,75890800
1549487217,75892384
1549487220,75892384
1549487223,75912160
1549487226,75912160
1549487229,75912160
1549487232,75912160
1549487235,75912160
1549487238,75912160
1549487241,75927224
1549487244,75928832
1549487247,75928832
1549487250,75928832
1549487253,75933056
1549487256,75934208
1549487259,75934208
1549487262,75954616
1549487265,76053504
1549487268,76054056
1549487271,76054056
1549487274,76057840
1549487277,76066712
1549487280,76066712
1549487283,76090320
1549487286,76090320
1549487289,76090320
1549487292,76090320
1549487295,76090320
1549487298,76090320
1549487301,76090320
1549487304,76098656
1549487307,76101576
1549487310,76101576
1549487313,76109880
1549487316,76109880
1549487319,76111936
1549487322,76111936
1549487325,76125160
1549487328,76125160
1549487331,76130152
1549487334,76130152
1549487337,76131288
1549487340,76131288
