t,value
1549486896,22
1549486899,22
1549486902,22
1549486905,26
1549486908,26
1549486911,38
1549486914,49
1549486917,49
1549486920,58
1549486923,58
1549486926,56
1549486929,56
1549486932,56
1549486935,54
1549486938,54
1549486941,55
1549486944,54
1549486947,54
1549486950,53
1549486953,54
1549486956,54
1549486959,54
1549486962,53
1549486965,53
1549486968,53
1549486971,52
1549486974,51
1549486977,51
1549486980,54
1549486983,53
1549486986,53
1549486989,52
1549486992,52
1549486995,52
1549486998,52
1549487001,54
1549487004,53
1549487007,53
1549487010,53
1549487013,52
1549487016,52
1549487019,53
1549487022,53
1549487025,53
1549487028,52
1549487031,52
1549487034,51
1549487037,50
1549487040,52
1549487043,54
1549487046,52
1549487049,52
1549487052,52
1549487055,51
1549487058,52
1549487061,52
1549487064,52
1549487067,51
1549487070,52
1549487073,52
1549487076,51
1549487079,50
1549487082,51
1549487085,51
1549487088,51
1549487091,51
1549487094,49
1549487097,49
1549487100,52
1549487103,52
1549487106,51
1549487109,50
1549487112,50
1549487115,49
1549487118,49
1549487121,50
1549487124,50
1549487127,49
1549487130,50
1549487133,50
1549487136,49
1549487139,49
1549487142,50
1549487145,53
1549487148,51
1549487151,51
1549487154,50
1549487157,50
1549487160,50
1549487163,50
1549487166,50
1549487169,49
1549487172,49
1549487175,49
1549487178,49
1549487181,52
1549487184,51
1549487187,50
1549487190,50
1549487193,49
1549487196,49
1549487199,49
1549487202,51
1549487205,51
1549487208,50
1549487211,50
1549487214,49
1549487217,49
1549487220,49
1549487223,48
1549487226,48
1549487229,48
1549487232,47
1549487235,47
1549487238,46
1549487241,47
1549487244,47
1549487247,47
1549487250,46
1549487253,46
1549487256,46
1549487259,45
1549487262,49
1549487265,49
1549487268,49
1549487271,47
1549487274,47
1549487277,47
1549487280,46
1549487283,48
1549487286,48
1549487289,47
1549487292,47
1549487295,47
1549487298,46
1549487301,46
1549487304,48
1549487307,48
1549487310,48
1549487313,47
1549487316,47
1549487319,47
1549487322,47
1549487325,49
1549487328,48
1549487331,47
1549487334,47
1549487337,47
1549487340,47
1549487343,46
1549487346,48
1549487349,47
1549487352,47
1549487355,47
1549487358,47
1549487361,47
1549487364,48
1549487367,48
1549487370,47
1549487373,47
1549487376,47
1549487379,47
1549487382,47
1549487385,49
1549487388,48
1549487391,48
1549487394,47
1549487397,48
1549487400,48
1549487403,47
1549487406,47
1549487409,47
1549487412,47
1549487415,47
1549487418,47
1549487421,47
1549487424,48
1549487427,48
1549487430,47
1549487433,46
1549487436,46
1549487439,46
1549487442,46
1549487445,48
1549487448,48
1549487451,47
1549487454,47
1549487457,46
1549487460,46
1549487463,46
1549487466,45
1549487469,48
1549487472,48
1549487475,47
1549487478,47
1549487481,47
1549487484,46
1549487487,46
1549487490,46
1549487493,49
