t,value
1549486896,26
1549486899,26
1549486902,26
1549486905,30
1549486908,30
1549486911,42
1549486914,53
1549486917,53
1549486920,62
1549486923,62
1549486926,60
1549486929,60
1549486932,60
1549486935,58
1549486938,58
1549486941,59
1549486944,58
1549486947,58
1549486950,57
1549486953,58
1549486956,58
1549486959,58
1549486962,57
1549486965,57
1549486968,57
1549486971,56
1549486974,55
1549486977,55
1549486980,58
1549486983,57
1549486986,57
1549486989,56
1549486992,56
1549486995,56
1549486998,56
1549487001,58
1549487004,57
1549487007,57
1549487010,57
1549487013,56
1549487016,56
1549487019,57
1549487022,57
1549487025,57
1549487028,56
1549487031,56
1549487034,55
1549487037,54
1549487040,56
1549487043,58
1549487046,56
1549487049,56
1549487052,56
1549487055,55
1549487058,56
1549487061,56
1549487064,56
1549487067,55
1549487070,56
1549487073,56
1549487076,55
1549487079,54
1549487082,55
1549487085,55
1549487088,55
1549487091,55
1549487094,53
1549487097,53
1549487100,56
1549487103,56
1549487106,55
1549487109,54
1549487112,54
1549487115,53
1549487118,53
1549487121,54
1549487124,54
1549487127,53
1549487130,54
1549487133,54
1549487136,53
1549487139,53
1549487142,54
1549487145,57
1549487148,55
1549487151,55
1549487154,54
1549487157,54
1549487160,54
1549487163,54
1549487166,54
1549487169,53
1549487172,53
1549487175,53
1549487178,53
1549487181,56
1549487184,55
1549487187,54
1549487190,54
1549487193,53
1549487196,53
1549487199,53
1549487202,55
1549487205,55
1549487208,54
1549487211,54
1549487214,53
1549487217,53
1549487220,53
1549487223,52
1549487226,52
1549487229,52
1549487232,51
1549487235,51
1549487238,50
1549487241,51
1549487244,51
1549487247,51
1549487250,50
1549487253,50
1549487256,50
1549487259,49
1549487262,53
1549487265,53
1549487268,53
1549487271,51
1549487274,51
1549487277,51
1549487280,50
1549487283,52
1549487286,52
1549487289,51
1549487292,51
1549487295,51
1549487298,50
1549487301,50
1549487304,52
1549487307,52
1549487310,52
1549487313,51
1549487316,51
1549487319,51
1549487322,51
1549487325,53
1549487328,52
1549487331,51
1549487334,51
1549487337,51
1549487340,51
1549487343,50
1549487346,52
1549487349,51
1549487352,51
1549487355,51
1549487358,51
1549487361,51
1549487364,52
1549487367,52
1549487370,51
1549487373,51
1549487376,51
1549487379,51
1549487382,51
1549487385,53
1549487388,52
1549487391,52
1549487394,51
1549487397,52
1549487400,52
1549487403,51
1549487406,51
1549487409,51
1549487412,51
1549487415,51
1549487418,51
1549487421,51
1549487424,52
1549487427,52
1549487430,51
1549487433,50
1549487436,50
1549487439,50
1549487442,50
1549487445,52
1549487448,52
1549487451,51
1549487454,51
1549487457,50
1549487460,50
1549487463,50
1549487466,49
1549487469,52
1549487472,52
1549487475,51
1549487478,51
1549487481,51
1549487484,50
1549487487,50
1549487490,50
1549487493,53
1549487496,53
1549487499,53
1549487502,52
1549487505,51
1549487508,51
1549487511,51
1549487514,51
1549487517,51
1549487520,50
1549487523,51
1549487526,51
1549487529,50
1549487532,50
1549487535,53
1549487538,52
1549487541,52
1549487544,51
1549487547,51
1549487550,51
1549487553,50
1549487556,50
1549487559,50
1549487562,50
1549487565,51
1549487568,51
1549487571,50
1549487574,50
1549487577,50
1549487580,50
1549487583,53
1549487586,52
1549487589,52
1549487592,51
1549487595,51
1549487598,50
1549487601,51
1549487604,52
1549487607,52
1549487610,51
1549487613,50
1549487616,50
1549487619,50
1549487622,49
1549487625,49
1549487628,52
1549487631,52
1549487634,51
1549487637,51
1549487640,54
1549487643,53
1549487646,51
1549487649,51
1549487652,50
1549487655,50
1549487658,50
1549487661,53
1549487664,52
1549487667,52
1549487670,53
1549487673,52
1549487676,51
1549487679,51
1549487682,50
1549487685,50
1549487688,56
1549487691,54
1549487694,52
1549487697,52
1549487700,51
1549487703,50
1549487706,50
1549487709,51
1549487712,51
1549487715,50
1549487718,50
1549487721,50
1549487724,53
1549487727,52
1549487730,52
1549487733,51
1549487736,51
1549487739,50
1549487742,50
1549487745,50
1549487748,50
1549487751,50
1549487754,53
1549487757,55
1549487760,53
1549487763,52
1549487766,52
1549487769,50
1549487772,50
1549487775,50
1549487778,54
1549487781,53
1549487784,54
1549487787,53
1549487790,54
1549487793,53
1549487796,52
1549487799,52
1549487802,51
1549487805,51
1549487808,51
1549487811,50
1549487814,50
1549487817,50
1549487820,51
1549487823,54
1549487826,53
1549487829,53
1549487832,52
1549487835,52
1549487838,51
1549487841,51
1549487844,53
1549487847,53
1549487850,55
1549487853,54
1549487856,52
1549487859,52
1549487862,51
1549487865,51
1549487868,52
1549487871,52
1549487874,51
1549487877,51
1549487880,51
1549487883,50
1549487886,55
1549487889,56
t,value
1549487960,26
1549487963,26
1549487966,29
1549487969,30
1549487972,47
1549487975,51
1549487978,62
1549487983,61
1549487984,61
1549487987,59
1549487990,59
1549487993,57
1549487996,60
1549487999,60
1549488002,60
1549488005,59
1549488008,59
1549488011,59
1549488014,59
1549488017,59
1549488020,59
1549488023,58
1549488026,61
1549488029,60
1549488032,60
1549488035,60
1549488038,60
1549488041,60
1549488044,59
1549488047,59
1549488050,59
1549488053,59
1549488056,59
1549488059,60
1549488062,60
1549488065,59
1549488068,59
1549488071,59
1549488074,59
1549488077,57
1549488080,59
1549488083,59
1549488086,59
1549488089,58
1549488092,59
1549488095,58
1549488098,61
1549488101,60
1549488104,60
1549488107,60
1549488110,58
1549488113,58
1549488116,57
1549488119,58
1549488122,58
1549488125,60
1549488128,60
1549488131,59
1549488134,59
1549488137,58
1549488140,59
1549488143,58
1549488146,58
1549488149,58
1549488152,58
1549488155,57
1549488158,56
1549488161,58
1549488164,58
1549488167,58
1549488170,57
1549488173,57
1549488176,56
1549488179,56
1549488182,56
1549488185,56
1549488188,56
1549488191,55
1549488194,56
1549488197,56
1549488200,55
1549488203,55
1549488206,55
1549488209,55
1549488212,57
1549488215,57
1549488218,57
1549488221,56
1549488224,56
1549488227,57
1549488230,57
1549488233,57
1549488236,57
1549488239,57
1549488242,56
1549488245,56
1549488248,56
1549488251,56
1549488254,57
1549488257,56
1549488260,56
1549488263,56
1549488266,56
1549488269,56
1549488272,56
1549488275,56
1549488278,55
1549488281,53
1549488284,53
1549488287,53
1549488290,53
1549488293,53
1549488296,53
1549488299,53
1549488302,53
1549488305,53
1549488308,52
1549488311,54
1549488314,53
1549488317,56
1549488320,55
1549488323,55
1549488326,55
1549488329,55
1549488332,55
